"TotBikeSince2006","RatioBikeSince2006","NbAcc","RatioAcc","LAName","IDs"
7606,0.0936111555550086,12,0.0001476904899632,"Barnsley","E08000016"
3105,0.0264030612244898,8,6.80272108843537e-05,"Bath and North East Somerset","E06000022"
2440,0.01525,10,6.25e-05,"Bedford Borough Council","E06000055"
10023,0.00917605053556715,41,3.75354756019409e-05,"Birmingham","E08000025"
4329,0.0293094109681787,5,3.385240352065e-05,"Blackburn with Darwen","E06000008"
3647,0.0256830985915493,10,7.04225352112676e-05,"Blackpool","E06000009"
8171,0.0295195086705202,9,3.2514450867052e-05,"Bolton","E08000001"
337,0.00183651226158038,19,0.000103542234332425,"Bournemouth","E06000028"
980,0.00865724381625442,5,4.41696113074205e-05,"Bracknell Forest","E06000036"
3531,0.00675918836140888,26,4.97702909647779e-05,"Bradford","E08000032"
5296,0.0193708851499634,8,2.92611558156547e-05,"Brighton and Hove","E06000043"
17928,0.023695479777954,16,2.1147237642083e-05,"Buckinghamshire","E10000002"
2996,0.0161858454889249,2,1.08049702863317e-05,"Bury","E08000002"
3007,0.0147257590597453,9,4.40744368266405e-05,"Calderdale","E08000033"
6412,0.00794843188298004,45,5.57828188917813e-05,"Cambridgeshire","E10000003"
3911,0.0148143939393939,8,3.03030303030303e-05,"Central Bedfordshire","E06000056"
6629,0.0178823846776369,25,6.74399784192069e-05,"Cheshire East","E06000049"
2847,0.0086377427184466,12,3.64077669902913e-05,"Cheshire West and Chester","E06000050"
3946,0.00902974828375286,22,5.03432494279176e-05,"City of Bristol","E06000023"
0,0,11,2.02354672553348e-05,"Cornwall and Isles of Scilly","E06000052"
6820,0.0213125,14,4.375e-05,"Coventry","E08000026"
14261,0.0285334133653461,20,4.0016006402561e-05,"Cumbria","E10000006"
2376,0.0224150943396226,10,9.43396226415094e-05,"Darlington","E06000005"
5091,0.0204704463208685,19,7.63972657820667e-05,"Derby","E06000015"
0,0,23,2.97349709114415e-05,"Derbyshire","E10000007"
11394,0.0100325790261513,25,2.20128555076164e-05,"Devon","E10000008"
3774,0.0295305164319249,22,0.000172143974960876,"Doncaster","E08000017"
1036,0.00695302013422819,25,0.000167785234899329,"Dorset","E10000009"
9565,0.030529843600383,9,2.872646026173e-05,"Dudley","E08000027"
18329,0.0764983305509182,11,4.59098497495826e-05,"Durham","E06000047"
5198,0.00879823967501693,23,3.89302640487475e-05,"East Riding of Yorkshire","E06000011"
7607,0.00950637340664834,23,2.87428142964259e-05,"East Sussex","E10000011"
10976,0.00634744390469581,58,3.35415220911404e-05,"Essex","E10000012"
6020,0.0300699300699301,6,2.997002997003e-05,"Gateshead","E08000020"
14732,0.0246230987798763,24,4.01136553568444e-05,"Gloucestershire","E10000013"
2751,0.0218333333333333,10,7.93650793650794e-05,"Halton","E06000006"
20881,0.011839986391472,89,5.0464958040372e-05,"Hampshire","E10000014"
1783,0.0193593919652552,3,3.25732899022801e-05,"Hartlepool","E06000001"
2631,0.0143300653594771,8,4.35729847494553e-05,"Herefordshire","E06000019"
11486,0.0102571887837114,44,3.92927308447937e-05,"Hertfordshire","E10000015"
300,0.00216763005780347,3,2.16763005780347e-05,"Isle of Wight","E06000046"
9606,0.00643402545210985,63,4.21969189551239e-05,"Kent","E10000016"
830,0.00323712948517941,21,8.19032761310452e-05,"Kingston Upon Hull","E06000010"
4093,0.00967612293144208,14,3.3096926713948e-05,"Kirklees","E08000034"
2506,0.00213950311619568,64,5.46401434303765e-05,"Lancashire","E10000017"
8056,0.0107198935462409,30,3.99201596806387e-05,"Leeds","E08000035"
22191,0.0226254078303426,46,4.69004893964111e-05,"Leicestershire","E06000016"
22191,0.0226254078303426,46,4.69004893964111e-05,"Leicestershire","E10000018"
8970,0.012570067264574,43,6.02578475336323e-05,"Lincolnshire","E10000019"
0,0,219,2.63855421686747e-05,"London","E09000020"
0,0,219,2.63855421686747e-05,"London","E09000033"
0,0,219,2.63855421686747e-05,"London","E09000026"
0,0,219,2.63855421686747e-05,"London","E09000016"
0,0,219,2.63855421686747e-05,"London","E09000025"
0,0,219,2.63855421686747e-05,"London","E09000002"
0,0,219,2.63855421686747e-05,"London","E09000022"
0,0,219,2.63855421686747e-05,"London","E09000028"
0,0,219,2.63855421686747e-05,"London","E09000023"
0,0,219,2.63855421686747e-05,"London","E09000006"
0,0,219,2.63855421686747e-05,"London","E09000015"
0,0,219,2.63855421686747e-05,"London","E09000005"
0,0,219,2.63855421686747e-05,"London","E09000011"
0,0,219,2.63855421686747e-05,"London","E09000004"
0,0,219,2.63855421686747e-05,"London","E09000003"
0,0,219,2.63855421686747e-05,"London","E09000017"
0,0,219,2.63855421686747e-05,"London","E09000008"
0,0,219,2.63855421686747e-05,"London","E09000018"
0,0,219,2.63855421686747e-05,"London","E09000024"
0,0,219,2.63855421686747e-05,"London","E09000032"
0,0,219,2.63855421686747e-05,"London","E09000009"
0,0,219,2.63855421686747e-05,"London","E09000010"
0,0,219,2.63855421686747e-05,"London","E09000014"
0,0,219,2.63855421686747e-05,"London","E09000029"
0,0,219,2.63855421686747e-05,"London","E09000007"
0,0,219,2.63855421686747e-05,"London","E09000019"
0,0,219,2.63855421686747e-05,"London","E09000013"
0,0,219,2.63855421686747e-05,"London","E09000012"
0,0,219,2.63855421686747e-05,"London","E09000031"
0,0,219,2.63855421686747e-05,"London","E09000027"
0,0,219,2.63855421686747e-05,"London","E09000021"
0,0,219,2.63855421686747e-05,"London","E09000030"
0,0,219,2.63855421686747e-05,"London","E09000001"
5356,0.0263064833005894,7,3.43811394891945e-05,"Luton","E06000032"
8896,0.0176894014714655,28,5.56770729767349e-05,"Manchester","E08000003"
4293,0.016006711409396,8,2.98284862043251e-05,"Medway","E06000035"
70103,0.0507698435689455,79,5.72132097334878e-05,"Merseyside","E08000015"
70103,0.0507698435689455,79,5.72132097334878e-05,"Merseyside","E08000014"
70103,0.0507698435689455,79,5.72132097334878e-05,"Merseyside","E08000011"
70103,0.0507698435689455,79,5.72132097334878e-05,"Merseyside","E08000013"
70103,0.0507698435689455,79,5.72132097334878e-05,"Merseyside","E08000012"
3806,0.0275,10,7.22543352601156e-05,"Middlesbrough","E06000002"
4095,0.0164590032154341,7,2.81350482315113e-05,"Milton Keynes","E06000042"
11715,0.0418094218415418,5,1.78443968593862e-05,"Newcastle upon Tyne","E08000021"
0,0,43,0.00017479674796748,"Norfolk","E10000020"
1198,0.00761602034329307,29,0.000184361093452003,"North East Lincolnshire","E06000012"
0,0,12,7.14711137581894e-05,"North Lincolnshire","E06000013"
2321,0.0114617283950617,6,2.96296296296296e-05,"North Somerset","E06000024"
1594,0.00792246520874751,7,3.47912524850895e-05,"North Tyneside","E08000022"
7820,0.0129749460759914,25,4.14800066368011e-05,"North Yorkshire","E10000023"
7606,0.010961233607148,24,3.45871162991786e-05,"Northamptonshire","E10000021"
11990,0.0379430379746835,8,2.53164556962025e-05,"Northumberland","E06000048"
984,0.00323790720631787,30,9.87166831194472e-05,"Nottingham","E06000018"
6870,0.00873268081860938,42,5.33875683233761e-05,"Nottinghamshire","E10000024"
8729,0.0843381642512077,8,7.72946859903382e-05,"Oldham","E08000004"
1891,0.00289232181095136,35,5.35331905781585e-05,"Oxfordshire","E10000025"
1143,0.00622549019607843,14,7.62527233115468e-05,"Peterborough","E06000031"
6056,0.0236009353078722,8,3.11769290724864e-05,"Plymouth","E06000026"
80,0.00053835800807537,7,4.71063257065949e-05,"Poole","E06000029"
3398,0.0165433300876339,28,0.000136319376825706,"Portsmouth","E06000044"
1449,0.00930635838150289,9,5.78034682080925e-05,"Reading","E06000038"
2813,0.0208062130177515,8,5.91715976331361e-05,"Redcar and Cleveland","E06000003"
9359,0.0442087860179499,2,9.44733112895607e-06,"Rochdale","E08000005"
6537,0.0254061406917995,9,3.49786241741158e-05,"Rotherham","E08000018"
1411,0.0375265957446808,0,0,"Rutland","E06000017"
4309,0.0183752665245203,9,3.83795309168443e-05,"Salford","E08000006"
3188,0.0103506493506493,14,4.54545454545455e-05,"Sandwell","E08000028"
10595,0.0192007973903588,12,2.17470097861544e-05,"Sheffield","E08000019"
7059,0.0148955475838785,11,2.32116480270099e-05,"Shropshire","E06000051"
2777,0.0197370291400142,10,7.10732054015636e-05,"Slough","E06000039"
11136,0.0538231029482842,6,2.89995166747221e-05,"Solihull","E08000029"
3923,0.0073879472693032,16,3.01318267419962e-05,"Somerset","E10000027"
3117,0.0117136414881623,15,5.6369785794814e-05,"South Gloucestershire","E06000025"
13077,0.0850813272608979,17,0.00011060507482108,"South Tyneside","E08000023"
