"LAName","NbAcc","TotBikeSince2006","RatioBikeSince2006","RatioAcc","sort"
"Cornwall and Isles of Scilly",11,0,0,2.02354672553348e-05,"Bikeability"
"Derbyshire",23,0,0,2.97349709114415e-05,"Bikeability"
"Norfolk",43,0,0,0.00017479674796748,"Bikeability"
"North Lincolnshire",12,0,0,7.14711137581894e-05,"Bikeability"
"London",219,0,0,2.63855421686747e-05,"Bikeability"
"Poole",7,80,0.00053835800807537,4.71063257065949e-05,"Bikeability"
"West Sussex",49,1200,0.00148349610582272,6.05760909877612e-05,"Bikeability"
"Bournemouth",19,337,0.00183651226158038,0.000103542234332425,"Bikeability"
"Lancashire",64,2506,0.00213950311619568,5.46401434303765e-05,"Bikeability"
"Isle of Wight",3,300,0.00216763005780347,2.16763005780347e-05,"Bikeability"
"Oxfordshire",35,1891,0.00289232181095136,5.35331905781585e-05,"Bikeability"
"Kingston Upon Hull",21,830,0.00323712948517941,8.19032761310452e-05,"Bikeability"
"Nottingham",30,984,0.00323790720631787,9.87166831194472e-05,"Bikeability"
"Swindon",16,866,0.0041395793499044,7.64818355640535e-05,"Bikeability"
"Peterborough",14,1143,0.00622549019607843,7.62527233115468e-05,"Bikeability"
"Essex",58,10976,0.00634744390469581,3.35415220911404e-05,"Bikeability"
"Kent",63,9606,0.00643402545210985,4.21969189551239e-05,"Bikeability"
"Bradford",26,3531,0.00675918836140888,4.97702909647779e-05,"Bikeability"
"Dorset",25,1036,0.00695302013422819,0.000167785234899329,"Bikeability"
"Suffolk",46,5335,0.00730721818928914,6.30050677989317e-05,"Bikeability"
"Warwickshire",19,4011,0.00731934306569343,3.46715328467153e-05,"Bikeability"
"Somerset",16,3923,0.0073879472693032,3.01318267419962e-05,"Bikeability"
"North East Lincolnshire",29,1198,0.00761602034329307,0.000184361093452003,"Bikeability"
"North Tyneside",7,1594,0.00792246520874751,3.47912524850895e-05,"Bikeability"
"Cambridgeshire",45,6412,0.00794843188298004,5.57828188917813e-05,"Bikeability"
"Southampton ",14,2096,0.00806153846153846,5.38461538461538e-05,"Bikeability"
"Cheshire West and Chester",12,2847,0.0086377427184466,3.64077669902913e-05,"Bikeability"
"Bracknell Forest",5,980,0.00865724381625442,4.41696113074205e-05,"Bikeability"
"Nottinghamshire",42,6870,0.00873268081860938,5.33875683233761e-05,"Bikeability"
"East Riding of Yorkshire",23,5198,0.00879823967501693,3.89302640487475e-05,"Bikeability"
"York",17,1804,0.00902,8.5e-05,"Bikeability"
"City of Bristol",22,3946,0.00902974828375286,5.03432494279176e-05,"Bikeability"
"Birmingham",41,10023,0.00917605053556715,3.75354756019409e-05,"Bikeability"
"Reading",9,1449,0.00930635838150289,5.78034682080925e-05,"Bikeability"
"East Sussex",23,7607,0.00950637340664834,2.87428142964259e-05,"Bikeability"
"Kirklees",14,4093,0.00967612293144208,3.3096926713948e-05,"Bikeability"
"Devon",25,11394,0.0100325790261513,2.20128555076164e-05,"Bikeability"
"Walsall",6,2764,0.010237037037037,2.22222222222222e-05,"Bikeability"
"Hertfordshire",44,11486,0.0102571887837114,3.92927308447937e-05,"Bikeability"
"Sandwell",14,3188,0.0103506493506493,4.54545454545455e-05,"Bikeability"
"Leeds",30,8056,0.0107198935462409,3.99201596806387e-05,"Bikeability"
"Northamptonshire",24,7606,0.010961233607148,3.45871162991786e-05,"Bikeability"
"North Somerset",6,2321,0.0114617283950617,2.96296296296296e-05,"Bikeability"
"South Gloucestershire",15,3117,0.0117136414881623,5.6369785794814e-05,"Bikeability"
"Hampshire",89,20881,0.011839986391472,5.0464958040372e-05,"Bikeability"
"Lincolnshire",43,8970,0.012570067264574,6.02578475336323e-05,"Bikeability"
"Wokingham",14,2000,0.0129617627997408,9.07323395981854e-05,"Bikeability"
"North Yorkshire",25,7820,0.0129749460759914,4.14800066368011e-05,"Bikeability"
"Herefordshire",8,2631,0.0143300653594771,4.35729847494553e-05,"Bikeability"
"Calderdale",9,3007,0.0147257590597453,4.40744368266405e-05,"Bikeability"
"Central Bedfordshire",8,3911,0.0148143939393939,3.03030303030303e-05,"Bikeability"
"Shropshire",11,7059,0.0148955475838785,2.32116480270099e-05,"Bikeability"
"Bedford Borough Council",10,2440,0.01525,6.25e-05,"Bikeability"
"Worcestershire",19,8963,0.0158217122683142,3.35392762577229e-05,"Bikeability"
"Medway",8,4293,0.016006711409396,2.98284862043251e-05,"Bikeability"
"Stockport",9,4566,0.0161171902576774,3.1768443346276e-05,"Bikeability"
"Bury",2,2996,0.0161858454889249,1.08049702863317e-05,"Bikeability"
"Milton Keynes",7,4095,0.0164590032154341,2.81350482315113e-05,"Bikeability"
"Portsmouth",28,3398,0.0165433300876339,0.000136319376825706,"Bikeability"
"Manchester",28,8896,0.0176894014714655,5.56770729767349e-05,"Bikeability"
"Cheshire East",25,6629,0.0178823846776369,6.74399784192069e-05,"Bikeability"
"Salford",9,4309,0.0183752665245203,3.83795309168443e-05,"Bikeability"
"Surrey",69,21072,0.018557463672391,6.07661822985469e-05,"Bikeability"
"Windsor and Maidenhead",9,2703,0.0186285320468642,6.2026188835286e-05,"Bikeability"
"Wakefield",18,6103,0.0187323511356661,5.52486187845304e-05,"Bikeability"
"Sheffield",12,10595,0.0192007973903588,2.17470097861544e-05,"Bikeability"
"Hartlepool",3,1783,0.0193593919652552,3.25732899022801e-05,"Bikeability"
"Brighton and Hove",8,5296,0.0193708851499634,2.92611558156547e-05,"Bikeability"
"Slough",10,2777,0.0197370291400142,7.10732054015636e-05,"Bikeability"
"Telford and Wrekin",7,3324,0.0199280575539568,4.19664268585132e-05,"Bikeability"
"Derby",19,5091,0.0204704463208685,7.63972657820667e-05,"Bikeability"
"Wigan",12,6534,0.0205601006922593,3.77595972309629e-05,"Bikeability"
"Redcar and Cleveland",8,2813,0.0208062130177515,5.91715976331361e-05,"Bikeability"
"Coventry",14,6820,0.0213125,4.375e-05,"Bikeability"
"Halton",10,2751,0.0218333333333333,7.93650793650794e-05,"Bikeability"
"Darlington",10,2376,0.0224150943396226,9.43396226415094e-05,"Bikeability"
"Leicestershire",46,22191,0.0226254078303426,4.69004893964111e-05,"Bikeability"
"Plymouth",8,6056,0.0236009353078722,3.11769290724864e-05,"Bikeability"
"Torbay",3,3094,0.023618320610687,2.29007633587786e-05,"Bikeability"
"Buckinghamshire",16,17928,0.023695479777954,2.1147237642083e-05,"Bikeability"
"Southend on Sea",12,4198,0.0240849110728629,6.88468158347676e-05,"Bikeability"
"Gloucestershire",24,14732,0.0246230987798763,4.01136553568444e-05,"Bikeability"
"Trafford",11,5648,0.0248701012769705,4.84368119771026e-05,"Bikeability"
"Rotherham",9,6537,0.0254061406917995,3.49786241741158e-05,"Bikeability"
"Blackpool",10,3647,0.0256830985915493,7.04225352112676e-05,"Bikeability"
"Luton",7,5356,0.0263064833005894,3.43811394891945e-05,"Bikeability"
"Bath and North East Somerset",8,3105,0.0264030612244898,6.80272108843537e-05,"Bikeability"
"Middlesbrough",10,3806,0.0275,7.22543352601156e-05,"Bikeability"
"Wiltshire",10,13162,0.0277503689647902,2.10837022981236e-05,"Bikeability"
"West Berkshire",4,4343,0.0282012987012987,2.5974025974026e-05,"Bikeability"
"Cumbria",20,14261,0.0285334133653461,4.0016006402561e-05,"Bikeability"
"Thurrock",6,4575,0.0289008212255212,3.79027163613392e-05,"Bikeability"
"Blackburn with Darwen",5,4329,0.0293094109681787,3.385240352065e-05,"Bikeability"
"Tameside",11,6459,0.0293991807009558,5.00682749203459e-05,"Bikeability"
"Bolton",9,8171,0.0295195086705202,3.2514450867052e-05,"Bikeability"
"Doncaster",22,3774,0.0295305164319249,0.000172143974960876,"Bikeability"
"Gateshead",6,6020,0.0300699300699301,2.997002997003e-05,"Bikeability"
