"LAName","accLA","IDs"
"Barnsley",210,"E08000016"
"Bath and North East Somerset",611,"E06000022"
"Bedford Borough Council",420,"E06000055"
"Birmingham",300,"E08000025"
"Blackburn with Darwen",70,"E06000008"
"Blackpool",71,"E06000009"
"Bolton",100,"E08000001"
"Bournemouth",640,"E06000028"
"Bracknell Forest",470,"E06000036"
"Bradford",200,"E08000032"
"Brighton and Hove",565,"E06000043"
"Buckinghamshire",480,"E10000002"
"Buckinghamshire",477,"E10000002"
"Buckinghamshire",478,"E10000002"
"Buckinghamshire",476,"E10000002"
"Bury",101,"E08000002"
"Calderdale",202,"E08000033"
"Cambridgeshire",395,"E10000003"
"Cambridgeshire",393,"E10000003"
"Cambridgeshire",392,"E10000003"
"Cambridgeshire",390,"E10000003"
"Cambridgeshire",391,"E10000003"
"Central Bedfordshire",422,"E06000056"
"Central Bedfordshire",423,"E06000056"
"Central Bedfordshire",424,"E06000056"
"Cheshire East",120,"E06000049"
"Cheshire East",129,"E06000049"
"Cheshire West and Chester",122,"E06000050"
"Cheshire West and Chester",127,"E06000050"
"Cheshire West and Chester",126,"E06000050"
"Cheshire West and Chester",121,"E06000050"
"Cheshire West and Chester",123,"E06000050"
"Cheshire West and Chester",130,"E06000050"
"City of Bristol",601,"E06000023"
"Cornwall and Isles of Scilly",592,"E06000052"
"Cornwall and Isles of Scilly",594,"E06000052"
"Cornwall and Isles of Scilly",591,"E06000052"
"Cornwall and Isles of Scilly",595,"E06000052"
"Cornwall and Isles of Scilly",590,"E06000052"
"Cornwall and Isles of Scilly",593,"E06000052"
"Cornwall and Isles of Scilly",596,"E06000052"
"Coventry",302,"E08000026"
"Cumbria",61,"E10000006"
"Cumbria",63,"E10000006"
"Cumbria",64,"E10000006"
"Cumbria",62,"E10000006"
"Cumbria",60,"E10000006"
"Cumbria",65,"E10000006"
"Darlington",161,"E06000005"
"Derby",323,"E06000015"
"Derbyshire",324,"E10000007"
"Derbyshire",321,"E10000007"
"Derbyshire",320,"E10000007"
"Derbyshire",325,"E10000007"
"Derbyshire",327,"E10000007"
"Derbyshire",328,"E10000007"
"Derbyshire",329,"E10000007"
