Scenario,Text
BikeCarEnteringRoundabout,"BikeCarEnteringRoundabout: 
The collision takes place on a roundabout. 
The bike is entering roundabout, waiting to turn left or to go ahead, moving off, turning left or going ahead on a left hand bend. 
The car is entering roundabout, waiting to turn left or to go ahead, moving off, turning left or going ahead on a left hand bend."
BikeCarLeavingRoundabout,"BikeCarLeavingRoundabout: 
The collision takes place on a roundabout. 
The bike is leaving roundabout, turning left or going ahead on a left hand bend. 
The car is leaving roundabout, turning left or going ahead on a left hand bend."
BikeEnteringCarLeavingRoundabout,"BikeEnteringCarLeavingRoundabout:
The collision takes place on a roundabout.
The bike is entering roundabout, waiting to turn left or to go ahead, moving off, turning left or going ahead on a left hand bend.
The car is leaving roundabout, turning left or going ahead on a left hand bend."
CarEnteringBikeLeavingRoundabout,"CarEnteringBikeLeavingRoundabout:
The collision takes place on a roundabout.
The car is entering roundabout, waiting to turn left or to go ahead, moving off, turning left or going ahead on a left hand bend.
The bike is leaving roundabout, turning left or going ahead on a left hand bend."
CarEnteringRoundabout,"CarEnteringRoundabout:
The collision takes place on a roundabout.
The bike is anywhere on the roundabout, entering or leaving. It is changing lane, overtaking a vehicle which may be the car or not, or going ahead.
The car is entering roundabout, waiting to turn left or to go ahead, moving off, turning left or going ahead on a left hand bend."
CarLeavingRoundabout,"CarLeavingRoundabout:
The collision takes place on a roundabout.
The bike is anywhere on the roundabout, entering or leaving. It is changing lane, overtaking a vehicle which may be the car or not, or going ahead.
The car is leaving roundabout, turning left or going ahead on a left hand bend."
ChangingLane,"ChangingLane:
The collision does not take place at a junction or within 20 meters of a junction.
The car is going ahead on the road.
The bike is changing lane to right or left on a footway or on the road."
ChangingLaneCar,"ChangingLaneCar:
The collision does not take place at a junction or within 20 meters of a junction.
The bike is going ahead on a footway or on the road.
The car is changing lane to right or left. It is approaching or waiting at the junction on the road."
ChangingLaneJunction,"ChangingLaneJunction:
The collision takes place at a junction which is not a roundabout.
The car is going ahead, slowing or stopping. It is approaching or waiting at the junction on the road.
The bike is changing lane to right or left. It is approaching or waiting at the junction one a footway or on the road."
ChangingLaneJunctionCar,"ChangingLaneJunctionCar:
The collision takes place at a junction which is not a roundabout.
The bike is going ahead, slowing or stopping. It is approaching or waiting at the junction on a footway or on the road.
The car is changing lane to right or left. It is approaching or waiting at the junction on the road."
