Scenario,urn,accyr,LAName,Age
BikeCarEnteringRoundabout,199901DP00472,1999,London,
BikeCarEnteringRoundabout,199901JL00078,1999,London,40
BikeCarEnteringRoundabout,199904E085499,1999,Blackburn with Darwen,47
BikeCarEnteringRoundabout,199904F072099,1999,Lancashire,38
BikeCarEnteringRoundabout,199910J150299,1999,Gateshead,30
BikeCarEnteringRoundabout,1.99912E+12,1999,North Yorkshire,56
BikeCarEnteringRoundabout,199916D005199,1999,Kingston Upon Hull,38
BikeCarEnteringRoundabout,199917S200366,1999,Stockton on Tees,20
BikeCarEnteringRoundabout,199920L131201,1999,Solihull,40
BikeCarEnteringRoundabout,1.99922E+12,1999,Staffordshire,34
BikeCarEnteringRoundabout,1.99935E+12,1999,Cambridgeshire,33
BikeCarEnteringRoundabout,2.00E+247,1999,Essex,40
BikeCarEnteringRoundabout,1999440DT0008,1999,Hampshire,51
BikeCarEnteringRoundabout,1999440JH0121,1999,Hampshire,74
BikeCarEnteringRoundabout,1999440RC0074,1999,Portsmouth,34
BikeCarEnteringRoundabout,199945NC00336,1999,Surrey,18
BikeCarEnteringRoundabout,199946CT07248,1999,Kent,31
BikeCarEnteringRoundabout,199947C003020,1999,Brighton and Hove,50
BikeCarEnteringRoundabout,199947X002915,1999,West Sussex,55
BikeCarEnteringRoundabout,199950D415953,1999,Devon,15
BikeCarEnteringRoundabout,199950E311476,1999,Plymouth,30
BikeCarEnteringRoundabout,199950E311523,1999,Plymouth,35
BikeCarEnteringRoundabout,1.99952E+12,1999,City of Bristol,28
BikeCarEnteringRoundabout,1999530AI0910,1999,Gloucestershire,68
BikeCarEnteringRoundabout,199954DN07379,1999,Swindon,26
BikeCarEnteringRoundabout,1999550B01253,1999,Bournemouth,
BikeCarEnteringRoundabout,1999550B02382,1999,Bournemouth,31
BikeCarEnteringRoundabout,1999550B03463,1999,Bournemouth,29
BikeCarEnteringRoundabout,200001HT01134,2000,London,32
BikeCarEnteringRoundabout,200001JI00357,2000,London,55
BikeCarEnteringRoundabout,200001TW00322,2000,London,
BikeCarEnteringRoundabout,200006F007096,2000,Salford,25
BikeCarEnteringRoundabout,2.00007E+12,2000,Cheshire West and Chester,25
BikeCarEnteringRoundabout,200010C006300,2000,Northumberland,30
BikeCarEnteringRoundabout,200010G176000,2000,North Tyneside,63
BikeCarEnteringRoundabout,200010I397600,2000,North Tyneside,25
BikeCarEnteringRoundabout,200010K267700,2000,Gateshead,30
BikeCarEnteringRoundabout,200013AA11800,2000,Leeds,61
BikeCarEnteringRoundabout,200020D240201,2000,Birmingham,48
BikeCarEnteringRoundabout,200020H093102,2000,Walsall,17
BikeCarEnteringRoundabout,200022AA13577,2000,Worcestershire,34
BikeCarEnteringRoundabout,2.00023E+12,2000,Warwickshire,
BikeCarEnteringRoundabout,200032D007840,2000,Lincolnshire,13
BikeCarEnteringRoundabout,2000400C00788,2000,Luton,35
BikeCarEnteringRoundabout,2000400D02705,2000,Central Bedfordshire,18
BikeCarEnteringRoundabout,200043N208040,2000,Buckinghamshire,31
BikeCarEnteringRoundabout,200043P005070,2000,Oxfordshire,33
BikeCarEnteringRoundabout,200043P278070,2000,Oxfordshire,35
BikeCarEnteringRoundabout,200043S189110,2000,Milton Keynes,36
BikeCarEnteringRoundabout,200043W182080,2000,Wokingham,15
BikeCarEnteringRoundabout,2000440AA1217,2000,Hampshire,75
BikeCarEnteringRoundabout,2000440DR0175,2000,Hampshire,45
BikeCarEnteringRoundabout,2000440HF0529,2000,Hampshire,54
BikeCarEnteringRoundabout,2000440JH0051,2000,Hampshire,30
BikeCarEnteringRoundabout,2000440KS0682,2000,Portsmouth,51
BikeCarEnteringRoundabout,2000440NA0607,2000,Hampshire,28
BikeCarEnteringRoundabout,200047Y127272,2000,West Sussex,59
BikeCarEnteringRoundabout,200050D212175,2000,Devon,27
BikeCarEnteringRoundabout,200050D215848,2000,Devon,48
BikeCarEnteringRoundabout,200050E412814,2000,Plymouth,35
BikeCarEnteringRoundabout,200054DN43600,2000,Swindon,40
BikeCarEnteringRoundabout,2000550B00452,2000,Bournemouth,31
BikeCarEnteringRoundabout,2000550P00791,2000,Poole,24
BikeCarEnteringRoundabout,200101DM01101,2001,London,
BikeCarEnteringRoundabout,200101MM00085,2001,London,26
BikeCarEnteringRoundabout,200101MM00743,2001,London,32
BikeCarEnteringRoundabout,200101PL01004,2001,London,46
BikeCarEnteringRoundabout,200101RG00811,2001,London,24
BikeCarEnteringRoundabout,200101TW00085,2001,London,45
BikeCarEnteringRoundabout,2.00103E+12,2001,Cumbria,21
BikeCarEnteringRoundabout,2.00105E+12,2001,Merseyside,25
BikeCarEnteringRoundabout,200106L009452,2001,Wigan,43
BikeCarEnteringRoundabout,200106M007577,2001,Trafford,37
BikeCarEnteringRoundabout,200106N006903,2001,Bury,53
BikeCarEnteringRoundabout,200110D065701,2001,Newcastle upon Tyne,32
BikeCarEnteringRoundabout,200110I102601,2001,North Tyneside,37
BikeCarEnteringRoundabout,200110I297301,2001,North Tyneside,36
BikeCarEnteringRoundabout,2.00112E+12,2001,York,
BikeCarEnteringRoundabout,2.00113E+12,2001,Leeds,27
BikeCarEnteringRoundabout,2.00113E+12,2001,Leeds,34
BikeCarEnteringRoundabout,200114FF00787,2001,Rotherham,
BikeCarEnteringRoundabout,2.00121E+12,2001,Staffordshire,42
BikeCarEnteringRoundabout,2.00121E+12,2001,Staffordshire,
BikeCarEnteringRoundabout,200136N011541,2001,Norfolk,23
BikeCarEnteringRoundabout,2001400D02543,2001,Central Bedfordshire,50
BikeCarEnteringRoundabout,20014200A0937,2001,Essex,44
BikeCarEnteringRoundabout,2.00E+244,2001,Essex,11
BikeCarEnteringRoundabout,200143P300061,2001,Oxfordshire,48
BikeCarEnteringRoundabout,2.00146E+12,2001,Medway,16
BikeCarEnteringRoundabout,200147Y145203,2001,West Sussex,32
BikeCarEnteringRoundabout,200150A310031,2001,Cornwall and Isles of Scilly,50
BikeCarEnteringRoundabout,200150A313268,2001,Cornwall and Isles of Scilly,17
BikeCarEnteringRoundabout,200201DM01282,2002,London,36
BikeCarEnteringRoundabout,200201DM02252,2002,London,
BikeCarEnteringRoundabout,200201GD00375,2002,London,30
BikeCarEnteringRoundabout,200201MM00189,2002,London,40
BikeCarEnteringRoundabout,200206M009446,2002,Trafford,12
BikeCarEnteringRoundabout,2.00207E+12,2002,Cheshire West and Chester,33
BikeCarEnteringRoundabout,2.0021E+12,2002,North Tyneside,50
BikeCarEnteringRoundabout,2.00212E+12,2002,York,
BikeCarEnteringRoundabout,2.00221E+12,2002,Stoke on Trent,
BikeCarEnteringRoundabout,2.00236E+12,2002,Norfolk,21
BikeCarEnteringRoundabout,20024100B0456,2002,Hertfordshire,15
BikeCarEnteringRoundabout,20024100K0465,2002,Hertfordshire,38
BikeCarEnteringRoundabout,200243W705102,2002,Reading,58
BikeCarEnteringRoundabout,2002440KK0739,2002,Portsmouth,22
