Scenario,urn,accyr,LAName,Age
BikeCarLeavingRoundabout,199901HT02149,1999,London,29
BikeCarLeavingRoundabout,199901ID00074,1999,London,34
BikeCarLeavingRoundabout,199901KO00429,1999,London,24
BikeCarLeavingRoundabout,199901NI09071,1999,London,34
BikeCarLeavingRoundabout,199901QD00396,1999,London,25
BikeCarLeavingRoundabout,199901RY00246,1999,London,24
BikeCarLeavingRoundabout,199901RY00602,1999,London,35
BikeCarLeavingRoundabout,199901SA00439,1999,Hertfordshire,20
BikeCarLeavingRoundabout,199901TX00869,1999,London,40
BikeCarLeavingRoundabout,199901ZD00688,1999,London,37
BikeCarLeavingRoundabout,1.99903E+12,1999,Cumbria,37
BikeCarLeavingRoundabout,199904C001399,1999,Lancashire,17
BikeCarLeavingRoundabout,199904C051299,1999,Lancashire,55
BikeCarLeavingRoundabout,199904F057599,1999,Lancashire,41
BikeCarLeavingRoundabout,1.99905E+12,1999,Merseyside,33
BikeCarLeavingRoundabout,1.99905E+12,1999,Merseyside,22
BikeCarLeavingRoundabout,199906F404899,1999,Salford,25
BikeCarLeavingRoundabout,199906M004551,1999,Trafford,30
BikeCarLeavingRoundabout,199906M339499,1999,Trafford,26
BikeCarLeavingRoundabout,1999079A30657,1999,Cheshire West and Chester,19
BikeCarLeavingRoundabout,1999079A41069,1999,Cheshire West and Chester,14
BikeCarLeavingRoundabout,1999079B11209,1999,Halton,16
BikeCarLeavingRoundabout,1999079B41078,1999,Halton,18
BikeCarLeavingRoundabout,199910G203799,1999,Newcastle upon Tyne,25
BikeCarLeavingRoundabout,199910H289199,1999,North Tyneside,13
BikeCarLeavingRoundabout,199910M244499,1999,South Tyneside,11
BikeCarLeavingRoundabout,1.99912E+12,1999,York,39
BikeCarLeavingRoundabout,199913BB45799,1999,Leeds,19
BikeCarLeavingRoundabout,199913GC29099,1999,Bradford,20
BikeCarLeavingRoundabout,199914FF00184,1999,Rotherham,16
BikeCarLeavingRoundabout,199916A047599,1999,North East Lincolnshire,28
BikeCarLeavingRoundabout,199916F036499,1999,Kingston Upon Hull,
BikeCarLeavingRoundabout,199920D257001,1999,Birmingham,13
BikeCarLeavingRoundabout,199920E095401,1999,Birmingham,16
BikeCarLeavingRoundabout,199920H045901,1999,Walsall,26
BikeCarLeavingRoundabout,199920M069401,1999,Coventry,29
BikeCarLeavingRoundabout,1.99922E+12,1999,Staffordshire,14
BikeCarLeavingRoundabout,1.99922E+12,1999,Staffordshire,11
BikeCarLeavingRoundabout,1.99922E+12,1999,Staffordshire,12
BikeCarLeavingRoundabout,1.99922E+12,1999,Staffordshire,30
BikeCarLeavingRoundabout,199922GK00861,1999,Shropshire,45
BikeCarLeavingRoundabout,1.99924E+12,1999,Warwickshire,53
BikeCarLeavingRoundabout,199930A000303,1999,Derbyshire,12
BikeCarLeavingRoundabout,1999317B40205,1999,Nottingham,8
BikeCarLeavingRoundabout,199936N991803,1999,Norfolk,
BikeCarLeavingRoundabout,199937L003903,1999,Suffolk,12
BikeCarLeavingRoundabout,199940B274799,1999,Bedford Borough Council,29
BikeCarLeavingRoundabout,19994100A0517,1999,Hertfordshire,25
BikeCarLeavingRoundabout,19994200A0580,1999,Essex,16
BikeCarLeavingRoundabout,19994200B0173,1999,Essex,28
BikeCarLeavingRoundabout,19994200G0457,1999,Essex,31
BikeCarLeavingRoundabout,19994200J0419,1999,Essex,
BikeCarLeavingRoundabout,199943N317029,1999,Buckinghamshire,49
BikeCarLeavingRoundabout,199943R270109,1999,Slough,67
BikeCarLeavingRoundabout,199943W034089,1999,Reading,36
BikeCarLeavingRoundabout,1999440HF0240,1999,Hampshire,62
BikeCarLeavingRoundabout,1999440HF0543,1999,Hampshire,28
BikeCarLeavingRoundabout,1999440KS0274,1999,Portsmouth,35
BikeCarLeavingRoundabout,1999440NA0658,1999,Hampshire,16
BikeCarLeavingRoundabout,1999440RC0003,1999,Portsmouth,26
BikeCarLeavingRoundabout,1999440RC0353,1999,Portsmouth,57
BikeCarLeavingRoundabout,199945ER00197,1999,Surrey,12
BikeCarLeavingRoundabout,199946CT00231,1999,Kent,73
BikeCarLeavingRoundabout,199946CT05748,1999,Kent,51
BikeCarLeavingRoundabout,199946SW09704,1999,Kent,13
BikeCarLeavingRoundabout,199947N002792,1999,West Sussex,23
BikeCarLeavingRoundabout,199947N002865,1999,West Sussex,13
BikeCarLeavingRoundabout,199947N004007,1999,West Sussex,14
BikeCarLeavingRoundabout,199947X003746,1999,West Sussex,23
BikeCarLeavingRoundabout,199947Y002276,1999,West Sussex,19
BikeCarLeavingRoundabout,199947Y002665,1999,West Sussex,63
BikeCarLeavingRoundabout,199950E212265,1999,Plymouth,17
BikeCarLeavingRoundabout,199950E411486,1999,Plymouth,17
BikeCarLeavingRoundabout,1.99952E+12,1999,South Gloucestershire,40
BikeCarLeavingRoundabout,1.99952E+12,1999,City of Bristol,43
BikeCarLeavingRoundabout,1.99952E+12,1999,City of Bristol,28
BikeCarLeavingRoundabout,1.99952E+12,1999,South Gloucestershire,28
BikeCarLeavingRoundabout,1999550B00309,1999,Bournemouth,
BikeCarLeavingRoundabout,1999550B03696,1999,Bournemouth,69
BikeCarLeavingRoundabout,200001HT00404,2000,London,44
BikeCarLeavingRoundabout,200001HT00558,2000,London,30
BikeCarLeavingRoundabout,200001HT00566,2000,London,38
BikeCarLeavingRoundabout,200001HT00572,2000,London,21
BikeCarLeavingRoundabout,200001TG00049,2000,Surrey,45
BikeCarLeavingRoundabout,200001TW00667,2000,London,34
BikeCarLeavingRoundabout,200001ZD00260,2000,London,48
BikeCarLeavingRoundabout,200001ZD01307,2000,London,41
BikeCarLeavingRoundabout,200004A041900,2000,Blackpool,10
BikeCarLeavingRoundabout,200004B074900,2000,Lancashire,29
BikeCarLeavingRoundabout,2.00005E+12,2000,Merseyside,27
BikeCarLeavingRoundabout,2.00007E+12,2000,Warrington,25
BikeCarLeavingRoundabout,200011AK21130,2000,Durham,59
BikeCarLeavingRoundabout,200011DJ00390,2000,Darlington,14
BikeCarLeavingRoundabout,200011DJ32980,2000,Darlington,35
BikeCarLeavingRoundabout,2.00012E+12,2000,York,54
BikeCarLeavingRoundabout,2.00013E+12,2000,Bradford,45
BikeCarLeavingRoundabout,200014AA00654,2000,Doncaster,36
BikeCarLeavingRoundabout,200016C047700,2000,East Riding of Yorkshire,13
BikeCarLeavingRoundabout,200016D045400,2000,Kingston Upon Hull,41
BikeCarLeavingRoundabout,200016D102400,2000,Kingston Upon Hull,50
BikeCarLeavingRoundabout,200020D358401,2000,Birmingham,22
BikeCarLeavingRoundabout,200020K119401,2000,Sandwell,17
BikeCarLeavingRoundabout,2.00021E+12,2000,Stoke on Trent,22
BikeCarLeavingRoundabout,2.00021E+12,2000,Staffordshire,14
BikeCarLeavingRoundabout,2.00021E+12,2000,Staffordshire,16
BikeCarLeavingRoundabout,200030C000601,2000,Derbyshire,23
BikeCarLeavingRoundabout,2000317E80885,2000,Nottinghamshire,38
BikeCarLeavingRoundabout,200032B014740,2000,Lincolnshire,44
BikeCarLeavingRoundabout,200032C009310,2000,Lincolnshire,18
BikeCarLeavingRoundabout,2.00033E+12,2000,Leicestershire,69
BikeCarLeavingRoundabout,2.00033E+12,2000,Leicestershire,11
BikeCarLeavingRoundabout,200034NC00664,2000,Northamptonshire,13
BikeCarLeavingRoundabout,2.00035E+12,2000,Peterborough,32
BikeCarLeavingRoundabout,2.00035E+12,2000,Cambridgeshire,19
BikeCarLeavingRoundabout,200037B009291,2000,Suffolk,22
BikeCarLeavingRoundabout,200037G007162,2000,Suffolk,13
BikeCarLeavingRoundabout,2000400B01766,2000,Bedford Borough Council,9
BikeCarLeavingRoundabout,2000400D03189,2000,Central Bedfordshire,14
BikeCarLeavingRoundabout,20004100B0731,2000,Hertfordshire,25
BikeCarLeavingRoundabout,20004100D0539,2000,Hertfordshire,12
BikeCarLeavingRoundabout,20004100G0218,2000,Hertfordshire,6
BikeCarLeavingRoundabout,20004100K0306,2000,Hertfordshire,9
BikeCarLeavingRoundabout,20004200B0533,2000,Essex,24
BikeCarLeavingRoundabout,20004200B0589,2000,Essex,11
BikeCarLeavingRoundabout,20004200B0670,2000,Essex,17
BikeCarLeavingRoundabout,20004200D0401,2000,Essex,60
BikeCarLeavingRoundabout,200043S085050,2000,Milton Keynes,15
BikeCarLeavingRoundabout,200043W033030,2000,Wokingham,29
BikeCarLeavingRoundabout,200043W138050,2000,Windsor and Maidenhead,55
BikeCarLeavingRoundabout,200043W382010,2000,Wokingham,29
BikeCarLeavingRoundabout,200043W509100,2000,Slough,16
BikeCarLeavingRoundabout,2000440AA0767,2000,Hampshire,43
BikeCarLeavingRoundabout,2000440GG0313,2000,Hampshire,13
BikeCarLeavingRoundabout,2000440KS0617,2000,Portsmouth,5
BikeCarLeavingRoundabout,2000440KS0676,2000,Portsmouth,17
BikeCarLeavingRoundabout,2000440LN0119,2000,Hampshire,7
BikeCarLeavingRoundabout,2000440RF0753,2000,Portsmouth,17
BikeCarLeavingRoundabout,2000440RF0972,2000,Portsmouth,63
BikeCarLeavingRoundabout,200045ED00266,2000,Surrey,29
BikeCarLeavingRoundabout,200046CT27860,2000,Kent,21
BikeCarLeavingRoundabout,200046ME00553,2000,Medway,58
BikeCarLeavingRoundabout,200047H003929,2000,West Sussex,28
BikeCarLeavingRoundabout,200047X004260,2000,West Sussex,34
BikeCarLeavingRoundabout,200050A414270,2000,Cornwall and Isles of Scilly,35
BikeCarLeavingRoundabout,200050C215513,2000,Devon,32
BikeCarLeavingRoundabout,200050C215840,2000,Devon,19
BikeCarLeavingRoundabout,200050D211936,2000,Devon,25
BikeCarLeavingRoundabout,2.00052E+12,2000,City of Bristol,40
BikeCarLeavingRoundabout,200054DN16100,2000,Swindon,31
BikeCarLeavingRoundabout,200054DS02500,2000,Swindon,26
BikeCarLeavingRoundabout,2000550B00307,2000,Bournemouth,33
BikeCarLeavingRoundabout,200101FH00463,2001,London,23
BikeCarLeavingRoundabout,200101GD01167,2001,London,33
BikeCarLeavingRoundabout,200101HT00319,2001,London,50
BikeCarLeavingRoundabout,200101HT00324,2001,London,41
BikeCarLeavingRoundabout,200101HT01041,2001,London,25
BikeCarLeavingRoundabout,200101MM00188,2001,London,39
BikeCarLeavingRoundabout,200101MM00828,2001,London,43
BikeCarLeavingRoundabout,200101MM01155,2001,London,36
BikeCarLeavingRoundabout,200101MM01653,2001,London,41
BikeCarLeavingRoundabout,200101MM09006,2001,London,51
BikeCarLeavingRoundabout,200101MM09112,2001,London,37
BikeCarLeavingRoundabout,200101NI01087,2001,London,
BikeCarLeavingRoundabout,200101TX01279,2001,London,42
BikeCarLeavingRoundabout,200101ZD00637,2001,London,37
BikeCarLeavingRoundabout,200104A017401,2001,Lancashire,36
BikeCarLeavingRoundabout,200104A040101,2001,Blackpool,8
BikeCarLeavingRoundabout,200106F009753,2001,Salford,36
BikeCarLeavingRoundabout,2.00107E+12,2001,Cheshire East,21
BikeCarLeavingRoundabout,200110C234101,2001,Northumberland,9
BikeCarLeavingRoundabout,200110G361701,2001,Newcastle upon Tyne,7
BikeCarLeavingRoundabout,200110H344501,2001,North Tyneside,30
BikeCarLeavingRoundabout,200110O498501,2001,South Tyneside,12
BikeCarLeavingRoundabout,200111BE19700,2001,Durham,14
BikeCarLeavingRoundabout,2.00113E+12,2001,Leeds,17
BikeCarLeavingRoundabout,2.00113E+12,2001,Wakefield,12
BikeCarLeavingRoundabout,200116A016201,2001,North East Lincolnshire,14
BikeCarLeavingRoundabout,200116D063501,2001,Kingston Upon Hull,30
BikeCarLeavingRoundabout,200116D064701,2001,Kingston Upon Hull,13
BikeCarLeavingRoundabout,200120L255101,2001,Solihull,32
BikeCarLeavingRoundabout,200120M072902,2001,Coventry,22
BikeCarLeavingRoundabout,200120M090503,2001,Coventry,41
BikeCarLeavingRoundabout,2.00121E+12,2001,Stoke on Trent,32
BikeCarLeavingRoundabout,2.00121E+12,2001,Staffordshire,14
BikeCarLeavingRoundabout,2.00121E+12,2001,Staffordshire,61
BikeCarLeavingRoundabout,2.00121E+12,2001,Staffordshire,44
BikeCarLeavingRoundabout,2.00121E+12,2001,Staffordshire,17
BikeCarLeavingRoundabout,200122CA24341,2001,Worcestershire,15
BikeCarLeavingRoundabout,200122FA21388,2001,Shropshire,20
BikeCarLeavingRoundabout,200122GA21438,2001,Telford and Wrekin,5
BikeCarLeavingRoundabout,200122GB19045,2001,Telford and Wrekin,40
BikeCarLeavingRoundabout,2.00123E+12,2001,Warwickshire,15
BikeCarLeavingRoundabout,200132C136401,2001,Lincolnshire,28
BikeCarLeavingRoundabout,200132D112701,2001,Lincolnshire,20
BikeCarLeavingRoundabout,200134NN00127,2001,Northamptonshire,16
BikeCarLeavingRoundabout,2.00135E+12,2001,Cambridgeshire,73
BikeCarLeavingRoundabout,200137G007995,2001,Suffolk,15
BikeCarLeavingRoundabout,200143P033071,2001,Oxfordshire,14
BikeCarLeavingRoundabout,200143S080111,2001,Milton Keynes,
BikeCarLeavingRoundabout,200143W612011,2001,Windsor and Maidenhead,36
BikeCarLeavingRoundabout,200143W836111,2001,Wokingham,28
BikeCarLeavingRoundabout,2001440AA0219,2001,Hampshire,43
BikeCarLeavingRoundabout,2001440KK0856,2001,Portsmouth,61
BikeCarLeavingRoundabout,2001440OL0824,2001,Hampshire,10
BikeCarLeavingRoundabout,2001440SC0296,2001,Southampton ,14
BikeCarLeavingRoundabout,200145ME06783,2001,Surrey,39
BikeCarLeavingRoundabout,200145MN02305,2001,Surrey,23
BikeCarLeavingRoundabout,200145RS07693,2001,Surrey,58
BikeCarLeavingRoundabout,2.00146E+12,2001,Medway,22
BikeCarLeavingRoundabout,200146MA46717,2001,Kent,22
BikeCarLeavingRoundabout,200146NK43469,2001,Kent,
BikeCarLeavingRoundabout,200147N145306,2001,West Sussex,34
BikeCarLeavingRoundabout,200147T142762,2001,East Sussex,13
BikeCarLeavingRoundabout,200147X145058,2001,West Sussex,34
BikeCarLeavingRoundabout,200150A222911,2001,Cornwall and Isles of Scilly,50
BikeCarLeavingRoundabout,200150A410068,2001,Cornwall and Isles of Scilly,42
BikeCarLeavingRoundabout,2.00152E+12,2001,North Somerset,60
BikeCarLeavingRoundabout,2.00152E+12,2001,Bath and North East Somerset,43
BikeCarLeavingRoundabout,200154DN58201,2001,Swindon,27
BikeCarLeavingRoundabout,200201DM00248,2002,London,30
BikeCarLeavingRoundabout,200201DM01687,2002,London,47
BikeCarLeavingRoundabout,200201VK00417,2002,London,13
BikeCarLeavingRoundabout,2.00203E+12,2002,Cumbria,46
BikeCarLeavingRoundabout,200204C034102,2002,Lancashire,13
BikeCarLeavingRoundabout,200204C098702,2002,Lancashire,51
BikeCarLeavingRoundabout,200204D004602,2002,Lancashire,13
BikeCarLeavingRoundabout,2.00205E+12,2002,Merseyside,35
BikeCarLeavingRoundabout,200205BS00473,2002,Merseyside,11
BikeCarLeavingRoundabout,200206P009049,2002,Rochdale,18
BikeCarLeavingRoundabout,200206P010026,2002,Rochdale,29
BikeCarLeavingRoundabout,2.00207E+12,2002,Warrington,44
BikeCarLeavingRoundabout,2.0021E+12,2002,South Tyneside,10
BikeCarLeavingRoundabout,2.0021E+12,2002,South Tyneside,13
BikeCarLeavingRoundabout,2.0021E+12,2002,Northumberland,23
BikeCarLeavingRoundabout,2.0021E+12,2002,North Tyneside,19
BikeCarLeavingRoundabout,200214DD00144,2002,Barnsley,29
BikeCarLeavingRoundabout,200216A004402,2002,North East Lincolnshire,12
BikeCarLeavingRoundabout,200216B015102,2002,North Lincolnshire,13
BikeCarLeavingRoundabout,200216B055702,2002,North Lincolnshire,55
BikeCarLeavingRoundabout,200216D056002,2002,Kingston Upon Hull,39
BikeCarLeavingRoundabout,2002170M12932,2002,Middlesbrough,30
BikeCarLeavingRoundabout,2002170S12652,2002,Stockton on Tees,36
BikeCarLeavingRoundabout,200220E221703,2002,Birmingham,16
BikeCarLeavingRoundabout,200220F360601,2002,Birmingham,52
BikeCarLeavingRoundabout,200220K071901,2002,Sandwell,9
BikeCarLeavingRoundabout,200220M050803,2002,Coventry,17
BikeCarLeavingRoundabout,2.00221E+12,2002,Staffordshire,13
BikeCarLeavingRoundabout,200230D000343,2002,Derby,17
BikeCarLeavingRoundabout,20023102C3502,2002,Nottingham,22
BikeCarLeavingRoundabout,2.00233E+12,2002,Leicestershire,72
BikeCarLeavingRoundabout,2.00233E+12,2002,Leicestershire,23
BikeCarLeavingRoundabout,2.00233E+12,2002,Leicestershire,77
BikeCarLeavingRoundabout,2.00233E+12,2002,Leicestershire,33
BikeCarLeavingRoundabout,200234NC00633,2002,Northamptonshire,9
BikeCarLeavingRoundabout,200234NN00612,2002,Northamptonshire,7
BikeCarLeavingRoundabout,2.00235E+12,2002,Cambridgeshire,23
BikeCarLeavingRoundabout,200236N021000,2002,Norfolk,52
BikeCarLeavingRoundabout,20024100C5327,2002,Hertfordshire,11
BikeCarLeavingRoundabout,20024100G0641,2002,Hertfordshire,11
BikeCarLeavingRoundabout,20024100G0861,2002,Hertfordshire,12
BikeCarLeavingRoundabout,20024200D0028,2002,Essex,15
BikeCarLeavingRoundabout,20024200H0596,2002,Southend on Sea,13
BikeCarLeavingRoundabout,20024200J0401,2002,Essex,41
BikeCarLeavingRoundabout,200243N172062,2002,Buckinghamshire,28
BikeCarLeavingRoundabout,200243W616052,2002,Windsor and Maidenhead,23
BikeCarLeavingRoundabout,200243W630032,2002,Slough,13
BikeCarLeavingRoundabout,2002440JL0004,2002,Hampshire,35
BikeCarLeavingRoundabout,2002440KK2651,2002,Portsmouth,21
BikeCarLeavingRoundabout,2002440SY0486,2002,Southampton ,30
BikeCarLeavingRoundabout,200246CT64668,2002,Kent,60
BikeCarLeavingRoundabout,200246SK63903,2002,Kent,28
BikeCarLeavingRoundabout,200246SW58481,2002,Kent,45
BikeCarLeavingRoundabout,200247K152498,2002,West Sussex,23
BikeCarLeavingRoundabout,200247K153146,2002,West Sussex,24
BikeCarLeavingRoundabout,200247K154699,2002,East Sussex,32
BikeCarLeavingRoundabout,200247N145968,2002,West Sussex,40
BikeCarLeavingRoundabout,200250D210737,2002,Devon,20
