Scenario,urn,accyr,LAName,Age
BikeEnteringCarLeavingRoundabout,199906G304699,1999,Tameside,18
BikeEnteringCarLeavingRoundabout,1.99924E+12,1999,Warwickshire,24
BikeEnteringCarLeavingRoundabout,199930A000642,1999,Derbyshire,13
BikeEnteringCarLeavingRoundabout,1999440AA0146,1999,Hampshire,83
BikeEnteringCarLeavingRoundabout,199946WL00433,1999,Kent,26
BikeEnteringCarLeavingRoundabout,199950A613139,1999,Cornwall and Isles of Scilly,20
BikeEnteringCarLeavingRoundabout,1.99952E+12,1999,City of Bristol,31
BikeEnteringCarLeavingRoundabout,1.99952E+12,1999,City of Bristol,44
BikeEnteringCarLeavingRoundabout,2.00007E+12,2000,Cheshire West and Chester,34
BikeEnteringCarLeavingRoundabout,200010L204300,2000,South Tyneside,36
BikeEnteringCarLeavingRoundabout,200014HH01120,2000,Sheffield,47
BikeEnteringCarLeavingRoundabout,200017S100479,2000,Stockton on Tees,24
BikeEnteringCarLeavingRoundabout,200020H100102,2000,Walsall,46
BikeEnteringCarLeavingRoundabout,2.00033E+12,2000,Leicestershire,35
BikeEnteringCarLeavingRoundabout,20004200K0017,2000,Essex,52
BikeEnteringCarLeavingRoundabout,200046SW16007,2000,Kent,33
BikeEnteringCarLeavingRoundabout,200106G006987,2001,Tameside,11
BikeEnteringCarLeavingRoundabout,200106L011161,2001,Wigan,13
BikeEnteringCarLeavingRoundabout,2.00113E+12,2001,Bradford,3
BikeEnteringCarLeavingRoundabout,200120M082603,2001,Coventry,
BikeEnteringCarLeavingRoundabout,2.00135E+12,2001,Cambridgeshire,20
BikeEnteringCarLeavingRoundabout,2.00135E+12,2001,Peterborough,10
BikeEnteringCarLeavingRoundabout,200143P058031,2001,Oxfordshire,31
BikeEnteringCarLeavingRoundabout,200143W502111,2001,Bracknell Forest,48
BikeEnteringCarLeavingRoundabout,200147X137702,2001,West Sussex,69
BikeEnteringCarLeavingRoundabout,200147X140723,2001,West Sussex,58
BikeEnteringCarLeavingRoundabout,2001551E01538,2001,Dorset,21
BikeEnteringCarLeavingRoundabout,2.00205E+12,2002,Merseyside,29
BikeEnteringCarLeavingRoundabout,2.00207E+12,2002,Warrington,39
