Scenario,urn,accyr,LAName,Age
CarEnteringBikeLeavingRoundabout,199901ZP00060,1999,London,57
CarEnteringBikeLeavingRoundabout,1.99905E+12,1999,Merseyside,30
CarEnteringBikeLeavingRoundabout,1999079C31170,1999,Cheshire West and Chester,21
CarEnteringBikeLeavingRoundabout,199913CA01399,1999,Leeds,41
CarEnteringBikeLeavingRoundabout,199914EE00493,1999,Barnsley,16
CarEnteringBikeLeavingRoundabout,199914FF01071,1999,Rotherham,40
CarEnteringBikeLeavingRoundabout,199914JJ00947,1999,Sheffield,29
CarEnteringBikeLeavingRoundabout,199914KK00253,1999,Sheffield,22
CarEnteringBikeLeavingRoundabout,199916C027699,1999,East Riding of Yorkshire,52
CarEnteringBikeLeavingRoundabout,199916D045299,1999,Kingston Upon Hull,43
CarEnteringBikeLeavingRoundabout,199920J103301,1999,Dudley,43
CarEnteringBikeLeavingRoundabout,1.99922E+12,1999,Staffordshire,30
CarEnteringBikeLeavingRoundabout,1.99935E+12,1999,Cambridgeshire,45
CarEnteringBikeLeavingRoundabout,1.99935E+12,1999,Cambridgeshire,20
CarEnteringBikeLeavingRoundabout,199937B005326,1999,Suffolk,74
CarEnteringBikeLeavingRoundabout,199937G003859,1999,Suffolk,37
CarEnteringBikeLeavingRoundabout,199940B137199,1999,Bedford Borough Council,15
CarEnteringBikeLeavingRoundabout,19994100B0270,1999,Hertfordshire,40
CarEnteringBikeLeavingRoundabout,19994100C0587,1999,Hertfordshire,18
CarEnteringBikeLeavingRoundabout,19994100F0539,1999,Hertfordshire,22
CarEnteringBikeLeavingRoundabout,19994200E0614,1999,Essex,47
CarEnteringBikeLeavingRoundabout,199943N336059,1999,Buckinghamshire,61
CarEnteringBikeLeavingRoundabout,199943P039069,1999,Oxfordshire,29
CarEnteringBikeLeavingRoundabout,199943R058099,1999,Windsor and Maidenhead,27
CarEnteringBikeLeavingRoundabout,199943W166079,1999,West Berkshire,61
CarEnteringBikeLeavingRoundabout,199943W209039,1999,Wokingham,
CarEnteringBikeLeavingRoundabout,1999440GG0030,1999,Hampshire,17
CarEnteringBikeLeavingRoundabout,1999440GG0040,1999,Hampshire,19
CarEnteringBikeLeavingRoundabout,1999440GG0364,1999,Hampshire,12
CarEnteringBikeLeavingRoundabout,1999440JW0102,1999,Hampshire,34
CarEnteringBikeLeavingRoundabout,1999440OL1630,1999,Hampshire,28
CarEnteringBikeLeavingRoundabout,199945NW00120,1999,Surrey,11
CarEnteringBikeLeavingRoundabout,199946MA06662,1999,Kent,27
CarEnteringBikeLeavingRoundabout,199946NK02198,1999,Kent,12
CarEnteringBikeLeavingRoundabout,199947X002989,1999,West Sussex,
CarEnteringBikeLeavingRoundabout,199947X003439,1999,West Sussex,51
CarEnteringBikeLeavingRoundabout,199947X003891,1999,West Sussex,
CarEnteringBikeLeavingRoundabout,199947Y002450,1999,West Sussex,25
CarEnteringBikeLeavingRoundabout,199947Y002935,1999,West Sussex,22
CarEnteringBikeLeavingRoundabout,199950D212860,1999,Devon,37
CarEnteringBikeLeavingRoundabout,1.99952E+12,1999,North Somerset,14
CarEnteringBikeLeavingRoundabout,1999530AI4750,1999,Gloucestershire,15
CarEnteringBikeLeavingRoundabout,2.00007E+12,2000,Cheshire West and Chester,36
CarEnteringBikeLeavingRoundabout,2.00007E+12,2000,Cheshire West and Chester,40
CarEnteringBikeLeavingRoundabout,2.00012E+12,2000,North Yorkshire,10
CarEnteringBikeLeavingRoundabout,2.00013E+12,2000,Leeds,10
CarEnteringBikeLeavingRoundabout,2.00013E+12,2000,Leeds,25
CarEnteringBikeLeavingRoundabout,2.00013E+12,2000,Bradford,53
CarEnteringBikeLeavingRoundabout,200014FF01047,2000,Rotherham,55
CarEnteringBikeLeavingRoundabout,200016C034100,2000,East Riding of Yorkshire,33
CarEnteringBikeLeavingRoundabout,200016C085000,2000,East Riding of Yorkshire,42
CarEnteringBikeLeavingRoundabout,200020D160802,2000,Birmingham,12
CarEnteringBikeLeavingRoundabout,200020M069901,2000,Coventry,21
CarEnteringBikeLeavingRoundabout,2.00035E+12,2000,Peterborough,18
CarEnteringBikeLeavingRoundabout,200037G005617,2000,Suffolk,34
CarEnteringBikeLeavingRoundabout,20004200E0632,2000,Essex,17
CarEnteringBikeLeavingRoundabout,20004200J0652,2000,Essex,45
