Scenario,urn,accyr,LAName,Age
CarEnteringRoundabout,199901BS00484,1999,London,43
CarEnteringRoundabout,199901DM01108,1999,London,
CarEnteringRoundabout,199901LX00274,1999,London,47
CarEnteringRoundabout,199901XH00647,1999,London,60
CarEnteringRoundabout,199901XS00328,1999,London,34
CarEnteringRoundabout,199901ZD00235,1999,London,39
CarEnteringRoundabout,199901ZN00858,1999,London,50
CarEnteringRoundabout,1.99905E+12,1999,Merseyside,22
CarEnteringRoundabout,1.99905E+12,1999,Merseyside,16
CarEnteringRoundabout,1.99912E+12,1999,York,33
CarEnteringRoundabout,199914HH01022,1999,Sheffield,34
CarEnteringRoundabout,199916D039099,1999,Kingston Upon Hull,23
CarEnteringRoundabout,199916D041899,1999,Kingston Upon Hull,42
CarEnteringRoundabout,199920K057301,1999,Sandwell,13
CarEnteringRoundabout,199922EU01950,1999,Herefordshire,36
CarEnteringRoundabout,1999317C41811,1999,Nottingham,13
CarEnteringRoundabout,1999317D41090,1999,Nottinghamshire,53
CarEnteringRoundabout,199932C011889,1999,Lincolnshire,55
CarEnteringRoundabout,199934NC00403,1999,Northamptonshire,35
CarEnteringRoundabout,1.99935E+12,1999,Peterborough,29
CarEnteringRoundabout,1.99935E+12,1999,Cambridgeshire,46
CarEnteringRoundabout,199936N990155,1999,Norfolk,51
CarEnteringRoundabout,19994100C0483,1999,Hertfordshire,13
CarEnteringRoundabout,19994100G0188,1999,Hertfordshire,11
CarEnteringRoundabout,2.00E+285,1999,Essex,13
CarEnteringRoundabout,19994200F0530,1999,Thurrock,26
CarEnteringRoundabout,19994200H0592,1999,Southend on Sea,33
CarEnteringRoundabout,199943P027119,1999,Oxfordshire,20
CarEnteringRoundabout,199943P262079,1999,Oxfordshire,
CarEnteringRoundabout,199943R228089,1999,Slough,9
CarEnteringRoundabout,199943S087089,1999,Milton Keynes,
CarEnteringRoundabout,199943W112049,1999,Reading,34
CarEnteringRoundabout,1999440HP0372,1999,Hampshire,29
CarEnteringRoundabout,1999440JH0159,1999,Hampshire,29
CarEnteringRoundabout,1999440JH0319,1999,Hampshire,18
CarEnteringRoundabout,1999440SC0010,1999,Southampton ,38
CarEnteringRoundabout,1999440YS0707,1999,Southampton ,12
CarEnteringRoundabout,199945ER00276,1999,Surrey,13
CarEnteringRoundabout,199945NA00008,1999,Surrey,50
CarEnteringRoundabout,199945WF00172,1999,Surrey,
CarEnteringRoundabout,199945WG00760,1999,Surrey,16
CarEnteringRoundabout,199946CT03938,1999,Kent,36
CarEnteringRoundabout,199946WK07283,1999,Kent,49
CarEnteringRoundabout,199947H002246,1999,West Sussex,17
CarEnteringRoundabout,199947Y002472,1999,West Sussex,19
CarEnteringRoundabout,199950A512542,1999,Cornwall and Isles of Scilly,30
CarEnteringRoundabout,199950F511845,1999,Devon,26
CarEnteringRoundabout,1.99952E+12,1999,Somerset,42
CarEnteringRoundabout,1.99952E+12,1999,City of Bristol,17
CarEnteringRoundabout,1.99952E+12,1999,Somerset,35
CarEnteringRoundabout,1999550B00294,1999,Bournemouth,20
CarEnteringRoundabout,1999550B00665,1999,Bournemouth,46
CarEnteringRoundabout,200001DM00606,2000,London,34
CarEnteringRoundabout,200001MM00223,2000,London,30
CarEnteringRoundabout,200001NI00770,2000,London,35
CarEnteringRoundabout,200001RG00830,2000,London,29
CarEnteringRoundabout,200001RY00329,2000,London,14
CarEnteringRoundabout,200001TX01155,2000,London,33
CarEnteringRoundabout,200001XH00639,2000,London,
CarEnteringRoundabout,200004B049300,2000,Lancashire,27
CarEnteringRoundabout,200004F061200,2000,Lancashire,57
CarEnteringRoundabout,200010C311500,2000,Northumberland,26
CarEnteringRoundabout,200010G289200,2000,Newcastle upon Tyne,41
CarEnteringRoundabout,200010I314900,2000,North Tyneside,23
