Scenario,urn,accyr,LAName,Age
CarLeavingRoundabout,199901GD00578,1999,London,31
CarLeavingRoundabout,199901HT00740,1999,London,23
CarLeavingRoundabout,199901LX00643,1999,London,35
CarLeavingRoundabout,199901MD00511,1999,London,34
CarLeavingRoundabout,199901RG00209,1999,London,40
CarLeavingRoundabout,199901RG00819,1999,London,27
CarLeavingRoundabout,199901SC01229,1999,London,45
CarLeavingRoundabout,199901TG00461,1999,Surrey,50
CarLeavingRoundabout,199901TW00209,1999,London,56
CarLeavingRoundabout,199901TW00541,1999,London,41
CarLeavingRoundabout,199901TX00670,1999,London,12
CarLeavingRoundabout,199901VK00217,1999,London,31
CarLeavingRoundabout,199901VK00711,1999,London,24
CarLeavingRoundabout,199901WA00105,1999,London,29
CarLeavingRoundabout,199901WW00819,1999,London,30
CarLeavingRoundabout,199901WW00834,1999,London,29
CarLeavingRoundabout,199901XH00595,1999,London,13
CarLeavingRoundabout,199901ZD00485,1999,London,21
CarLeavingRoundabout,199904C010999,1999,Lancashire,43
CarLeavingRoundabout,199904C024199,1999,Lancashire,45
CarLeavingRoundabout,199904C047099,1999,Lancashire,34
CarLeavingRoundabout,199904C083299,1999,Lancashire,50
CarLeavingRoundabout,199904F053299,1999,Lancashire,28
CarLeavingRoundabout,1.99905E+12,1999,Merseyside,83
CarLeavingRoundabout,1.99905E+12,1999,Merseyside,61
CarLeavingRoundabout,1.99905E+12,1999,Merseyside,36
CarLeavingRoundabout,1.99905E+12,1999,Merseyside,33
CarLeavingRoundabout,1.99905E+12,1999,Merseyside,40
CarLeavingRoundabout,1.99905E+12,1999,Merseyside,38
CarLeavingRoundabout,1.99905E+12,1999,Merseyside,23
CarLeavingRoundabout,1.99905E+12,1999,Merseyside,63
CarLeavingRoundabout,199906J005034,1999,Stockport,31
CarLeavingRoundabout,199906J005328,1999,Stockport,57
CarLeavingRoundabout,199906J005984,1999,Stockport,39
CarLeavingRoundabout,199906K004735,1999,Bolton,37
CarLeavingRoundabout,199906M004429,1999,Trafford,52
CarLeavingRoundabout,199906M004830,1999,Trafford,14
CarLeavingRoundabout,199906N269099,1999,Bury,20
CarLeavingRoundabout,1999079A10264,1999,Cheshire East,43
CarLeavingRoundabout,1999079A31551,1999,Cheshire West and Chester,12
CarLeavingRoundabout,1999079C31269,1999,Cheshire West and Chester,14
CarLeavingRoundabout,1999079C31371,1999,Cheshire West and Chester,20
CarLeavingRoundabout,1999079C31842,1999,Cheshire West and Chester,33
CarLeavingRoundabout,199910B344399,1999,Northumberland,56
CarLeavingRoundabout,199910C075999,1999,Northumberland,40
CarLeavingRoundabout,199910C278499,1999,Northumberland,28
CarLeavingRoundabout,199910H236799,1999,North Tyneside,47
CarLeavingRoundabout,199910I347799,1999,North Tyneside,35
CarLeavingRoundabout,199910L306599,1999,South Tyneside,31
CarLeavingRoundabout,199910M269399,1999,South Tyneside,48
CarLeavingRoundabout,1999110DJ3394,1999,Darlington,49
CarLeavingRoundabout,1999119BD0290,1999,Durham,19
CarLeavingRoundabout,1.99912E+12,1999,York,45
CarLeavingRoundabout,1.99912E+12,1999,North Yorkshire,43
CarLeavingRoundabout,1.99912E+12,1999,North Yorkshire,57
CarLeavingRoundabout,199913AA34099,1999,Leeds,28
CarLeavingRoundabout,199913AA55099,1999,Leeds,40
CarLeavingRoundabout,199913BB15799,1999,Leeds,55
CarLeavingRoundabout,199913BB21999,1999,Leeds,34
CarLeavingRoundabout,199913BB37299,1999,Leeds,32
CarLeavingRoundabout,199913CA05499,1999,Leeds,63
CarLeavingRoundabout,199913CB23799,1999,Leeds,24
CarLeavingRoundabout,199913FA26799,1999,Calderdale,32
CarLeavingRoundabout,199913FD11999,1999,Calderdale,36
CarLeavingRoundabout,199914FF00513,1999,Rotherham,50
CarLeavingRoundabout,199914JJ00388,1999,Sheffield,32
CarLeavingRoundabout,199916A057699,1999,North East Lincolnshire,41
CarLeavingRoundabout,199916B013999,1999,North Lincolnshire,39
CarLeavingRoundabout,199916B023799,1999,North Lincolnshire,36
CarLeavingRoundabout,199916D026399,1999,Kingston Upon Hull,14
CarLeavingRoundabout,199916D029399,1999,Kingston Upon Hull,52
CarLeavingRoundabout,199916D031299,1999,Kingston Upon Hull,14
CarLeavingRoundabout,199916D044199,1999,Kingston Upon Hull,16
CarLeavingRoundabout,199916E046499,1999,Kingston Upon Hull,45
CarLeavingRoundabout,199917M200270,1999,Middlesbrough,18
CarLeavingRoundabout,199917M300413,1999,Middlesbrough,42
CarLeavingRoundabout,199917S100396,1999,Stockton on Tees,12
CarLeavingRoundabout,199920D219901,1999,Birmingham,51
CarLeavingRoundabout,199920D258801,1999,Birmingham,36
CarLeavingRoundabout,199920D323001,1999,Birmingham,36
CarLeavingRoundabout,199920F006801,1999,Birmingham,20
CarLeavingRoundabout,199920F076001,1999,Birmingham,28
CarLeavingRoundabout,199920G096002,1999,Wolverhampton,30
CarLeavingRoundabout,199920J061402,1999,Dudley,38
CarLeavingRoundabout,199920J067602,1999,Dudley,28
CarLeavingRoundabout,199920K022701,1999,Sandwell,30
CarLeavingRoundabout,199920K033301,1999,Sandwell,18
CarLeavingRoundabout,199920K055902,1999,Sandwell,46
CarLeavingRoundabout,199920M219801,1999,Coventry,24
CarLeavingRoundabout,1.99922E+12,1999,Stoke on Trent,46
CarLeavingRoundabout,1.99922E+12,1999,Stoke on Trent,25
CarLeavingRoundabout,1.99922E+12,1999,Staffordshire,24
CarLeavingRoundabout,1.99922E+12,1999,Staffordshire,16
CarLeavingRoundabout,1.99922E+12,1999,Staffordshire,28
CarLeavingRoundabout,1999219M05470,1999,Staffordshire,35
CarLeavingRoundabout,199922CC00072,1999,Worcestershire,52
CarLeavingRoundabout,199922FA12952,1999,Shropshire,23
CarLeavingRoundabout,199922FB12803,1999,Shropshire,16
CarLeavingRoundabout,199922GR00591,1999,Shropshire,14
CarLeavingRoundabout,1.99924E+12,1999,Warwickshire,25
CarLeavingRoundabout,1.99924E+12,1999,Warwickshire,29
CarLeavingRoundabout,1999309D00043,1999,Derby,20
CarLeavingRoundabout,1999309D00047,1999,Derbyshire,19
CarLeavingRoundabout,199930D000265,1999,Derby,20
CarLeavingRoundabout,199930D000275,1999,Derby,29
CarLeavingRoundabout,199930D000357,1999,Derby,72
CarLeavingRoundabout,199930D000705,1999,Derby,46
CarLeavingRoundabout,1999317C20384,1999,Nottingham,23
CarLeavingRoundabout,1999317C42796,1999,Nottingham,24
CarLeavingRoundabout,1999317D21093,1999,Nottingham,18
CarLeavingRoundabout,1999317D41042,1999,Nottinghamshire,14
CarLeavingRoundabout,199932D007179,1999,Lincolnshire,15
CarLeavingRoundabout,199932D007679,1999,Lincolnshire,14
CarLeavingRoundabout,1.99934E+12,1999,Leicestershire,48
CarLeavingRoundabout,1.99934E+12,1999,Leicestershire,31
CarLeavingRoundabout,1.99934E+12,1999,Leicestershire,30
CarLeavingRoundabout,1.99934E+12,1999,Leicestershire,73
CarLeavingRoundabout,1.99934E+12,1999,Leicestershire,24
CarLeavingRoundabout,1.99934E+12,1999,Leicestershire,50
CarLeavingRoundabout,1.99934E+12,1999,Leicestershire,44
CarLeavingRoundabout,1.99934E+12,1999,Leicestershire,70
CarLeavingRoundabout,199934NC00700,1999,Northamptonshire,50
CarLeavingRoundabout,199934NN00814,1999,Northamptonshire,11
CarLeavingRoundabout,1.99935E+12,1999,Cambridgeshire,29
CarLeavingRoundabout,1.99935E+12,1999,Cambridgeshire,33
CarLeavingRoundabout,1.99935E+12,1999,Peterborough,38
CarLeavingRoundabout,1.99935E+12,1999,Cambridgeshire,21
CarLeavingRoundabout,1.99935E+12,1999,Peterborough,50
CarLeavingRoundabout,199937G005137,1999,Suffolk,45
CarLeavingRoundabout,199937L003187,1999,Suffolk,34
CarLeavingRoundabout,199940C286299,1999,Luton,33
CarLeavingRoundabout,199940D292799,1999,Central Bedfordshire,34
CarLeavingRoundabout,19994100A0050,1999,Hertfordshire,57
CarLeavingRoundabout,19994100A0421,1999,Hertfordshire,31
CarLeavingRoundabout,19994100B0059,1999,Hertfordshire,41
CarLeavingRoundabout,19994100B0087,1999,Hertfordshire,26
CarLeavingRoundabout,19994100B0296,1999,Hertfordshire,57
CarLeavingRoundabout,19994100B0397,1999,Hertfordshire,35
CarLeavingRoundabout,19994100B0411,1999,Hertfordshire,30
CarLeavingRoundabout,19994100C0078,1999,Hertfordshire,31
CarLeavingRoundabout,19994100C0725,1999,Hertfordshire,48
CarLeavingRoundabout,19994100C0770,1999,Hertfordshire,28
