Scenario,urn,accyr,LAName,Age
ChangingLane,199901CD00323,1999,London,
ChangingLane,199901CP00004,1999,London,22
ChangingLane,199901CP00255,1999,London,31
ChangingLane,199901DM00399,1999,London,23
ChangingLane,199901DM00733,1999,London,22
ChangingLane,199901EK00174,1999,London,17
ChangingLane,199901EK00362,1999,London,13
ChangingLane,199901EO00306,1999,London,36
ChangingLane,199901FH00871,1999,London,23
ChangingLane,199901GN00338,1999,London,14
ChangingLane,199901JC00334,1999,London,
ChangingLane,199901JI00280,1999,London,13
ChangingLane,199901JI00649,1999,London,
ChangingLane,199901KF00217,1999,London,11
ChangingLane,199901PL00391,1999,London,14
ChangingLane,199901QA00155,1999,London,
ChangingLane,199901RG00592,1999,London,9
ChangingLane,199901TX00258,1999,London,14
ChangingLane,199901TX00323,1999,London,12
ChangingLane,199901VW00466,1999,London,11
ChangingLane,199901VW00576,1999,London,45
ChangingLane,199901WA00059,1999,London,26
ChangingLane,199901WW00390,1999,London,17
ChangingLane,199901WW00804,1999,London,31
ChangingLane,199901WW00982,1999,London,60
ChangingLane,199901XH00877,1999,London,14
ChangingLane,199901XH01193,1999,London,18
ChangingLane,199901YE00117,1999,London,13
ChangingLane,199901YE00485,1999,London,29
ChangingLane,199901ZD00459,1999,London,19
ChangingLane,199901ZD00514,1999,London,59
ChangingLane,199901ZN00823,1999,London,13
ChangingLane,1.99903E+12,1999,Cumbria,9
ChangingLane,1.99903E+12,1999,Cumbria,12
ChangingLane,1.99903E+12,1999,Cumbria,9
ChangingLane,199904A028499,1999,Lancashire,14
ChangingLane,199904A039199,1999,Blackpool,13
ChangingLane,199904C005499,1999,Lancashire,12
ChangingLane,199904C017199,1999,Lancashire,12
ChangingLane,199904C092899,1999,Lancashire,19
ChangingLane,199904D052099,1999,Lancashire,27
ChangingLane,199904F058299,1999,Lancashire,10
ChangingLane,1.99905E+12,1999,Merseyside,13
ChangingLane,1.99905E+12,1999,Merseyside,11
ChangingLane,1.99905E+12,1999,Merseyside,7
ChangingLane,1.99905E+12,1999,Merseyside,9
ChangingLane,1.99905E+12,1999,Merseyside,12
ChangingLane,1.99905E+12,1999,Merseyside,63
ChangingLane,1.99905E+12,1999,Merseyside,9
ChangingLane,1.99905E+12,1999,Merseyside,14
ChangingLane,1.99905E+12,1999,Merseyside,13
ChangingLane,199906C007992,1999,Manchester,20
ChangingLane,199906C008588,1999,Manchester,74
ChangingLane,199906J005463,1999,Stockport,12
ChangingLane,199906L006489,1999,Wigan,52
ChangingLane,199906M004921,1999,Trafford,13
ChangingLane,199906M004955,1999,Trafford,22
ChangingLane,199906M346899,1999,Trafford,50
ChangingLane,199906N288599,1999,Bury,37
ChangingLane,1999079A20506,1999,Cheshire West and Chester,67
ChangingLane,1999079A21300,1999,Cheshire West and Chester,7
ChangingLane,1999079A21775,1999,Cheshire West and Chester,19
ChangingLane,1999079B10981,1999,Halton,11
ChangingLane,1999079B11320,1999,Halton,4
ChangingLane,1999079B21458,1999,Warrington,10
ChangingLane,1999079C10299,1999,Cheshire West and Chester,28
ChangingLane,199910O339299,1999,South Tyneside,24
ChangingLane,1999110DJ2036,1999,Darlington,21
ChangingLane,1999119BE1955,1999,Durham,8
ChangingLane,1.99912E+12,1999,North Yorkshire,11
ChangingLane,1.99912E+12,1999,North Yorkshire,16
