Scenario,urn,accyr,LAName,Age
ChangingLaneCar,199901BS00078,1999,London,
ChangingLaneCar,199901BS00573,1999,London,25
ChangingLaneCar,199901CD00237,1999,London,27
ChangingLaneCar,199901DM00323,1999,London,24
ChangingLaneCar,199901DM00815,1999,London,34
ChangingLaneCar,199901DM01109,1999,London,32
ChangingLaneCar,199901EH00219,1999,London,34
ChangingLaneCar,199901EO00209,1999,London,30
ChangingLaneCar,199901FH00194,1999,London,35
ChangingLaneCar,199901FH00538,1999,London,23
ChangingLaneCar,199901FH00729,1999,London,27
ChangingLaneCar,199901HT00599,1999,London,27
ChangingLaneCar,199901KD00188,1999,London,
ChangingLaneCar,199901LD00445,1999,London,46
ChangingLaneCar,199901LS00316,1999,London,32
ChangingLaneCar,199901LX00075,1999,London,24
ChangingLaneCar,199901LX00172,1999,London,31
ChangingLaneCar,199901MM00494,1999,London,27
ChangingLaneCar,199901PL00160,1999,London,30
ChangingLaneCar,199901PY00102,1999,London,20
ChangingLaneCar,199901QK00518,1999,London,31
ChangingLaneCar,199901RG00051,1999,London,15
ChangingLaneCar,199901RX00026,1999,London,42
ChangingLaneCar,199901SC01082,1999,London,32
ChangingLaneCar,199901TG00357,1999,Surrey,39
ChangingLaneCar,199901TX00187,1999,London,18
ChangingLaneCar,199901TX00720,1999,London,30
ChangingLaneCar,199901VK00646,1999,London,26
ChangingLaneCar,199901XD00220,1999,London,29
ChangingLaneCar,199901YF00355,1999,London,12
ChangingLaneCar,199901YF00502,1999,London,64
ChangingLaneCar,199901ZN00574,1999,London,12
ChangingLaneCar,1.99903E+12,1999,Cumbria,12
ChangingLaneCar,1.99903E+12,1999,Cumbria,24
ChangingLaneCar,199904B070399,1999,Lancashire,59
ChangingLaneCar,1.99905E+12,1999,Merseyside,31
ChangingLaneCar,1.99905E+12,1999,Merseyside,35
ChangingLaneCar,1.99905E+12,1999,Merseyside,57
ChangingLaneCar,1.99905E+12,1999,Merseyside,20
ChangingLaneCar,199906F379699,1999,Salford,72
ChangingLaneCar,199906J393999,1999,Stockport,52
ChangingLaneCar,199906N002896,1999,Bury,31
ChangingLaneCar,199906Q004316,1999,Oldham,39
ChangingLaneCar,1.99907E+12,1999,Cheshire West and Chester,33
ChangingLaneCar,1999079A10907,1999,Cheshire East,33
ChangingLaneCar,1999079A11394,1999,Cheshire East,38
ChangingLaneCar,1999079A40902,1999,Cheshire West and Chester,15
ChangingLaneCar,1999079B21259,1999,Warrington,8
ChangingLaneCar,1999079C30741,1999,Cheshire West and Chester,35
ChangingLaneCar,199910H256799,1999,North Tyneside,44
ChangingLaneCar,199910I138599,1999,North Tyneside,35
ChangingLaneCar,199910K003899,1999,Gateshead,37
ChangingLaneCar,1999110DJ2582,1999,Darlington,54
ChangingLaneCar,1.99912E+12,1999,York,21
ChangingLaneCar,1.99912E+12,1999,North Yorkshire,25
