Scenario,urn,accyr,LAName,Age
ChangingLaneJunctionCar,199901BH00021,1999,London,42
ChangingLaneJunctionCar,199901BS00243,1999,London,55
ChangingLaneJunctionCar,199901CD00372,1999,London,33
ChangingLaneJunctionCar,199901CP00007,1999,London,24
ChangingLaneJunctionCar,199901CP00092,1999,London,25
ChangingLaneJunctionCar,199901CX00017,1999,London,39
ChangingLaneJunctionCar,199901CX00319,1999,London,27
ChangingLaneJunctionCar,199901DM00762,1999,London,17
ChangingLaneJunctionCar,199901DM00990,1999,London,31
ChangingLaneJunctionCar,199901GN00450,1999,London,18
ChangingLaneJunctionCar,199901HT01074,1999,London,32
ChangingLaneJunctionCar,199901JL00075,1999,London,32
ChangingLaneJunctionCar,199901LD00126,1999,London,26
ChangingLaneJunctionCar,199901LD00422,1999,London,30
ChangingLaneJunctionCar,199901LS00360,1999,London,
ChangingLaneJunctionCar,199901LX00151,1999,London,39
ChangingLaneJunctionCar,199901LX00192,1999,London,34
ChangingLaneJunctionCar,199901LX00765,1999,London,21
ChangingLaneJunctionCar,199901LX00863,1999,London,30
ChangingLaneJunctionCar,199901MD00418,1999,London,19
ChangingLaneJunctionCar,199901MM00303,1999,London,31
ChangingLaneJunctionCar,199901PL00527,1999,London,22
ChangingLaneJunctionCar,199901QA00756,1999,London,32
ChangingLaneJunctionCar,199901QA00781,1999,London,33
ChangingLaneJunctionCar,199901QK00370,1999,London,10
ChangingLaneJunctionCar,199901RY00080,1999,London,36
ChangingLaneJunctionCar,199901SC01287,1999,London,18
ChangingLaneJunctionCar,199901TW00170,1999,London,31
ChangingLaneJunctionCar,199901TW00182,1999,London,20
ChangingLaneJunctionCar,199901VK00454,1999,London,23
ChangingLaneJunctionCar,199901WW00312,1999,London,26
ChangingLaneJunctionCar,199901WW00336,1999,London,20
ChangingLaneJunctionCar,199901WW00665,1999,London,38
ChangingLaneJunctionCar,199901ZN00805,1999,London,12
ChangingLaneJunctionCar,199901ZP00985,1999,London,30
ChangingLaneJunctionCar,1.99905E+12,1999,Merseyside,28
ChangingLaneJunctionCar,199906Q004424,1999,Oldham,21
ChangingLaneJunctionCar,199910G074799,1999,Newcastle upon Tyne,9
ChangingLaneJunctionCar,199913CB26599,1999,Leeds,14
ChangingLaneJunctionCar,199913HA18399,1999,Bradford,13
ChangingLaneJunctionCar,199920E262001,1999,Birmingham,39
ChangingLaneJunctionCar,1999317A20597,1999,Nottinghamshire,17
ChangingLaneJunctionCar,1999317D41582,1999,Nottinghamshire,17
ChangingLaneJunctionCar,199937B006010,1999,Suffolk,22
ChangingLaneJunctionCar,199937G004224,1999,Suffolk,13
ChangingLaneJunctionCar,19994100C0290,1999,Hertfordshire,13
ChangingLaneJunctionCar,19994100F0297,1999,Hertfordshire,11
ChangingLaneJunctionCar,19994100F0326,1999,Hertfordshire,22
ChangingLaneJunctionCar,199943N414119,1999,Buckinghamshire,
ChangingLaneJunctionCar,199943W295099,1999,Reading,48
ChangingLaneJunctionCar,1999440AA2007,1999,Hampshire,40
ChangingLaneJunctionCar,1999440OL0941,1999,Hampshire,28
ChangingLaneJunctionCar,1999440TB0381,1999,Southampton ,9
ChangingLaneJunctionCar,199947X003459,1999,West Sussex,10
ChangingLaneJunctionCar,199950A413393,1999,Cornwall and Isles of Scilly,24
ChangingLaneJunctionCar,1.99952E+12,1999,City of Bristol,29
ChangingLaneJunctionCar,200001BS00005,2000,London,31
ChangingLaneJunctionCar,200001DM00572,2000,London,20
ChangingLaneJunctionCar,200001DM00675,2000,London,34
ChangingLaneJunctionCar,200001DM02536,2000,London,28
ChangingLaneJunctionCar,200001FH00084,2000,London,39
ChangingLaneJunctionCar,200001FH00815,2000,London,41
ChangingLaneJunctionCar,200001HT00759,2000,London,28
ChangingLaneJunctionCar,200001JC00602,2000,London,23
ChangingLaneJunctionCar,200001JI00108,2000,London,45
ChangingLaneJunctionCar,200001LX02045,2000,London,
ChangingLaneJunctionCar,200001MM00443,2000,London,31
ChangingLaneJunctionCar,200001NI00322,2000,London,28
ChangingLaneJunctionCar,200001NI01155,2000,London,6
ChangingLaneJunctionCar,200001NI09124,2000,London,36
ChangingLaneJunctionCar,200001PY00459,2000,London,30
ChangingLaneJunctionCar,200001QK00578,2000,London,32
ChangingLaneJunctionCar,200001RG00590,2000,London,41
ChangingLaneJunctionCar,200001SX00744,2000,London,42
ChangingLaneJunctionCar,200001SX00848,2000,London,32
ChangingLaneJunctionCar,200001TX00325,2000,London,34
ChangingLaneJunctionCar,200001XS00317,2000,London,
ChangingLaneJunctionCar,200001YF00260,2000,Hertfordshire,28
ChangingLaneJunctionCar,200001ZP00767,2000,London,26
