Scenario,urn,accyr,LAName,Age
CycleLane,199901KO00341,1999,London,19
CycleLane,1.99905E+12,1999,Merseyside,34
CycleLane,1.99905E+12,1999,Merseyside,29
CycleLane,1.99912E+12,1999,North Yorkshire,8
CycleLane,1.99912E+12,1999,York,32
CycleLane,1.99912E+12,1999,North Yorkshire,47
CycleLane,1.99912E+12,1999,North Yorkshire,25
CycleLane,1.99912E+12,1999,North Yorkshire,41
CycleLane,1.99912E+12,1999,York,72
CycleLane,1.99912E+12,1999,North Yorkshire,39
CycleLane,1.99912E+12,1999,North Yorkshire,37
CycleLane,1.99912E+12,1999,North Yorkshire,57
CycleLane,1.99912E+12,1999,North Yorkshire,14
CycleLane,199913AA37499,1999,Leeds,59
CycleLane,199913EA31999,1999,Kirklees,29
CycleLane,199936N990056,1999,Norfolk,
CycleLane,199936T990447,1999,Norfolk,12
CycleLane,199937G005715,1999,Suffolk,
CycleLane,199940D239499,1999,Central Bedfordshire,10
CycleLane,199943P014069,1999,Oxfordshire,20
CycleLane,199943P068039,1999,Oxfordshire,83
CycleLane,199943S032059,1999,Milton Keynes,18
CycleLane,199943S195099,1999,Milton Keynes,24
CycleLane,199945NA00525,1999,Surrey,31
CycleLane,199947N003221,1999,West Sussex,16
CycleLane,199947Y002582,1999,West Sussex,50
CycleLane,1.99952E+12,1999,Bath and North East Somerset,11
CycleLane,1.99952E+12,1999,Somerset,18
CycleLane,1999530AI3791,1999,Gloucestershire,11
CycleLane,200001HT00846,2000,London,42
CycleLane,200001KO00096,2000,London,34
CycleLane,2.00007E+12,2000,Cheshire West and Chester,17
CycleLane,2.00013E+12,2000,Kirklees,50
CycleLane,200016C068100,2000,East Riding of Yorkshire,76
CycleLane,200016D034600,2000,Kingston Upon Hull,23
CycleLane,2.00033E+12,2000,Leicestershire,23
CycleLane,2.00035E+12,2000,Cambridgeshire,32
CycleLane,200036N001887,2000,Norfolk,10
CycleLane,200043N188040,2000,Buckinghamshire,19
CycleLane,2000440AA1772,2000,Hampshire,32
CycleLane,200045NA00142,2000,Surrey,26
CycleLane,200045NW00259,2000,Surrey,69
CycleLane,2.00113E+12,2001,Bradford,65
CycleLane,2.00135E+12,2001,Cambridgeshire,38
CycleLane,2.00135E+12,2001,Cambridgeshire,23
CycleLane,200137G008521,2001,Suffolk,47
CycleLane,200143W330021,2001,Reading,23
CycleLane,2001440KK0158,2001,Portsmouth,43
CycleLane,2001440ST0715,2001,Southampton ,13
CycleLane,200147C138212,2001,Brighton and Hove,51
CycleLane,200147C140190,2001,Brighton and Hove,14
CycleLane,200147N141572,2001,West Sussex,18
CycleLane,200147X134481,2001,West Sussex,53
CycleLane,2001530AI2121,2001,Gloucestershire,28
CycleLane,2001530AI2268,2001,Gloucestershire,16
CycleLane,200206M009355,2002,Trafford,23
CycleLane,2.0021E+12,2002,Gateshead,15
CycleLane,2.00212E+12,2002,York,38
CycleLane,2.00213E+12,2002,Leeds,30
CycleLane,200220M058102,2002,Coventry,27
CycleLane,2.00233E+12,2002,Leicestershire,18
CycleLane,2.00235E+12,2002,Cambridgeshire,13
CycleLane,2.00235E+12,2002,Cambridgeshire,16
CycleLane,2.00235E+12,2002,Cambridgeshire,38
CycleLane,200243N271072,2002,Buckinghamshire,39
CycleLane,200243P012112,2002,Oxfordshire,40
CycleLane,200243W138092,2002,West Berkshire,41
CycleLane,2002440AA0092,2002,Hampshire,44
CycleLane,200245RN21541,2002,Surrey,66
CycleLane,2.00247E+12,2002,Medway,24
CycleLane,200301BS00601,2003,London,26
CycleLane,200301FH00543,2003,London,50
CycleLane,200306L015647,2003,Wigan,15
CycleLane,200306M011841,2003,Trafford,57
CycleLane,2.00313E+12,2003,Kirklees,45
CycleLane,200316D080303,2003,Kingston Upon Hull,26
CycleLane,2.00321E+12,2003,Staffordshire,31
CycleLane,200322CC32839,2003,Worcestershire,42
CycleLane,2.00E+231,2003,Essex,25
CycleLane,20034200E0482,2003,Essex,46
CycleLane,200343N140043,2003,Buckinghamshire,35
CycleLane,200343P457093,2003,Oxfordshire,60
CycleLane,200343W281053,2003,Wokingham,63
CycleLane,2003440HF0318,2003,Hampshire,74
CycleLane,2003440HP0279,2003,Hampshire,33
CycleLane,2003440ST0738,2003,Southampton ,25
CycleLane,200345RE41186,2003,Surrey,35
CycleLane,2.00352E+12,2003,City of Bristol,23
CycleLane,2.00352E+12,2003,City of Bristol,38
CycleLane,2003530AI2100,2003,Gloucestershire,54
CycleLane,200401QA09027,2004,London,13
CycleLane,200401TE00153,2004,London,32
CycleLane,200401ZD30397,2004,London,16
CycleLane,2.00403E+12,2004,Cumbria,45
CycleLane,200406A910686,2004,Manchester,34
CycleLane,200406F906489,2004,Salford,39
CycleLane,2.00412E+12,2004,York,
CycleLane,2.00412E+12,2004,York,27
CycleLane,2.00412E+12,2004,York,45
CycleLane,2.00413E+12,2004,Kirklees,69
CycleLane,20043108C3231,2004,Nottingham,
CycleLane,200432D126804,2004,Lincolnshire,24
CycleLane,2.00433E+12,2004,Leicestershire,20
CycleLane,2.00435E+12,2004,Cambridgeshire,43
CycleLane,2.00435E+12,2004,Cambridgeshire,
CycleLane,20044100B0515,2004,Hertfordshire,29
CycleLane,200443W362084,2004,Slough,59
CycleLane,2004440HF0603,2004,Hampshire,16
CycleLane,200445MO54673,2004,Surrey,28
CycleLane,200447K172173,2004,Brighton and Hove,35
CycleLane,200450C21F209,2004,Devon,31
CycleLane,2.00452E+12,2004,City of Bristol,50
CycleLane,200501CP00031,2005,London,25
CycleLane,2.00503E+12,2005,Cumbria,41
CycleLane,2.00533E+12,2005,Leicestershire,25
CycleLane,2.00535E+12,2005,Cambridgeshire,35
CycleLane,200542C068111,2005,Essex,36
CycleLane,200543P327095,2005,Oxfordshire,17
CycleLane,200543W239025,2005,Slough,24
CycleLane,2.00544E+12,2005,Hampshire,30
CycleLane,200545SP79103,2005,Surrey,18
CycleLane,2.00547E+12,2005,Brighton and Hove,34
CycleLane,2.00552E+12,2005,Somerset,42
CycleLane,200601FH10430,2006,London,57
