Scenario,urn,accyr,LAName,Age
DoorOpen,199901BS00252,1999,London,31
DoorOpen,199901CD00146,1999,London,31
DoorOpen,199901CD00365,1999,London,34
DoorOpen,199901CP00143,1999,London,
DoorOpen,199901CP00385,1999,London,36
DoorOpen,199901CX00178,1999,London,46
DoorOpen,199901CX00357,1999,London,30
DoorOpen,199901DM00261,1999,London,37
DoorOpen,199901DM00285,1999,London,33
DoorOpen,199901DM00347,1999,London,38
DoorOpen,199901DP00126,1999,London,29
DoorOpen,199901DP00193,1999,London,18
DoorOpen,199901EH00031,1999,London,52
DoorOpen,199901EH00056,1999,London,34
DoorOpen,199901EH00272,1999,London,22
DoorOpen,199901EH00280,1999,London,23
DoorOpen,199901EK00273,1999,London,44
DoorOpen,199901EK00349,1999,London,65
DoorOpen,199901EK00388,1999,London,32
DoorOpen,199901EK00489,1999,London,
DoorOpen,199901EK09083,1999,London,40
DoorOpen,199901EK09088,1999,London,55
DoorOpen,199901EO00263,1999,London,26
DoorOpen,199901FH00223,1999,London,23
DoorOpen,199901FH00265,1999,London,34
DoorOpen,199901FH00352,1999,London,40
DoorOpen,199901FH00450,1999,London,41
DoorOpen,199901FH00492,1999,London,
DoorOpen,199901FH00653,1999,London,26
DoorOpen,199901FH00698,1999,London,25
DoorOpen,199901GD00086,1999,London,21
DoorOpen,199901GD00575,1999,London,
DoorOpen,199901HT00243,1999,London,36
DoorOpen,199901HT00502,1999,London,68
DoorOpen,199901JC00496,1999,London,29
DoorOpen,199901JC00648,1999,London,25
DoorOpen,199901KO00173,1999,London,34
DoorOpen,199901LS00368,1999,London,43
DoorOpen,199901LS00484,1999,London,36
DoorOpen,199901LX00050,1999,London,23
DoorOpen,199901LX00119,1999,London,40
DoorOpen,199901LX00132,1999,London,34
DoorOpen,199901LX00562,1999,London,31
DoorOpen,199901LX00647,1999,London,46
DoorOpen,199901LX00728,1999,London,33
DoorOpen,199901LX00822,1999,London,13
DoorOpen,199901MD00483,1999,London,26
DoorOpen,199901MS00305,1999,London,31
DoorOpen,199901MS00406,1999,London,29
DoorOpen,199901NI00299,1999,London,24
DoorOpen,199901NI00307,1999,London,30
DoorOpen,199901NI00493,1999,London,
DoorOpen,199901NI00512,1999,London,46
DoorOpen,199901NI00528,1999,London,26
DoorOpen,199901NI00693,1999,London,58
DoorOpen,199901NI00791,1999,London,55
DoorOpen,199901NI00824,1999,London,31
DoorOpen,199901NI00899,1999,London,30
DoorOpen,199901PL00238,1999,London,60
DoorOpen,199901PL00351,1999,London,23
DoorOpen,199901PL00614,1999,London,42
DoorOpen,199901PL00796,1999,London,37
DoorOpen,199901PL00800,1999,London,20
DoorOpen,199901PL00813,1999,London,20
DoorOpen,199901PY00589,1999,London,13
DoorOpen,199901PY01020,1999,London,15
DoorOpen,199901PY01628,1999,London,17
DoorOpen,199901QD00085,1999,London,16
DoorOpen,199901QD00098,1999,London,25
DoorOpen,199901QD00190,1999,London,27
DoorOpen,199901QD00333,1999,London,26
DoorOpen,199901QD00348,1999,London,30
DoorOpen,199901RG00770,1999,London,
DoorOpen,199901RX00025,1999,London,35
DoorOpen,199901SC00887,1999,London,51
DoorOpen,199901SC01145,1999,London,24
DoorOpen,199901TG00170,1999,Surrey,55
DoorOpen,199901TG00190,1999,Surrey,11
DoorOpen,199901TW00151,1999,London,15
DoorOpen,199901TW00177,1999,London,60
DoorOpen,199901TW00637,1999,London,29
DoorOpen,199901TX01175,1999,London,36
DoorOpen,199901VK00076,1999,London,50
DoorOpen,199901VK00179,1999,London,14
DoorOpen,199901VK00369,1999,London,28
DoorOpen,199901VK00426,1999,London,46
DoorOpen,199901VK00541,1999,London,27
DoorOpen,199901VK00659,1999,London,52
DoorOpen,199901VK00750,1999,London,18
DoorOpen,199901VK00765,1999,London,26
DoorOpen,199901VW00690,1999,London,22
DoorOpen,199901WA00184,1999,London,32
DoorOpen,199901WW00135,1999,London,33
