Scenario,urn,accyr,LAName,Age
EnteringLeftCarPrivate,200504DF05166,2005,Lancashire,24
EnteringLeftCarPrivate,200506F036482,2005,Salford,19
EnteringLeftCarPrivate,2.0051E+12,2005,Newcastle upon Tyne,17
EnteringLeftCarPrivate,200511BE15940,2005,Durham,13
EnteringLeftCarPrivate,200520E096901,2005,Birmingham,13
EnteringLeftCarPrivate,200520E145101,2005,Birmingham,37
EnteringLeftCarPrivate,200520E181103,2005,Birmingham,25
EnteringLeftCarPrivate,200520K060601,2005,Sandwell,
EnteringLeftCarPrivate,200520L075701,2005,Solihull,16
EnteringLeftCarPrivate,200520L157101,2005,Solihull,43
EnteringLeftCarPrivate,200520M086602,2005,Coventry,40
EnteringLeftCarPrivate,2.00523E+12,2005,Warwickshire,51
EnteringLeftCarPrivate,200530C000353,2005,Derbyshire,11
EnteringLeftCarPrivate,20053102B3542,2005,Nottinghamshire,24
EnteringLeftCarPrivate,2.00533E+12,2005,Leicestershire,14
EnteringLeftCarPrivate,2.00533E+12,2005,Leicestershire,18
EnteringLeftCarPrivate,2.00533E+12,2005,Leicestershire,19
EnteringLeftCarPrivate,2.00535E+12,2005,Peterborough,15
EnteringLeftCarPrivate,2.00535E+12,2005,Peterborough,28
EnteringLeftCarPrivate,20054100C1064,2005,Hertfordshire,45
EnteringLeftCarPrivate,2.00552E+12,2005,City of Bristol,8
EnteringLeftCarPrivate,2.00552E+12,2005,City of Bristol,22
EnteringLeftCarPrivate,200601ZD30697,2006,London,48
EnteringLeftCarPrivate,200601ZT80098,2006,London,17
EnteringLeftCarPrivate,2.0061E+12,2006,South Tyneside,77
EnteringLeftCarPrivate,2.0061E+12,2006,South Tyneside,34
EnteringLeftCarPrivate,2.00613E+12,2006,Bradford,54
EnteringLeftCarPrivate,2006170M13246,2006,Middlesbrough,14
EnteringLeftCarPrivate,200620H038801,2006,Walsall,18
EnteringLeftCarPrivate,200620K104602,2006,Sandwell,36
EnteringLeftCarPrivate,2.00622E+12,2006,Staffordshire,16
EnteringLeftCarPrivate,200622FA49824,2006,Shropshire,31
EnteringLeftCarPrivate,200630C000270,2006,Derbyshire,7
EnteringLeftCarPrivate,200630D000826,2006,Derby,24
EnteringLeftCarPrivate,20063102C2607,2006,Nottingham,22
EnteringLeftCarPrivate,2.00635E+12,2006,Cambridgeshire,46
EnteringLeftCarPrivate,2.00635E+12,2006,Peterborough,13
EnteringLeftCarPrivate,2.00635E+12,2006,Peterborough,58
EnteringLeftCarPrivate,2.00636E+12,2006,Norfolk,63
EnteringLeftCarPrivate,2.00636E+12,2006,Norfolk,58
EnteringLeftCarPrivate,200640D025250,2006,Central Bedfordshire,26
