Scenario,urn,accyr,LAName,Age
EnteringLeftPrivate,2005160B04680,2005,North Lincolnshire,14
EnteringLeftPrivate,2.00522E+12,2005,Staffordshire,57
EnteringLeftPrivate,200522FC46179,2005,Shropshire,14
EnteringLeftPrivate,20053102D0901,2005,Nottinghamshire,13
EnteringLeftPrivate,2.00533E+12,2005,Leicestershire,23
EnteringLeftPrivate,2.00536E+12,2005,Norfolk,14
EnteringLeftPrivate,2.00552E+12,2005,North Somerset,9
EnteringLeftPrivate,200554CO57705,2005,Wiltshire,12
EnteringLeftPrivate,200620M021401,2006,Coventry,12
EnteringLeftPrivate,200622CA54184,2006,Worcestershire,10
EnteringLeftPrivate,200643N180086,2006,Buckinghamshire,47
EnteringLeftPrivate,2.00652E+12,2006,North Somerset,65
EnteringLeftPrivate,200654AH21206,2006,Wiltshire,12
EnteringLeftPrivate,2007160D00120,2007,Kingston Upon Hull,11
EnteringLeftPrivate,2.00722E+12,2007,Staffordshire,13
EnteringLeftPrivate,20073102B2914,2007,Nottinghamshire,12
EnteringLeftPrivate,2.00803E+12,2008,Cumbria,10
EnteringLeftPrivate,2.00822E+12,2008,Staffordshire,20
EnteringLeftPrivate,2.00833E+12,2008,Leicestershire,18
EnteringLeftPrivate,2008558C02949,2008,Poole,23
EnteringLeftPrivate,2008558D01554,2008,Dorset,13
EnteringLeftPrivate,2.00922E+12,2009,Staffordshire,15
EnteringLeftPrivate,20093102B1338,2009,Nottinghamshire,12
EnteringLeftPrivate,200943N275039,2009,Buckinghamshire,25
EnteringLeftPrivate,2.0101E+12,2010,Northumberland,26
EnteringLeftPrivate,2.01021E+12,2010,Stoke on Trent,13
EnteringLeftPrivate,20103102A2896,2010,Nottinghamshire,67
EnteringLeftPrivate,201032C117010,2010,Lincolnshire,15
EnteringLeftPrivate,2.01036E+12,2010,Norfolk,13
EnteringLeftPrivate,2010400B01194,2010,Bedford Borough Council,20
EnteringLeftPrivate,20112011160A03641,2011,North East Lincolnshire,21
EnteringLeftPrivate,2.0112E+16,2011,Staffordshire,10
EnteringLeftPrivate,2011201131D191311,2011,Nottinghamshire,14
EnteringLeftPrivate,2011201131D192311,2011,Nottinghamshire,10
EnteringLeftPrivate,2.0122E+16,2012,Hampshire,17
