Scenario,urn,accyr,LAName,Age
EnteringLeftT,200501TW60367,2005,London,25
EnteringLeftT,2.00503E+12,2005,Cumbria,15
EnteringLeftT,200505BS01325,2005,Merseyside,16
EnteringLeftT,200506B040515,2005,Manchester,27
EnteringLeftT,200506N919041,2005,Bury,16
EnteringLeftT,2.0051E+12,2005,Gateshead,7
EnteringLeftT,2.00513E+12,2005,Bradford,11
EnteringLeftT,2005160A04850,2005,North East Lincolnshire,14
EnteringLeftT,2005160C08600,2005,East Riding of Yorkshire,19
EnteringLeftT,2005170L10805,2005,Redcar and Cleveland,6
EnteringLeftT,2.00522E+12,2005,Staffordshire,14
EnteringLeftT,20053102A3463,2005,Nottinghamshire,14
EnteringLeftT,20053102B0043,2005,Nottinghamshire,
EnteringLeftT,2.00533E+12,2005,Leicestershire,29
EnteringLeftT,200534NW02037,2005,Northamptonshire,10
EnteringLeftT,2.00535E+12,2005,Cambridgeshire,15
EnteringLeftT,2.00536E+12,2005,Norfolk,8
EnteringLeftT,200536T050120,2005,Norfolk,8
EnteringLeftT,200537B023082,2005,Suffolk,13
EnteringLeftT,200542F038609,2005,Thurrock,21
EnteringLeftT,2.00544E+12,2005,Hampshire,8
EnteringLeftT,2.00544E+12,2005,Portsmouth,70
EnteringLeftT,2005445DH0084,2005,Hampshire,19
EnteringLeftT,2.00552E+12,2005,Somerset,82
EnteringLeftT,2.00552E+12,2005,North Somerset,13
EnteringLeftT,2.00552E+12,2005,South Gloucestershire,38
EnteringLeftT,200554DN51805,2005,Swindon,16
EnteringLeftT,200601LX50930,2006,London,47
EnteringLeftT,200604DF06171,2006,Lancashire,7
EnteringLeftT,200606B057638,2006,Manchester,44
EnteringLeftT,200606J059428,2006,Stockport,14
EnteringLeftT,200606N053802,2006,Bury,7
EnteringLeftT,200611DJ05740,2006,Darlington,23
EnteringLeftT,2.00613E+12,2006,Leeds,17
EnteringLeftT,2006160A03530,2006,North East Lincolnshire,11
EnteringLeftT,2006160D08000,2006,Kingston Upon Hull,29
EnteringLeftT,200620E105103,2006,Birmingham,9
EnteringLeftT,200620M033602,2006,Coventry,17
EnteringLeftT,200620M062002,2006,Coventry,31
EnteringLeftT,2.00622E+12,2006,Stoke on Trent,20
EnteringLeftT,200622DE53637,2006,Worcestershire,5
EnteringLeftT,200630A000330,2006,Derbyshire,13
EnteringLeftT,200630C000372,2006,Derbyshire,16
EnteringLeftT,20063102A1392,2006,Nottinghamshire,15
EnteringLeftT,20063102C1090,2006,Nottingham,17
EnteringLeftT,2.00633E+12,2006,Leicestershire,45
EnteringLeftT,200637B025415,2006,Suffolk,8
EnteringLeftT,20064100G0649,2006,Hertfordshire,12
EnteringLeftT,200642I431110,2006,Essex,11
EnteringLeftT,200643N221076,2006,Buckinghamshire,10
EnteringLeftT,2.00644E+12,2006,Hampshire,15
EnteringLeftT,2.00647E+12,2006,East Sussex,10
EnteringLeftT,2.00647E+12,2006,West Sussex,30
EnteringLeftT,2.00652E+12,2006,City of Bristol,37
EnteringLeftT,2.00652E+12,2006,South Gloucestershire,13
EnteringLeftT,2.00652E+12,2006,City of Bristol,13
EnteringLeftT,2.00652E+12,2006,City of Bristol,17
EnteringLeftT,2.00653E+12,2006,Gloucestershire,26
EnteringLeftT,200654AD17506,2006,Wiltshire,12
EnteringLeftT,200654AT20206,2006,Wiltshire,14
EnteringLeftT,200701PL63847,2007,London,39
EnteringLeftT,200701TX20562,2007,London,20
EnteringLeftT,200704CA07001,2007,Lancashire,15
EnteringLeftT,200704EA07100,2007,Blackburn with Darwen,13
EnteringLeftT,200704EP07008,2007,Lancashire,16
EnteringLeftT,200705DD19342,2007,Merseyside,12
EnteringLeftT,200706G079360,2007,Tameside,8
EnteringLeftT,2.0071E+12,2007,South Tyneside,21
EnteringLeftT,2.0071E+12,2007,South Tyneside,44
EnteringLeftT,2.0071E+12,2007,South Tyneside,8
EnteringLeftT,2.0071E+12,2007,Northumberland,14
EnteringLeftT,2.0071E+12,2007,South Tyneside,15
EnteringLeftT,2.00713E+12,2007,Wakefield,26
EnteringLeftT,200720D258603,2007,Birmingham,14
EnteringLeftT,200720E115301,2007,Birmingham,34
EnteringLeftT,200720G063702,2007,Wolverhampton,49
EnteringLeftT,200720H043802,2007,Walsall,24
EnteringLeftT,200720J058701,2007,Dudley,16
EnteringLeftT,200722DA86667,2007,Worcestershire,11
EnteringLeftT,200730A000334,2007,Derbyshire,17
EnteringLeftT,20073102A4115,2007,Nottinghamshire,22
EnteringLeftT,20073102C1948,2007,Nottingham,10
EnteringLeftT,2.00733E+12,2007,Leicestershire,16
EnteringLeftT,2.00735E+12,2007,Cambridgeshire,11
EnteringLeftT,20074100D0348,2007,Hertfordshire,35
EnteringLeftT,200743P208037,2007,Oxfordshire,17
EnteringLeftT,2.00744E+12,2007,Hampshire,68
EnteringLeftT,2.00744E+12,2007,Southampton ,44
EnteringLeftT,200745RE03474,2007,Surrey,26
EnteringLeftT,2007557B03683,2007,Bournemouth,41
EnteringLeftT,2007557P05136,2007,Poole,33
EnteringLeftT,200801GD69762,2008,London,14
EnteringLeftT,2.00807E+12,2008,Cheshire West and Chester,21
EnteringLeftT,2.00807E+12,2008,Cheshire West and Chester,18
EnteringLeftT,2.00813E+12,2008,Leeds,13
EnteringLeftT,2.00813E+12,2008,Leeds,8
EnteringLeftT,2.00813E+12,2008,Leeds,22
EnteringLeftT,2.00813E+12,2008,Leeds,12
EnteringLeftT,2.00813E+12,2008,Leeds,14
EnteringLeftT,200820M013802,2008,Coventry,15
EnteringLeftT,2.00822E+12,2008,Staffordshire,12
EnteringLeftT,200822CA88764,2008,Worcestershire,15
EnteringLeftT,200822EA87885,2008,Herefordshire,50
EnteringLeftT,200830A000594,2008,Derbyshire,15
EnteringLeftT,20083102B2043,2008,Nottinghamshire,12
EnteringLeftT,20083102B2398,2008,Nottinghamshire,10
EnteringLeftT,20083102C0958,2008,Nottingham,17
