Scenario,urn,accyr,LAName,Age
EnteringLeftTCar,200501TX20337,2005,London,28
EnteringLeftTCar,200504A014205,2005,Blackpool,58
EnteringLeftTCar,200504BJ05012,2005,Lancashire,55
EnteringLeftTCar,200504CA05099,2005,Lancashire,75
EnteringLeftTCar,200504D017505,2005,Lancashire,63
EnteringLeftTCar,200504DA05136,2005,Lancashire,56
EnteringLeftTCar,200505AW00243,2005,Merseyside,77
EnteringLeftTCar,200505BB01904,2005,Merseyside,63
EnteringLeftTCar,200505DH00494,2005,Merseyside,77
EnteringLeftTCar,200505EE01348,2005,Merseyside,19
EnteringLeftTCar,200506C034962,2005,Manchester,25
EnteringLeftTCar,200506C921604,2005,Manchester,30
EnteringLeftTCar,200506G922865,2005,Tameside,44
EnteringLeftTCar,200506L040694,2005,Wigan,37
EnteringLeftTCar,200506M034988,2005,Trafford,54
EnteringLeftTCar,2.00507E+12,2005,Cheshire East,62
EnteringLeftTCar,2.0051E+12,2005,South Tyneside,43
EnteringLeftTCar,2.0051E+12,2005,Newcastle upon Tyne,40
EnteringLeftTCar,2.0051E+12,2005,Northumberland,
EnteringLeftTCar,2.0051E+12,2005,North Tyneside,30
EnteringLeftTCar,2.00513E+12,2005,Calderdale,54
EnteringLeftTCar,2.00513E+12,2005,Leeds,39
EnteringLeftTCar,2.00513E+12,2005,Kirklees,16
EnteringLeftTCar,2.00513E+12,2005,Wakefield,35
EnteringLeftTCar,200514B056605,2005,Barnsley,41
EnteringLeftTCar,200514D179305,2005,Sheffield,40
EnteringLeftTCar,2005160B04430,2005,North Lincolnshire,58
EnteringLeftTCar,2005160C01380,2005,East Riding of Yorkshire,21
EnteringLeftTCar,2005160C07360,2005,East Riding of Yorkshire,43
EnteringLeftTCar,2005160D05230,2005,Kingston Upon Hull,38
EnteringLeftTCar,2005160D08180,2005,Kingston Upon Hull,19
EnteringLeftTCar,2005160D08470,2005,Kingston Upon Hull,51
EnteringLeftTCar,200520E028603,2005,Birmingham,33
