Scenario,urn,accyr,LAName,Age
EntringRight,199901EO00264,1999,London,26
EntringRight,199901GD00356,1999,London,18
EntringRight,199901GD00395,1999,London,26
EntringRight,199901LX00854,1999,London,24
EntringRight,199901MS00047,1999,London,40
EntringRight,199901NI00224,1999,London,25
EntringRight,199901NI00359,1999,London,23
EntringRight,199901NI00833,1999,London,67
EntringRight,199901PL00834,1999,London,38
EntringRight,199901QK00346,1999,London,
EntringRight,199901SA00349,1999,Hertfordshire,14
EntringRight,199901SC01113,1999,London,39
EntringRight,199901TX00587,1999,London,61
EntringRight,199901VW00031,1999,London,41
EntringRight,199901WW00421,1999,London,44
EntringRight,199901WW00449,1999,London,28
EntringRight,199901ZN00342,1999,London,17
EntringRight,1.99903E+12,1999,Cumbria,72
EntringRight,199904E019199,1999,Lancashire,15
EntringRight,1.99905E+12,1999,Merseyside,9
EntringRight,1.99905E+12,1999,Merseyside,14
EntringRight,199906A005157,1999,Manchester,32
EntringRight,199906A005627,1999,Manchester,16
EntringRight,199906C007873,1999,Manchester,40
EntringRight,199906C659899,1999,Manchester,16
EntringRight,199906F004478,1999,Salford,18
EntringRight,199906F005422,1999,Salford,21
EntringRight,199906G003922,1999,Tameside,12
EntringRight,199906K005193,1999,Bolton,10
EntringRight,199906L006161,1999,Wigan,24
EntringRight,199906N003359,1999,Bury,40
EntringRight,199906P003545,1999,Rochdale,9
EntringRight,199906P003621,1999,Rochdale,33
EntringRight,199906Q380399,1999,Oldham,27
EntringRight,1.99907E+12,1999,Warrington,71
EntringRight,1999079C30261,1999,Cheshire West and Chester,43
EntringRight,1999110DJ1872,1999,Darlington,34
EntringRight,199913DA32899,1999,Wakefield,42
EntringRight,199916A002299,1999,North East Lincolnshire,44
EntringRight,199916A026799,1999,North East Lincolnshire,37
EntringRight,199916A028599,1999,North East Lincolnshire,47
EntringRight,199916A031899,1999,North East Lincolnshire,16
EntringRight,199916B044699,1999,North Lincolnshire,16
EntringRight,199916C042199,1999,East Riding of Yorkshire,12
EntringRight,199920D030301,1999,Birmingham,17
EntringRight,1.99922E+12,1999,Staffordshire,13
EntringRight,1.99922E+12,1999,Staffordshire,13
EntringRight,1.99922E+12,1999,Staffordshire,14
EntringRight,1.99922E+12,1999,Staffordshire,26
EntringRight,1.99922E+12,1999,Staffordshire,11
EntringRight,1.99924E+12,1999,Warwickshire,62
EntringRight,1999317A81662,1999,Nottinghamshire,44
EntringRight,1999317B42839,1999,Nottingham,37
EntringRight,199932B008619,1999,Lincolnshire,14
EntringRight,1.99934E+12,1999,Leicestershire,16
EntringRight,1.99934E+12,1999,Leicestershire,25
EntringRight,199934ND00445,1999,Northamptonshire,54
EntringRight,1.99935E+12,1999,Cambridgeshire,17
EntringRight,199936K991704,1999,Norfolk,18
EntringRight,199936N990587,1999,Norfolk,13
EntringRight,199937B006509,1999,Suffolk,22
EntringRight,199937B006731,1999,Suffolk,35
EntringRight,199937G004646,1999,Suffolk,12
EntringRight,199940C310399,1999,Luton,30
EntringRight,19994100G0100,1999,Hertfordshire,54
EntringRight,19994100G0182,1999,Hertfordshire,51
EntringRight,2.00E+231,1999,Essex,33
EntringRight,199943P196129,1999,Oxfordshire,59
EntringRight,1999440HF0585,1999,Hampshire,30
EntringRight,1999440YS0327,1999,Southampton ,20
EntringRight,199945ER00143,1999,Surrey,15
EntringRight,199945NA00340,1999,Surrey,14
EntringRight,199946MA00864,1999,Kent,25
EntringRight,199947N002891,1999,West Sussex,40
EntringRight,199950D210316,1999,Devon,37
EntringRight,199950D413509,1999,Devon,14
EntringRight,1.99952E+12,1999,City of Bristol,14
EntringRight,1.99952E+12,1999,City of Bristol,63
EntringRight,1.99952E+12,1999,Somerset,18
EntringRight,1999530AI0886,1999,Gloucestershire,9
EntringRight,1999530AI3925,1999,Gloucestershire,23
EntringRight,200001CP00203,2000,London,26
EntringRight,200001EK01050,2000,London,13
EntringRight,200001GN00306,2000,London,38
EntringRight,200001GN00384,2000,London,30
EntringRight,200001HT00794,2000,London,30
EntringRight,200001KO00324,2000,London,
EntringRight,200001LX00380,2000,London,64
EntringRight,200001MM00255,2000,London,
EntringRight,200001MM00838,2000,London,42
EntringRight,200001MM01322,2000,London,17
EntringRight,200001MM01599,2000,London,15
EntringRight,200001NI00515,2000,London,52
EntringRight,200001PY01143,2000,London,40
EntringRight,200001TW00723,2000,London,30
EntringRight,200001WW00477,2000,London,24
EntringRight,200001WW00736,2000,London,28
EntringRight,200004B049700,2000,Lancashire,37
EntringRight,200004C114100,2000,Lancashire,37
EntringRight,2.00005E+12,2000,Merseyside,13
EntringRight,2.00005E+12,2000,Merseyside,15
EntringRight,200006A008384,2000,Manchester,32
EntringRight,200006C013128,2000,Manchester,67
EntringRight,200006G005972,2000,Tameside,13
EntringRight,200010C011800,2000,Northumberland,52
EntringRight,200016D084800,2000,Kingston Upon Hull,43
EntringRight,200020M116001,2000,Coventry,11
EntringRight,2.00021E+12,2000,Staffordshire,13
EntringRight,2000317E81714,2000,Nottinghamshire,48
EntringRight,200032D009400,2000,Lincolnshire,29
EntringRight,2.00033E+12,2000,Leicestershire,30
EntringRight,2.00035E+12,2000,Cambridgeshire,18
EntringRight,2.00035E+12,2000,Cambridgeshire,48
EntringRight,200036N000091,2000,Norfolk,
EntringRight,200037G006460,2000,Suffolk,9
EntringRight,2000400B00266,2000,Bedford Borough Council,68
EntringRight,20004100F0291,2000,Hertfordshire,12
EntringRight,20004200G0672,2000,Essex,8
EntringRight,20004200H0185,2000,Southend on Sea,36
EntringRight,2000440HB0211,2000,Hampshire,7
EntringRight,2000440HP0041,2000,Hampshire,46
EntringRight,2000440LR0120,2000,Hampshire,22
EntringRight,2000440SC0334,2000,Southampton ,18
EntringRight,200045WF00078,2000,Surrey,32
EntringRight,2.00052E+12,2000,South Gloucestershire,14
