Scenario,urn,accyr,LAName,Age
EnteringRightCar,199901BH00199,1999,London,24
EnteringRightCar,199901BH00214,1999,London,28
EnteringRightCar,199901BS00277,1999,London,40
EnteringRightCar,199901BS00421,1999,London,29
EnteringRightCar,199901BS00733,1999,London,13
EnteringRightCar,199901BS00888,1999,London,
EnteringRightCar,199901CP00197,1999,London,27
EnteringRightCar,199901CP00269,1999,London,31
EnteringRightCar,199901CP00314,1999,London,28
EnteringRightCar,199901CP09017,1999,London,31
EnteringRightCar,199901CX00250,1999,London,53
EnteringRightCar,199901DM00118,1999,London,29
EnteringRightCar,199901DM00259,1999,London,29
EnteringRightCar,199901DM00451,1999,London,79
EnteringRightCar,199901DM00896,1999,London,18
EnteringRightCar,199901DP00327,1999,London,28
EnteringRightCar,199901EH00186,1999,London,32
EnteringRightCar,199901EH00233,1999,London,22
EnteringRightCar,199901EK00370,1999,London,26
EnteringRightCar,199901EK00679,1999,London,24
EnteringRightCar,199901EK00706,1999,London,27
EnteringRightCar,199901EK00795,1999,London,25
EnteringRightCar,199901EO00021,1999,London,35
EnteringRightCar,199901EO00057,1999,London,27
EnteringRightCar,199901EO00278,1999,London,43
EnteringRightCar,199901GD00451,1999,London,33
EnteringRightCar,199901GN00104,1999,London,31
EnteringRightCar,199901GN00147,1999,London,28
EnteringRightCar,199901GN00341,1999,London,32
EnteringRightCar,199901JC00150,1999,London,37
EnteringRightCar,199901JC00766,1999,London,13
EnteringRightCar,199901JL00124,1999,London,31
EnteringRightCar,199901KG00166,1999,London,30
EnteringRightCar,199901KG00752,1999,London,13
EnteringRightCar,199901KO00114,1999,London,33
EnteringRightCar,199901LS00364,1999,London,33
EnteringRightCar,199901LX00616,1999,London,45
EnteringRightCar,199901LX00628,1999,London,32
EnteringRightCar,199901LX00722,1999,London,23
EnteringRightCar,199901MD00091,1999,London,53
EnteringRightCar,199901MD00300,1999,London,41
EnteringRightCar,199901MS00138,1999,London,33
EnteringRightCar,199901MS00382,1999,London,29
EnteringRightCar,199901NI00091,1999,London,41
EnteringRightCar,199901NI00197,1999,London,25
EnteringRightCar,199901NI00210,1999,London,27
EnteringRightCar,199901NI00253,1999,London,26
EnteringRightCar,199901NI00346,1999,London,27
EnteringRightCar,199901NI00352,1999,London,29
EnteringRightCar,199901NI00453,1999,London,28
EnteringRightCar,199901NI00466,1999,London,30
EnteringRightCar,199901NI00471,1999,London,29
EnteringRightCar,199901NI00481,1999,London,
EnteringRightCar,199901NI00517,1999,London,26
EnteringRightCar,199901NI00629,1999,London,40
EnteringRightCar,199901NI00630,1999,London,
EnteringRightCar,199901NI00882,1999,London,31
EnteringRightCar,199901NI00885,1999,London,
EnteringRightCar,199901NI09135,1999,London,19
EnteringRightCar,199901NI09295,1999,London,30
EnteringRightCar,199901PD00232,1999,London,26
EnteringRightCar,199901PL00487,1999,London,20
EnteringRightCar,199901PL00824,1999,London,21
EnteringRightCar,199901PL00887,1999,London,23
EnteringRightCar,199901PY01150,1999,London,31
EnteringRightCar,199901QK00057,1999,London,
EnteringRightCar,199901RX00052,1999,London,22
EnteringRightCar,199901RY00466,1999,London,
EnteringRightCar,199901SC00444,1999,London,
EnteringRightCar,199901SC00608,1999,London,54
EnteringRightCar,199901SC01116,1999,London,28
EnteringRightCar,199901TX00414,1999,London,28
EnteringRightCar,199901VK00019,1999,London,32
EnteringRightCar,199901VK00312,1999,London,23
EnteringRightCar,199901VK00528,1999,London,78
EnteringRightCar,199901VW00343,1999,London,34
EnteringRightCar,199901VW00364,1999,London,51
EnteringRightCar,199901WW00349,1999,London,52
EnteringRightCar,199901WW00367,1999,London,48
EnteringRightCar,199901WW00469,1999,London,19
EnteringRightCar,199901WW00793,1999,London,26
