Scenario,urn,accyr,LAName,Age
EnteringRightCarPrivate,199901BS00255,1999,London,12
EnteringRightCarPrivate,199901BS00529,1999,London,21
EnteringRightCarPrivate,199901BS00857,1999,London,33
EnteringRightCarPrivate,199901CX00153,1999,London,26
EnteringRightCarPrivate,199901EH00253,1999,London,28
EnteringRightCarPrivate,199901EK00372,1999,London,25
EnteringRightCarPrivate,199901EK00429,1999,London,29
EnteringRightCarPrivate,199901GN00201,1999,London,27
EnteringRightCarPrivate,199901GN00670,1999,London,21
EnteringRightCarPrivate,199901HT00911,1999,London,29
EnteringRightCarPrivate,199901JC00254,1999,London,9
EnteringRightCarPrivate,199901JI00417,1999,London,37
EnteringRightCarPrivate,199901JI00487,1999,London,
EnteringRightCarPrivate,199901KD00597,1999,London,
EnteringRightCarPrivate,199901KG00052,1999,London,5
EnteringRightCarPrivate,199901LS00269,1999,London,36
EnteringRightCarPrivate,199901LX00108,1999,London,24
EnteringRightCarPrivate,199901LX00331,1999,London,29
EnteringRightCarPrivate,199901MD00512,1999,London,32
EnteringRightCarPrivate,199901MD00541,1999,London,24
EnteringRightCarPrivate,199901NH00292,1999,London,37
EnteringRightCarPrivate,199901NI00008,1999,London,24
EnteringRightCarPrivate,199901NI09107,1999,London,35
EnteringRightCarPrivate,199901NI09124,1999,London,31
EnteringRightCarPrivate,199901PL00225,1999,London,20
EnteringRightCarPrivate,199901PL00360,1999,London,24
EnteringRightCarPrivate,199901PL00583,1999,London,22
EnteringRightCarPrivate,199901PL00636,1999,London,37
EnteringRightCarPrivate,199901PL00653,1999,London,30
EnteringRightCarPrivate,199901PY00322,1999,London,25
EnteringRightCarPrivate,199901PY00479,1999,London,36
EnteringRightCarPrivate,199901QD00327,1999,London,50
EnteringRightCarPrivate,199901QD00489,1999,London,30
EnteringRightCarPrivate,199901QK00470,1999,London,24
EnteringRightCarPrivate,199901RA00176,1999,London,8
EnteringRightCarPrivate,199901RG00228,1999,London,16
EnteringRightCarPrivate,199901RX00010,1999,London,29
EnteringRightCarPrivate,199901RY00515,1999,London,23
EnteringRightCarPrivate,199901SA00223,1999,Hertfordshire,69
EnteringRightCarPrivate,199901TG00194,1999,Surrey,24
EnteringRightCarPrivate,199901VW00120,1999,London,34
EnteringRightCarPrivate,199901WW00306,1999,London,5
EnteringRightCarPrivate,199901WW00871,1999,London,38
EnteringRightCarPrivate,199901WW01055,1999,London,37
EnteringRightCarPrivate,199901YF00406,1999,London,16
EnteringRightCarPrivate,199901ZN00211,1999,London,31
EnteringRightCarPrivate,199901ZN00335,1999,London,14
EnteringRightCarPrivate,199901ZP00415,1999,London,24
EnteringRightCarPrivate,1.99903E+12,1999,Cumbria,13
EnteringRightCarPrivate,199904A009399,1999,Lancashire,56
