Scenario,urn,accyr,LAName,Age
EnteringRightPrivate,199901BS00324,1999,London,34
EnteringRightPrivate,199901FH00307,1999,London,21
EnteringRightPrivate,199901JI00496,1999,London,12
EnteringRightPrivate,199901PY00373,1999,London,40
EnteringRightPrivate,199901PY01030,1999,London,14
EnteringRightPrivate,199901TX00441,1999,London,15
EnteringRightPrivate,199901YE00321,1999,London,9
EnteringRightPrivate,199901ZD00558,1999,London,24
EnteringRightPrivate,199904B059899,1999,Lancashire,11
EnteringRightPrivate,199904C055099,1999,Lancashire,9
EnteringRightPrivate,199904C100199,1999,Lancashire,61
EnteringRightPrivate,199904D030399,1999,Lancashire,53
EnteringRightPrivate,1.99905E+12,1999,Merseyside,14
EnteringRightPrivate,199906A005101,1999,Manchester,9
EnteringRightPrivate,199906L006170,1999,Wigan,11
EnteringRightPrivate,1999079B20466,1999,Warrington,14
EnteringRightPrivate,1999079C21852,1999,Cheshire West and Chester,49
EnteringRightPrivate,1999079C30916,1999,Cheshire West and Chester,10
EnteringRightPrivate,199913AA07799,1999,Leeds,14
EnteringRightPrivate,199920E130301,1999,Birmingham,9
EnteringRightPrivate,199920J078202,1999,Dudley,17
EnteringRightPrivate,199920M106301,1999,Coventry,11
EnteringRightPrivate,1.99922E+12,1999,Stoke on Trent,24
EnteringRightPrivate,1.99922E+12,1999,Stoke on Trent,7
EnteringRightPrivate,1.99922E+12,1999,Stoke on Trent,42
EnteringRightPrivate,1.99922E+12,1999,Staffordshire,14
EnteringRightPrivate,199922AB10182,1999,Worcestershire,9
EnteringRightPrivate,199922AD10224,1999,Worcestershire,11
EnteringRightPrivate,199922BF01892,1999,Worcestershire,14
EnteringRightPrivate,199922CC10172,1999,Worcestershire,14
EnteringRightPrivate,199922EC10819,1999,Herefordshire,13
EnteringRightPrivate,199922EQ01947,1999,Herefordshire,8
EnteringRightPrivate,1999317C20104,1999,Nottingham,
EnteringRightPrivate,1999317C21205,1999,Nottinghamshire,21
EnteringRightPrivate,1999317C41936,1999,Nottinghamshire,59
EnteringRightPrivate,1999317E80983,1999,Nottinghamshire,41
EnteringRightPrivate,199932C004429,1999,Lincolnshire,6
EnteringRightPrivate,199932D004749,1999,Lincolnshire,7
EnteringRightPrivate,1.99934E+12,1999,Leicestershire,20
EnteringRightPrivate,199934ND00689,1999,Northamptonshire,23
EnteringRightPrivate,1.99935E+12,1999,Cambridgeshire,21
EnteringRightPrivate,1.99935E+12,1999,Cambridgeshire,20
EnteringRightPrivate,199936K991567,1999,Norfolk,14
EnteringRightPrivate,199936N991385,1999,Norfolk,12
EnteringRightPrivate,199936T990072,1999,Norfolk,15
EnteringRightPrivate,199936T990400,1999,Norfolk,10
EnteringRightPrivate,199937B006147,1999,Suffolk,14
EnteringRightPrivate,199937G005556,1999,Suffolk,15
EnteringRightPrivate,199940B160599,1999,Bedford Borough Council,9
EnteringRightPrivate,199940B168899,1999,Bedford Borough Council,14
EnteringRightPrivate,199940B183199,1999,Central Bedfordshire,14
EnteringRightPrivate,19994100B0159,1999,Hertfordshire,15
EnteringRightPrivate,19994100D0074,1999,Hertfordshire,44
EnteringRightPrivate,19994200C0516,1999,Essex,83
EnteringRightPrivate,19994200G0090,1999,Essex,50
EnteringRightPrivate,19994200H0441,1999,Southend on Sea,10
EnteringRightPrivate,199943P044049,1999,Oxfordshire,12
EnteringRightPrivate,199943P229109,1999,Oxfordshire,13
EnteringRightPrivate,199943R149049,1999,Windsor and Maidenhead,15
EnteringRightPrivate,199943W017059,1999,Wokingham,33
EnteringRightPrivate,199943W199059,1999,Reading,
EnteringRightPrivate,199943W236079,1999,Reading,15
EnteringRightPrivate,199943W325109,1999,Reading,20
EnteringRightPrivate,1999440NA0596,1999,Hampshire,14
EnteringRightPrivate,1999440RF0382,1999,Portsmouth,15
EnteringRightPrivate,1999440SP0183,1999,Southampton ,35
EnteringRightPrivate,1999440TL0071,1999,Hampshire,15
EnteringRightPrivate,199945WG00003,1999,Surrey,38
EnteringRightPrivate,199946WK06965,1999,Kent,7
EnteringRightPrivate,199946WL09060,1999,Kent,77
