Scenario,urn,accyr,LAName,Age
EnteringRightT,199901BH00181,1999,London,15
EnteringRightT,199901BS00309,1999,London,26
EnteringRightT,199901FH00114,1999,London,27
EnteringRightT,199901GN00326,1999,London,28
EnteringRightT,199901HT00675,1999,London,16
EnteringRightT,199901JC00111,1999,London,68
EnteringRightT,199901JC00621,1999,London,18
EnteringRightT,199901JI00337,1999,London,26
EnteringRightT,199901JI00447,1999,London,35
EnteringRightT,199901KG00408,1999,London,29
EnteringRightT,199901LX00370,1999,London,35
EnteringRightT,199901MD00172,1999,London,29
EnteringRightT,199901MD00498,1999,London,6
EnteringRightT,199901MM00489,1999,London,28
EnteringRightT,199901NH00130,1999,London,18
EnteringRightT,199901NH00138,1999,London,26
EnteringRightT,199901NI00271,1999,London,37
EnteringRightT,199901PL00321,1999,London,24
EnteringRightT,199901PL00511,1999,London,13
EnteringRightT,199901PL00845,1999,London,34
EnteringRightT,199901QA00358,1999,London,14
EnteringRightT,199901QK00077,1999,London,24
EnteringRightT,199901SC00674,1999,London,7
EnteringRightT,199901SC00852,1999,London,10
EnteringRightT,199901TG00268,1999,Surrey,44
EnteringRightT,199901TG00328,1999,Surrey,85
EnteringRightT,199901TG00450,1999,Surrey,14
EnteringRightT,199901TW00112,1999,London,22
EnteringRightT,199901TW00223,1999,London,24
EnteringRightT,199901TW00508,1999,London,81
EnteringRightT,199901TX01125,1999,London,33
EnteringRightT,199901VK00053,1999,London,66
EnteringRightT,199901VK00620,1999,London,42
EnteringRightT,199901WW01220,1999,London,24
EnteringRightT,199901XD00761,1999,London,28
EnteringRightT,199901XH00556,1999,London,72
EnteringRightT,199901YE00386,1999,London,16
EnteringRightT,199901YE00448,1999,London,13
EnteringRightT,199901ZD00373,1999,London,11
EnteringRightT,199901ZP00312,1999,Surrey,14
EnteringRightT,199901ZP00638,1999,London,12
EnteringRightT,1.99903E+12,1999,Cumbria,8
EnteringRightT,1.99903E+12,1999,Cumbria,11
EnteringRightT,1.99903E+12,1999,Cumbria,18
EnteringRightT,1.99903E+12,1999,Cumbria,25
EnteringRightT,1.99903E+12,1999,Cumbria,9
EnteringRightT,1.99903E+12,1999,Cumbria,13
EnteringRightT,1.99903E+12,1999,Cumbria,25
EnteringRightT,199904A015899,1999,Blackpool,31
EnteringRightT,199904A074299,1999,Blackpool,15
EnteringRightT,199904B050299,1999,Lancashire,18
EnteringRightT,199904B066999,1999,Lancashire,17
EnteringRightT,199904C031899,1999,Lancashire,9
EnteringRightT,199904C041699,1999,Lancashire,8
EnteringRightT,199904C064799,1999,Lancashire,10
EnteringRightT,199904C085999,1999,Lancashire,9
EnteringRightT,199904C092599,1999,Lancashire,14
EnteringRightT,199904D007399,1999,Lancashire,6
EnteringRightT,199904D069199,1999,Lancashire,24
EnteringRightT,199904E083799,1999,Blackburn with Darwen,13
EnteringRightT,199904F019399,1999,Lancashire,38
EnteringRightT,199904F059599,1999,Lancashire,6
EnteringRightT,1.99905E+12,1999,Merseyside,3
EnteringRightT,1.99905E+12,1999,Merseyside,15
EnteringRightT,1.99905E+12,1999,Merseyside,25
EnteringRightT,1.99905E+12,1999,Merseyside,12
EnteringRightT,1.99905E+12,1999,Merseyside,27
EnteringRightT,1.99905E+12,1999,Merseyside,51
EnteringRightT,1.99905E+12,1999,Merseyside,8
EnteringRightT,1.99905E+12,1999,Merseyside,8
EnteringRightT,1.99905E+12,1999,Merseyside,13
EnteringRightT,1.99905E+12,1999,Merseyside,12
EnteringRightT,1.99905E+12,1999,Merseyside,23
EnteringRightT,199906A005243,1999,Manchester,6
EnteringRightT,199906A005465,1999,Manchester,33
EnteringRightT,199906A005848,1999,Manchester,14
EnteringRightT,199906A403199,1999,Manchester,16
EnteringRightT,199906C007466,1999,Manchester,29
EnteringRightT,199906C008288,1999,Manchester,20
EnteringRightT,199906C008909,1999,Manchester,23
EnteringRightT,199906C632499,1999,Manchester,76
EnteringRightT,199906F005156,1999,Salford,13
EnteringRightT,199906F385299,1999,Salford,27
EnteringRightT,199906G003637,1999,Tameside,11
EnteringRightT,199906G003748,1999,Tameside,8
EnteringRightT,199906G003984,1999,Tameside,10
EnteringRightT,199906J005115,1999,Stockport,33
EnteringRightT,199906J005548,1999,Stockport,19
EnteringRightT,199906J382199,1999,Stockport,27
EnteringRightT,199906J410199,1999,Stockport,17
EnteringRightT,199906J427099,1999,Stockport,26
EnteringRightT,199906K004715,1999,Bolton,27
EnteringRightT,199906K005222,1999,Bolton,11
EnteringRightT,199906K005261,1999,Bolton,14
EnteringRightT,199906K449099,1999,Bolton,13
EnteringRightT,199906N003842,1999,Bury,13
EnteringRightT,199906N003851,1999,Bury,50
EnteringRightT,199906N004001,1999,Bury,13
EnteringRightT,199906P003804,1999,Rochdale,13
EnteringRightT,199906P004267,1999,Rochdale,12
EnteringRightT,199906Q004912,1999,Oldham,14
EnteringRightT,199906Q005073,1999,Oldham,50
EnteringRightT,1999079A10867,1999,Cheshire East,9
EnteringRightT,1999079A11305,1999,Cheshire East,8
EnteringRightT,1999079A20450,1999,Cheshire West and Chester,21
EnteringRightT,1999079A31297,1999,Cheshire West and Chester,14
EnteringRightT,1999079A40067,1999,Cheshire West and Chester,12
EnteringRightT,1999079A41134,1999,Cheshire West and Chester,89
EnteringRightT,1999079B20568,1999,Warrington,27
EnteringRightT,1999079B21188,1999,Warrington,11
EnteringRightT,1999079B21193,1999,Warrington,17
EnteringRightT,1999079C21245,1999,Cheshire West and Chester,18
EnteringRightT,1999079C31434,1999,Cheshire West and Chester,11
EnteringRightT,1999079C31571,1999,Cheshire West and Chester,15
EnteringRightT,1999079C31701,1999,Cheshire West and Chester,36
EnteringRightT,199907DUP0116,1999,Cheshire West and Chester,25
EnteringRightT,199910B227899,1999,Northumberland,10
EnteringRightT,199910C087399,1999,Northumberland,16
EnteringRightT,199910G282699,1999,Newcastle upon Tyne,71
EnteringRightT,199910K211099,1999,Gateshead,5
EnteringRightT,199910M202799,1999,South Tyneside,14
EnteringRightT,199910N178199,1999,South Tyneside,31
EnteringRightT,199910N333499,1999,South Tyneside,31
EnteringRightT,1.99912E+12,1999,North Yorkshire,15
EnteringRightT,1.99912E+12,1999,North Yorkshire,14
EnteringRightT,1.99912E+12,1999,North Yorkshire,5
EnteringRightT,1.99912E+12,1999,York,25
EnteringRightT,199913CB24999,1999,Leeds,14
EnteringRightT,199913DA48499,1999,Wakefield,14
EnteringRightT,199913EA39799,1999,Kirklees,12
EnteringRightT,199913EC44399,1999,Kirklees,11
EnteringRightT,199913FA01799,1999,Calderdale,60
EnteringRightT,199913FA05099,1999,Calderdale,9
EnteringRightT,199913FD21399,1999,Calderdale,11
EnteringRightT,199913FD35699,1999,Calderdale,14
EnteringRightT,199913HA19699,1999,Bradford,11
EnteringRightT,199914AA00193,1999,Doncaster,23
EnteringRightT,199914BB00238,1999,Doncaster,51
EnteringRightT,199914BB00491,1999,Doncaster,15
EnteringRightT,199914BB00758,1999,Doncaster,14
EnteringRightT,199914DD00528,1999,Barnsley,14
EnteringRightT,199914EE00107,1999,Barnsley,15
EnteringRightT,199914EE00454,1999,Barnsley,13
EnteringRightT,199914GG00194,1999,Rotherham,26
EnteringRightT,199914GG00261,1999,Rotherham,14
EnteringRightT,199914HH00806,1999,Sheffield,14
EnteringRightT,199914JJ00007,1999,Sheffield,18
EnteringRightT,199916A009899,1999,North East Lincolnshire,8
EnteringRightT,199916A017599,1999,North East Lincolnshire,55
EnteringRightT,199916A023099,1999,North East Lincolnshire,9
EnteringRightT,199916A028999,1999,North East Lincolnshire,18
EnteringRightT,199916A036499,1999,North East Lincolnshire,10
EnteringRightT,199916A036699,1999,North East Lincolnshire,25
EnteringRightT,199916A036799,1999,North East Lincolnshire,12
EnteringRightT,199916A038199,1999,North East Lincolnshire,13
EnteringRightT,199916A045999,1999,North East Lincolnshire,11
EnteringRightT,199916A065899,1999,North East Lincolnshire,23
EnteringRightT,199916B033099,1999,North Lincolnshire,50
EnteringRightT,199916B049399,1999,North Lincolnshire,37
EnteringRightT,199916C032499,1999,East Riding of Yorkshire,13
