Scenario,urn,accyr,LAName,Age
EnteringRightTCar,199901AB00066,1999,London,36
EnteringRightTCar,199901BS00013,1999,London,30
EnteringRightTCar,199901BS00026,1999,London,28
EnteringRightTCar,199901BS00102,1999,London,33
EnteringRightTCar,199901BS00157,1999,London,56
EnteringRightTCar,199901BS00330,1999,London,47
EnteringRightTCar,199901BS00415,1999,London,53
EnteringRightTCar,199901BS00502,1999,London,35
EnteringRightTCar,199901BS00522,1999,London,
EnteringRightTCar,199901BS00692,1999,London,35
EnteringRightTCar,199901BS00697,1999,London,
EnteringRightTCar,199901BS00765,1999,London,28
EnteringRightTCar,199901BS00797,1999,London,36
EnteringRightTCar,199901BS00852,1999,London,34
EnteringRightTCar,199901CP00154,1999,London,31
EnteringRightTCar,199901CP00167,1999,London,24
EnteringRightTCar,199901CP00209,1999,London,31
EnteringRightTCar,199901CP00368,1999,London,21
EnteringRightTCar,199901CP00440,1999,London,31
EnteringRightTCar,199901CX00341,1999,London,
EnteringRightTCar,199901DM00220,1999,London,
EnteringRightTCar,199901DM00925,1999,London,27
EnteringRightTCar,199901DM01080,1999,London,
EnteringRightTCar,199901DM01122,1999,London,36
EnteringRightTCar,199901DM09433,1999,London,24
EnteringRightTCar,199901DP00178,1999,London,
EnteringRightTCar,199901DP00300,1999,London,38
EnteringRightTCar,199901DP00407,1999,London,28
EnteringRightTCar,199901EK00043,1999,London,24
EnteringRightTCar,199901EK00096,1999,London,37
EnteringRightTCar,199901EK00205,1999,London,28
EnteringRightTCar,199901EK00531,1999,London,30
EnteringRightTCar,199901EK00669,1999,London,25
EnteringRightTCar,199901EK00740,1999,London,35
EnteringRightTCar,199901EK00780,1999,London,33
EnteringRightTCar,199901EO00061,1999,London,31
EnteringRightTCar,199901EO00064,1999,London,28
EnteringRightTCar,199901FF00030,1999,London,26
EnteringRightTCar,199901FH00155,1999,London,
EnteringRightTCar,199901FH00158,1999,London,25
EnteringRightTCar,199901FH00210,1999,London,50
EnteringRightTCar,199901FH00254,1999,London,35
EnteringRightTCar,199901FH00591,1999,London,37
EnteringRightTCar,199901FH00611,1999,London,23
EnteringRightTCar,199901FH00717,1999,London,33
