Scenario,urn,accyr,LAName,Age
EnteringRoundabout,199901AB00321,1999,London,31
EnteringRoundabout,199901AB00359,1999,London,33
EnteringRoundabout,199901CD00139,1999,London,36
EnteringRoundabout,199901CX00115,1999,London,35
EnteringRoundabout,199901FH00329,1999,London,31
EnteringRoundabout,199901FH00833,1999,London,31
EnteringRoundabout,199901GD00111,1999,London,31
EnteringRoundabout,199901GD00492,1999,London,
EnteringRoundabout,199901JC00173,1999,London,32
EnteringRoundabout,199901KD00751,1999,London,73
EnteringRoundabout,199901KF00575,1999,London,54
EnteringRoundabout,199901KG00056,1999,London,33
EnteringRoundabout,199901LX00500,1999,London,24
EnteringRoundabout,199901MD00130,1999,London,30
EnteringRoundabout,199901MD00427,1999,London,33
EnteringRoundabout,199901MD00557,1999,London,33
EnteringRoundabout,199901MM00362,1999,London,39
EnteringRoundabout,199901MS00085,1999,London,43
EnteringRoundabout,199901MS00149,1999,London,20
EnteringRoundabout,199901MS00350,1999,London,20
EnteringRoundabout,199901NI00541,1999,London,25
EnteringRoundabout,199901QA00022,1999,London,23
EnteringRoundabout,199901SA00231,1999,Hertfordshire,28
EnteringRoundabout,199901TG00154,1999,Surrey,47
EnteringRoundabout,199901TX01296,1999,London,60
EnteringRoundabout,199901VK00381,1999,London,16
EnteringRoundabout,199901XH00093,1999,London,13
EnteringRoundabout,199901XH00098,1999,London,18
EnteringRoundabout,199901XH00197,1999,London,21
EnteringRoundabout,199901XH00983,1999,London,55
EnteringRoundabout,199901YE00268,1999,London,13
EnteringRoundabout,199901YE00571,1999,London,12
EnteringRoundabout,199901YE00736,1999,London,12
EnteringRoundabout,199901YT00139,1999,London,
EnteringRoundabout,199901ZP00278,1999,London,7
EnteringRoundabout,199901ZP01104,1999,Surrey,11
EnteringRoundabout,199904A046299,1999,Blackpool,32
EnteringRoundabout,199906C671999,1999,Manchester,13
EnteringRoundabout,199906L006021,1999,Wigan,10
EnteringRoundabout,199906M004444,1999,Trafford,17
EnteringRoundabout,199906N254799,1999,Bury,29
EnteringRoundabout,1999079A20583,1999,Cheshire West and Chester,37
EnteringRoundabout,1999079B20252,1999,Warrington,64
EnteringRoundabout,1999079C11094,1999,Cheshire West and Chester,38
EnteringRoundabout,199910E327999,1999,Newcastle upon Tyne,20
EnteringRoundabout,199910E347099,1999,Newcastle upon Tyne,34
EnteringRoundabout,199910G159799,1999,Newcastle upon Tyne,48
EnteringRoundabout,199913AA59799,1999,Leeds,28
EnteringRoundabout,199913DC39699,1999,Wakefield,10
EnteringRoundabout,199914JJ00850,1999,Sheffield,30
EnteringRoundabout,199916A014399,1999,North East Lincolnshire,10
EnteringRoundabout,199916A019299,1999,North East Lincolnshire,14
EnteringRoundabout,199916C031699,1999,East Riding of Yorkshire,12
EnteringRoundabout,199917H100245,1999,Hartlepool,53
EnteringRoundabout,199917S100358,1999,Stockton on Tees,66
EnteringRoundabout,199920F219201,1999,Birmingham,13
EnteringRoundabout,199920G033302,1999,Wolverhampton,10
EnteringRoundabout,199920G068202,1999,Wolverhampton,6
EnteringRoundabout,199920K094901,1999,Sandwell,28
EnteringRoundabout,199920L115901,1999,Solihull,36
EnteringRoundabout,199920M197201,1999,Coventry,16
EnteringRoundabout,1.99922E+12,1999,Stoke on Trent,35
EnteringRoundabout,1.99922E+12,1999,Staffordshire,9
EnteringRoundabout,1.99922E+12,1999,Staffordshire,45
EnteringRoundabout,1.99922E+12,1999,Staffordshire,21
EnteringRoundabout,1.99924E+12,1999,Warwickshire,8
EnteringRoundabout,199930D000309,1999,Derby,18
EnteringRoundabout,199930D000448,1999,Derby,18
EnteringRoundabout,1999317C42744,1999,Nottingham,56
EnteringRoundabout,1.99934E+12,1999,Leicestershire,14
EnteringRoundabout,1.99934E+12,1999,Leicestershire,38
EnteringRoundabout,1.99934E+12,1999,Leicestershire,46
EnteringRoundabout,1.99935E+12,1999,Cambridgeshire,17
EnteringRoundabout,1.99935E+12,1999,Cambridgeshire,30
EnteringRoundabout,1.99935E+12,1999,Cambridgeshire,41
EnteringRoundabout,199936N991468,1999,Norfolk,
EnteringRoundabout,199940B270899,1999,Central Bedfordshire,11
EnteringRoundabout,199940C305199,1999,Luton,20
EnteringRoundabout,199940C310199,1999,Luton,30
EnteringRoundabout,19994100G0159,1999,Hertfordshire,16
EnteringRoundabout,19994200B0413,1999,Essex,
EnteringRoundabout,2.00E+124,1999,Essex,43
EnteringRoundabout,19994200F0477,1999,Thurrock,30
EnteringRoundabout,19994200H0673,1999,Southend on Sea,22
EnteringRoundabout,199943N246119,1999,Buckinghamshire,
EnteringRoundabout,199943N293079,1999,Buckinghamshire,33
EnteringRoundabout,199943R412119,1999,Windsor and Maidenhead,54
EnteringRoundabout,1999440AA1387,1999,Hampshire,14
EnteringRoundabout,1999440BB1070,1999,Hampshire,32
EnteringRoundabout,1999440DT0030,1999,Hampshire,17
EnteringRoundabout,1999440HF0316,1999,Hampshire,69
EnteringRoundabout,1999440JH0018,1999,Hampshire,24
EnteringRoundabout,1999440JH0404,1999,Hampshire,12
EnteringRoundabout,1999440RC0020,1999,Portsmouth,25
EnteringRoundabout,1999440SP0214,1999,Southampton ,39
EnteringRoundabout,1999440YS0270,1999,Southampton ,21
EnteringRoundabout,1999440ZD0619,1999,Isle of Wight,42
EnteringRoundabout,1999440ZD0908,1999,Isle of Wight,11
EnteringRoundabout,199945ED00268,1999,Surrey,24
EnteringRoundabout,199945NA00106,1999,Surrey,
EnteringRoundabout,199945NA00368,1999,Surrey,15
EnteringRoundabout,199946MA03161,1999,Kent,9
EnteringRoundabout,199946SW08072,1999,Kent,14
EnteringRoundabout,199947X002409,1999,West Sussex,11
EnteringRoundabout,199947X003865,1999,West Sussex,17
EnteringRoundabout,199950E312672,1999,Plymouth,29
EnteringRoundabout,1.99952E+12,1999,South Gloucestershire,42
EnteringRoundabout,1.99952E+12,1999,City of Bristol,15
EnteringRoundabout,1999530AI2626,1999,Gloucestershire,16
EnteringRoundabout,1999530AI3976,1999,Gloucestershire,23
EnteringRoundabout,1999530AI4388,1999,Gloucestershire,18
EnteringRoundabout,199954DN32499,1999,Swindon,42
EnteringRoundabout,199954DN47499,1999,Swindon,24
EnteringRoundabout,1999550P00498,1999,Poole,21
EnteringRoundabout,1999559E04995,1999,Dorset,16
EnteringRoundabout,200001DM01262,2000,London,11
EnteringRoundabout,200001DM02500,2000,London,29
EnteringRoundabout,200001FH00217,2000,London,7
EnteringRoundabout,200001FH00607,2000,London,27
EnteringRoundabout,200001GD00471,2000,London,28
EnteringRoundabout,200001GD00511,2000,London,57
EnteringRoundabout,200001GD00513,2000,London,58
EnteringRoundabout,200001KD00424,2000,London,53
EnteringRoundabout,200001KD00856,2000,London,72
EnteringRoundabout,200001KG00236,2000,London,22
EnteringRoundabout,200001KO00697,2000,London,21
EnteringRoundabout,200001MM01589,2000,London,28
EnteringRoundabout,200001NI00659,2000,London,45
EnteringRoundabout,200001NI00880,2000,London,23
EnteringRoundabout,200001NI01457,2000,London,28
EnteringRoundabout,200001PL00817,2000,London,31
EnteringRoundabout,200001PY00669,2000,London,54
EnteringRoundabout,200001RY00051,2000,London,51
EnteringRoundabout,200001TX00273,2000,London,40
EnteringRoundabout,200001VK00187,2000,London,24
EnteringRoundabout,200001XD00088,2000,London,49
EnteringRoundabout,200001XH00514,2000,London,39
