Scenario,urn,accyr,LAName,Age
Footway,199901JI00194,1999,London,16
Footway,199901PD00174,1999,London,16
Footway,199901QD00452,1999,London,8
Footway,199901RA00186,1999,London,7
Footway,199901RA00200,1999,London,7
Footway,199901TG00197,1999,Surrey,16
Footway,199901XS00387,1999,London,16
Footway,199901ZD00047,1999,London,
Footway,199901ZP00403,1999,London,17
Footway,199904A089199,1999,Lancashire,13
Footway,199904B044799,1999,Lancashire,32
Footway,199904C065699,1999,Lancashire,53
Footway,199904D039199,1999,Lancashire,7
Footway,199904E036299,1999,Blackburn with Darwen,16
Footway,1.99905E+12,1999,Merseyside,11
Footway,1.99905E+12,1999,Merseyside,12
Footway,1.99905E+12,1999,Merseyside,15
Footway,1.99905E+12,1999,Merseyside,12
Footway,1.99905E+12,1999,Merseyside,18
Footway,1.99905E+12,1999,Merseyside,6
Footway,1.99905E+12,1999,Merseyside,12
Footway,1.99905E+12,1999,Merseyside,16
Footway,199906A005588,1999,Manchester,8
Footway,199906C007426,1999,Manchester,79
Footway,199906C007800,1999,Manchester,30
Footway,199906C007907,1999,Manchester,8
Footway,199906C009047,1999,Manchester,18
Footway,199906F004776,1999,Salford,15
Footway,199906J004659,1999,Stockport,22
Footway,199906J004814,1999,Stockport,3
Footway,199906J005017,1999,Stockport,11
Footway,199906J005069,1999,Stockport,14
Footway,199906J005161,1999,Stockport,15
Footway,199906J005335,1999,Stockport,12
Footway,199906K004995,1999,Bolton,6
Footway,199906K005059,1999,Bolton,15
Footway,199906K005971,1999,Bolton,15
Footway,199906L005079,1999,Wigan,11
Footway,199906L005272,1999,Wigan,10
Footway,199906L005518,1999,Wigan,50
Footway,199906M003809,1999,Trafford,36
Footway,199906M003868,1999,Trafford,14
Footway,199906M004163,1999,Trafford,9
Footway,199906M004180,1999,Trafford,13
Footway,199906M004821,1999,Trafford,7
Footway,199906P003843,1999,Rochdale,17
Footway,199910H321799,1999,North Tyneside,14
Footway,199910K170499,1999,Gateshead,15
Footway,199910K284399,1999,Gateshead,13
Footway,199910O240199,1999,South Tyneside,14
Footway,1999110DJ0879,1999,Darlington,30
Footway,1999119BE1503,1999,Durham,11
Footway,1.99912E+12,1999,North Yorkshire,13
Footway,1.99912E+12,1999,North Yorkshire,8
Footway,1.99913E+12,1999,Calderdale,16
Footway,199913AA17999,1999,Leeds,7
Footway,199913BB42299,1999,Leeds,16
Footway,199913DA47199,1999,Wakefield,13
Footway,199913EC47099,1999,Kirklees,53
Footway,199913GC32199,1999,Bradford,14
Footway,199913HA20099,1999,Bradford,13
Footway,199913HA33499,1999,Bradford,15
Footway,199913HA39599,1999,Bradford,15
Footway,199913HB22999,1999,Bradford,16
Footway,199916D028999,1999,East Riding of Yorkshire,23
Footway,199916E035399,1999,East Riding of Yorkshire,18
Footway,199916F000699,1999,Kingston Upon Hull,4
Footway,199917S100414,1999,Stockton on Tees,20
Footway,199920D180801,1999,Birmingham,18
Footway,199920D203601,1999,Birmingham,32
Footway,199920D208901,1999,Birmingham,7
Footway,199920D236801,1999,Birmingham,21
Footway,199920D245501,1999,Birmingham,8
Footway,199920D346201,1999,Birmingham,15
Footway,199920E176901,1999,Birmingham,13
Footway,199920E233801,1999,Birmingham,11
Footway,199920E234401,1999,Birmingham,13
Footway,199920E251701,1999,Birmingham,18
Footway,199920F217101,1999,Birmingham,20
Footway,199920F242901,1999,Birmingham,18
Footway,199920F296301,1999,Birmingham,20
Footway,199920G043302,1999,Wolverhampton,18
Footway,199920G047101,1999,Wolverhampton,
Footway,199920G050902,1999,Wolverhampton,18
Footway,199920G069402,1999,Wolverhampton,13
Footway,199920G101102,1999,Wolverhampton,15
Footway,199920H053702,1999,Walsall,9
Footway,199920H056701,1999,Walsall,25
Footway,199920H061702,1999,Walsall,18
Footway,199920H090002,1999,Walsall,43
Footway,199920H099502,1999,Walsall,21
Footway,199920J052002,1999,Dudley,14
Footway,199920J065502,1999,Dudley,11
Footway,199920J074702,1999,Dudley,17
Footway,199920J081802,1999,Dudley,12
Footway,199920K087101,1999,Sandwell,11
Footway,199920K091302,1999,Sandwell,9
Footway,199920K101401,1999,Sandwell,7
Footway,199920K112001,1999,Sandwell,12
Footway,199920K140102,1999,Sandwell,17
Footway,199920L040401,1999,Solihull,7
Footway,199920L063001,1999,Solihull,8
Footway,199920L133701,1999,Solihull,13
Footway,199920M144101,1999,Coventry,14
Footway,199920M144201,1999,Coventry,8
Footway,19992193X0329,1999,Staffordshire,14
Footway,199922AV01215,1999,Worcestershire,18
Footway,199922CA11068,1999,Worcestershire,24
Footway,199922CK02793,1999,Worcestershire,15
Footway,199922FX01539,1999,Shropshire,17
Footway,199930A000261,1999,Derbyshire,12
Footway,199930A000497,1999,Derbyshire,
Footway,199930A000505,1999,Derbyshire,13
Footway,199930B000423,1999,Derbyshire,39
Footway,199930C000764,1999,Derbyshire,
Footway,199930D000343,1999,Derbyshire,15
Footway,1999317B20232,1999,Nottinghamshire,10
Footway,199932B003639,1999,Lincolnshire,8
Footway,199932C009139,1999,Lincolnshire,11
Footway,1.99934E+12,1999,Leicestershire,25
Footway,1.99934E+12,1999,Leicestershire,10
Footway,1.99934E+12,1999,Leicestershire,
Footway,1.99934E+12,1999,Leicestershire,19
Footway,1.99934E+12,1999,Leicestershire,13
Footway,1.99934E+12,1999,Leicestershire,5
Footway,1.99934E+12,1999,Leicestershire,14
Footway,1.99934E+12,1999,Leicestershire,
Footway,1.99934E+12,1999,Leicestershire,28
Footway,1.99934E+12,1999,Leicestershire,12
Footway,1.99934E+12,1999,Leicestershire,17
Footway,1.99934E+12,1999,Leicestershire,12
Footway,1.99934E+12,1999,Rutland,4
Footway,199934NC00249,1999,Northamptonshire,5
Footway,1.99935E+12,1999,Peterborough,11
Footway,1.99935E+12,1999,Cambridgeshire,12
Footway,1.99935E+12,1999,Cambridgeshire,13
Footway,1.99935E+12,1999,Peterborough,13
Footway,1.99935E+12,1999,Cambridgeshire,59
Footway,1.99935E+12,1999,Cambridgeshire,14
Footway,1.99935E+12,1999,Cambridgeshire,
Footway,1.99935E+12,1999,Peterborough,14
Footway,1.99935E+12,1999,Peterborough,14
Footway,1.99935E+12,1999,Peterborough,43
Footway,199936G991110,1999,Norfolk,13
Footway,199936N991066,1999,Norfolk,10
Footway,199936T990504,1999,Norfolk,8
Footway,199937B007228,1999,Suffolk,22
Footway,199937G004247,1999,Suffolk,21
Footway,199937G004511,1999,Suffolk,12
Footway,199937G004976,1999,Suffolk,12
Footway,199937G005046,1999,Suffolk,83
Footway,199937L003275,1999,Suffolk,3
Footway,199940B172499,1999,Bedford Borough Council,35
Footway,199940C153299,1999,Luton,30
Footway,199940C247699,1999,Luton,20
Footway,199940D252399,1999,Central Bedfordshire,13
Footway,19994100A0177,1999,Hertfordshire,8
Footway,19994100B0011,1999,Hertfordshire,16
Footway,19994100B0212,1999,Hertfordshire,17
Footway,19994100B0281,1999,Hertfordshire,14
Footway,19994100C0111,1999,Hertfordshire,10
Footway,19994100C0248,1999,Hertfordshire,18
Footway,19994100C0301,1999,Hertfordshire,5
Footway,19994100C0328,1999,Hertfordshire,11
Footway,19994100D0511,1999,Hertfordshire,18
Footway,19994100F0391,1999,Hertfordshire,20
Footway,19994100F0406,1999,Hertfordshire,14
Footway,19994100G0066,1999,Hertfordshire,12
Footway,19994200A0183,1999,Essex,13
Footway,19994200A0238,1999,Essex,12
Footway,19994200A0545,1999,Essex,
Footway,19994200C0298,1999,Essex,47
Footway,19994200C0449,1999,Essex,12
Footway,19994200C0782,1999,Essex,25
Footway,19994200D0196,1999,Essex,24
Footway,19994200D0263,1999,Essex,19
Footway,19994200D0310,1999,Essex,9
Footway,19994200D0433,1999,Essex,13
Footway,19994200F0021,1999,Thurrock,28
Footway,19994200F0603,1999,Thurrock,14
Footway,19994200G0703,1999,Essex,9
Footway,19994200H0260,1999,Southend on Sea,8
Footway,199943N019089,1999,Buckinghamshire,13
Footway,199943N333089,1999,Buckinghamshire,7
Footway,199943N396019,1999,Buckinghamshire,23
Footway,199943P244079,1999,Oxfordshire,12
Footway,199943P309129,1999,Oxfordshire,31
Footway,199943R029039,1999,Slough,52
Footway,199943R042129,1999,Bracknell Forest,16
Footway,199943R153099,1999,Wokingham,25
Footway,199943R184109,1999,Slough,11
Footway,199943R305079,1999,Slough,16
Footway,199943S109029,1999,Milton Keynes,24
Footway,199943S165049,1999,Milton Keynes,20
Footway,199943W258089,1999,West Berkshire,
Footway,199943W280059,1999,Reading,13
Footway,1999440AA0685,1999,Hampshire,12
Footway,1999440AA1500,1999,Hampshire,13
Footway,1999440DW0039,1999,Hampshire,11
Footway,1999440GG0219,1999,Hampshire,15
Footway,1999440HF0481,1999,Hampshire,21
Footway,1999440HP0336,1999,Hampshire,5
Footway,1999440JH0430,1999,Hampshire,11
Footway,1999440KS0514,1999,Portsmouth,17
Footway,1999440KS0719,1999,Portsmouth,20
Footway,1999440LA0644,1999,Hampshire,10
Footway,1999440NA0569,1999,Hampshire,9
