Scenario,urn,accyr,LAName,Age
GoingAhead,199901AB00213,1999,London,37
GoingAhead,199901BH00154,1999,London,10
GoingAhead,199901BH00229,1999,London,10
GoingAhead,199901BS00176,1999,London,32
GoingAhead,199901BS00219,1999,London,37
GoingAhead,199901BS00316,1999,London,30
GoingAhead,199901BS00327,1999,London,31
GoingAhead,199901BS00369,1999,London,28
GoingAhead,199901BS00410,1999,London,43
GoingAhead,199901BS00413,1999,London,38
GoingAhead,199901BS00494,1999,London,35
GoingAhead,199901BS00570,1999,London,31
GoingAhead,199901BS00657,1999,London,15
GoingAhead,199901CD00027,1999,London,52
GoingAhead,199901CD00213,1999,London,
GoingAhead,199901CP00124,1999,London,36
GoingAhead,199901CP00380,1999,London,42
GoingAhead,199901CX00198,1999,London,37
GoingAhead,199901CX00283,1999,London,
GoingAhead,199901CX00354,1999,London,23
GoingAhead,199901DM00091,1999,London,34
GoingAhead,199901DM00104,1999,London,27
GoingAhead,199901DM00184,1999,London,29
GoingAhead,199901DM00282,1999,London,29
GoingAhead,199901DM00474,1999,London,18
GoingAhead,199901DM00524,1999,London,44
GoingAhead,199901DM00785,1999,London,46
GoingAhead,199901DM00837,1999,London,55
GoingAhead,199901DM00884,1999,London,37
GoingAhead,199901DM01034,1999,London,28
GoingAhead,199901DM01077,1999,London,40
GoingAhead,199901DP00057,1999,London,35
GoingAhead,199901DP00188,1999,London,36
GoingAhead,199901DP00242,1999,London,31
GoingAhead,199901EH00047,1999,London,36
GoingAhead,199901EH00071,1999,London,14
GoingAhead,199901EK00069,1999,London,
GoingAhead,199901EK00100,1999,London,30
GoingAhead,199901EK00227,1999,London,50
GoingAhead,199901EK00272,1999,London,28
GoingAhead,199901EK00423,1999,London,49
GoingAhead,199901EK00739,1999,London,37
GoingAhead,199901EK09031,1999,London,19
GoingAhead,199901EO00008,1999,London,38
GoingAhead,199901EO00182,1999,London,56
GoingAhead,199901EO00254,1999,London,28
GoingAhead,199901FH00102,1999,London,23
GoingAhead,199901FH00361,1999,London,26
GoingAhead,199901FH00428,1999,London,49
GoingAhead,199901FH00503,1999,London,30
GoingAhead,199901FH00771,1999,London,14
GoingAhead,199901FH00786,1999,London,34
GoingAhead,199901FH00849,1999,London,41
GoingAhead,199901FH00879,1999,London,28
GoingAhead,199901FH00951,1999,London,49
GoingAhead,199901GD00171,1999,London,26
GoingAhead,199901GD00262,1999,London,32
GoingAhead,199901GD00287,1999,London,18
GoingAhead,199901GD00288,1999,London,34
GoingAhead,199901GD00382,1999,London,12
GoingAhead,199901GD00391,1999,London,16
GoingAhead,199901GD00519,1999,London,32
GoingAhead,199901GD00558,1999,London,16
GoingAhead,199901GD00633,1999,London,45
GoingAhead,199901GN00002,1999,London,23
GoingAhead,199901GN00284,1999,London,15
GoingAhead,199901GN00383,1999,London,35
GoingAhead,199901GN00435,1999,London,28
GoingAhead,199901GN00555,1999,London,34
GoingAhead,199901HT00145,1999,London,33
GoingAhead,199901HT00295,1999,London,58
GoingAhead,199901HT00363,1999,London,16
GoingAhead,199901HT00556,1999,London,30
GoingAhead,199901HT00650,1999,London,
GoingAhead,199901HT00706,1999,London,14
GoingAhead,199901HT00749,1999,London,18
GoingAhead,199901JB00061,1999,London,13
GoingAhead,199901JB00280,1999,London,4
GoingAhead,199901JB00359,1999,London,14
GoingAhead,199901JB00458,1999,London,21
GoingAhead,199901JB00708,1999,London,10
GoingAhead,199901JC00008,1999,London,48
GoingAhead,199901JC00377,1999,London,8
GoingAhead,199901JC00735,1999,London,58
GoingAhead,199901JI00328,1999,London,9
GoingAhead,199901JI00346,1999,London,16
GoingAhead,199901JI00414,1999,London,9
GoingAhead,199901JI00518,1999,London,5
GoingAhead,199901JI00584,1999,London,6
GoingAhead,199901JL00077,1999,London,35
GoingAhead,199901JL00206,1999,London,12
GoingAhead,199901KD00228,1999,London,8
GoingAhead,199901KD00369,1999,London,10
GoingAhead,199901KD00443,1999,London,8
GoingAhead,199901KD00447,1999,London,
GoingAhead,199901KD00539,1999,London,12
GoingAhead,199901KD00669,1999,London,15
GoingAhead,199901KD00690,1999,London,13
GoingAhead,199901KF00082,1999,London,9
GoingAhead,199901KF00183,1999,London,8
GoingAhead,199901KF00220,1999,London,11
GoingAhead,199901KF00246,1999,London,11
GoingAhead,199901KF00272,1999,London,8
GoingAhead,199901KF00274,1999,London,7
GoingAhead,199901KF00321,1999,London,69
GoingAhead,199901KF00332,1999,London,11
GoingAhead,199901KF00388,1999,London,41
GoingAhead,199901KF00516,1999,London,40
GoingAhead,199901KG00007,1999,London,45
GoingAhead,199901KG00041,1999,London,17
GoingAhead,199901KG00223,1999,London,11
GoingAhead,199901KG00341,1999,London,7
GoingAhead,199901KG00354,1999,London,8
GoingAhead,199901KG00372,1999,London,18
GoingAhead,199901KG00449,1999,London,14
GoingAhead,199901KG00463,1999,London,12
GoingAhead,199901KG00469,1999,London,12
GoingAhead,199901KG00491,1999,London,9
GoingAhead,199901KG00523,1999,London,8
GoingAhead,199901KG00529,1999,London,25
GoingAhead,199901KG00542,1999,London,9
GoingAhead,199901KG00552,1999,London,13
GoingAhead,199901KG00558,1999,London,15
GoingAhead,199901KG00559,1999,London,10
GoingAhead,199901KG00604,1999,London,
GoingAhead,199901KG00620,1999,London,6
GoingAhead,199901KG00708,1999,London,16
GoingAhead,199901KO00423,1999,London,9
GoingAhead,199901LD00050,1999,London,28
GoingAhead,199901LD00303,1999,London,27
GoingAhead,199901LD00456,1999,London,20
GoingAhead,199901LS00034,1999,London,27
GoingAhead,199901LS00169,1999,London,8
GoingAhead,199901LS00524,1999,London,12
GoingAhead,199901LX00174,1999,London,34
GoingAhead,199901LX00234,1999,London,39
GoingAhead,199901LX00489,1999,London,25
GoingAhead,199901LX00656,1999,London,41
GoingAhead,199901LX00657,1999,London,8
GoingAhead,199901LX00712,1999,London,30
GoingAhead,199901LX00717,1999,London,
GoingAhead,199901LX00797,1999,London,26
GoingAhead,199901LX01050,1999,London,14
GoingAhead,199901MD00024,1999,London,7
GoingAhead,199901MD00135,1999,London,33
GoingAhead,199901MD00272,1999,London,40
GoingAhead,199901MD00281,1999,London,11
GoingAhead,199901MD00290,1999,London,40
GoingAhead,199901MD00299,1999,London,38
GoingAhead,199901MD00554,1999,London,46
GoingAhead,199901MD00556,1999,London,16
GoingAhead,199901MD00625,1999,London,33
GoingAhead,199901MM00018,1999,London,29
GoingAhead,199901MM00198,1999,London,55
GoingAhead,199901MM00223,1999,London,34
GoingAhead,199901MM00324,1999,London,18
GoingAhead,199901MM00401,1999,London,11
GoingAhead,199901MM00458,1999,London,11
GoingAhead,199901MM00493,1999,London,26
GoingAhead,199901MS00247,1999,London,8
GoingAhead,199901MS00275,1999,London,35
GoingAhead,199901MS00331,1999,London,5
GoingAhead,199901NH00015,1999,London,39
GoingAhead,199901NH00106,1999,London,40
GoingAhead,199901NH00219,1999,London,27
GoingAhead,199901NH00272,1999,London,
GoingAhead,199901NH00275,1999,London,28
GoingAhead,199901NI00059,1999,London,48
GoingAhead,199901NI00062,1999,London,24
GoingAhead,199901NI00063,1999,London,32
GoingAhead,199901NI00074,1999,London,30
GoingAhead,199901NI00161,1999,London,21
GoingAhead,199901NI00214,1999,London,17
GoingAhead,199901NI00254,1999,London,20
GoingAhead,199901NI00260,1999,London,31
GoingAhead,199901NI00264,1999,London,29
GoingAhead,199901NI00337,1999,London,
GoingAhead,199901NI00355,1999,London,12
GoingAhead,199901NI00406,1999,London,12
GoingAhead,199901NI00549,1999,London,28
GoingAhead,199901NI00692,1999,London,26
GoingAhead,199901NI00868,1999,London,34
GoingAhead,199901NI09008,1999,London,34
GoingAhead,199901NI09291,1999,London,45
GoingAhead,199901PD00263,1999,London,8
GoingAhead,199901PD00283,1999,London,25
GoingAhead,199901PD00330,1999,London,16
GoingAhead,199901PD00393,1999,London,9
GoingAhead,199901PD00403,1999,London,5
