Scenario,urn,accyr,LAName,Age
GoingAheadCrossroads,199901AB00021,1999,London,
GoingAheadCrossroads,199901AB00048,1999,London,38
GoingAheadCrossroads,199901AB00092,1999,London,46
GoingAheadCrossroads,199901AB00139,1999,London,23
GoingAheadCrossroads,199901AB00267,1999,London,29
GoingAheadCrossroads,199901AB00296,1999,London,27
GoingAheadCrossroads,199901BS00261,1999,London,21
GoingAheadCrossroads,199901BS00347,1999,London,58
GoingAheadCrossroads,199901BS00357,1999,London,29
GoingAheadCrossroads,199901BS00358,1999,London,25
GoingAheadCrossroads,199901BS00450,1999,London,16
GoingAheadCrossroads,199901BS00455,1999,London,
GoingAheadCrossroads,199901BS00572,1999,London,38
GoingAheadCrossroads,199901BS00603,1999,London,10
GoingAheadCrossroads,199901BS00653,1999,London,16
GoingAheadCrossroads,199901BS00667,1999,London,32
GoingAheadCrossroads,199901BS00850,1999,London,38
GoingAheadCrossroads,199901CD00067,1999,London,32
GoingAheadCrossroads,199901CD00179,1999,London,
GoingAheadCrossroads,199901CD00249,1999,London,32
GoingAheadCrossroads,199901CP00061,1999,London,28
GoingAheadCrossroads,199901CP00260,1999,London,32
GoingAheadCrossroads,199901DM00338,1999,London,48
GoingAheadCrossroads,199901DM00368,1999,London,12
GoingAheadCrossroads,199901DM00417,1999,London,49
GoingAheadCrossroads,199901DM00434,1999,London,24
GoingAheadCrossroads,199901DM00463,1999,London,36
GoingAheadCrossroads,199901DM00465,1999,London,34
GoingAheadCrossroads,199901DM00903,1999,London,35
GoingAheadCrossroads,199901DM00914,1999,London,28
GoingAheadCrossroads,199901DM00921,1999,London,44
GoingAheadCrossroads,199901DM01000,1999,London,48
GoingAheadCrossroads,199901DP00292,1999,London,19
GoingAheadCrossroads,199901EH00167,1999,London,21
GoingAheadCrossroads,199901EH00228,1999,London,35
GoingAheadCrossroads,199901EH00242,1999,London,24
GoingAheadCrossroads,199901EH00255,1999,London,23
GoingAheadCrossroads,199901EH00268,1999,London,31
GoingAheadCrossroads,199901EK00223,1999,London,39
GoingAheadCrossroads,199901EK00301,1999,London,24
GoingAheadCrossroads,199901EK00386,1999,London,22
GoingAheadCrossroads,199901EK00476,1999,London,35
GoingAheadCrossroads,199901EK00477,1999,London,20
GoingAheadCrossroads,199901EK00501,1999,London,28
GoingAheadCrossroads,199901FF00028,1999,London,25
GoingAheadCrossroads,199901FH00167,1999,London,31
GoingAheadCrossroads,199901FH00282,1999,London,21
GoingAheadCrossroads,199901FH00504,1999,London,51
GoingAheadCrossroads,199901FH00621,1999,London,25
GoingAheadCrossroads,199901FH00731,1999,London,41
GoingAheadCrossroads,199901FH00751,1999,London,31
GoingAheadCrossroads,199901GD00256,1999,London,27
GoingAheadCrossroads,199901GD00266,1999,London,55
GoingAheadCrossroads,199901GD00379,1999,London,29
GoingAheadCrossroads,199901GD00510,1999,London,15
GoingAheadCrossroads,199901GD00665,1999,London,33
GoingAheadCrossroads,199901GN00098,1999,London,19
GoingAheadCrossroads,199901GN00394,1999,London,24
GoingAheadCrossroads,199901GN00411,1999,London,35
GoingAheadCrossroads,199901GN00466,1999,London,18
GoingAheadCrossroads,199901GN00576,1999,London,29
GoingAheadCrossroads,199901GN00603,1999,London,31
GoingAheadCrossroads,199901GN00629,1999,London,26
GoingAheadCrossroads,199901HT00473,1999,London,37
GoingAheadCrossroads,199901HT00512,1999,London,37
GoingAheadCrossroads,199901HT00845,1999,London,12
GoingAheadCrossroads,199901HT00920,1999,London,13
GoingAheadCrossroads,199901HT00940,1999,London,30
GoingAheadCrossroads,199901HT01053,1999,London,27
GoingAheadCrossroads,199901HT02013,1999,London,43
GoingAheadCrossroads,199901JB00120,1999,London,17
GoingAheadCrossroads,199901JB00471,1999,London,12
GoingAheadCrossroads,199901JC00046,1999,London,33
GoingAheadCrossroads,199901JC00215,1999,London,8
GoingAheadCrossroads,199901JC00309,1999,London,36
GoingAheadCrossroads,199901JC00365,1999,London,56
GoingAheadCrossroads,199901JC00802,1999,London,7
GoingAheadCrossroads,199901JI00006,1999,London,15
GoingAheadCrossroads,199901JI00179,1999,London,13
GoingAheadCrossroads,199901JI00396,1999,London,6
GoingAheadCrossroads,199901JI00653,1999,London,13
GoingAheadCrossroads,199901JI00676,1999,London,12
GoingAheadCrossroads,199901JI00683,1999,London,16
GoingAheadCrossroads,199901JI00729,1999,London,18
GoingAheadCrossroads,199901JL00112,1999,London,18
GoingAheadCrossroads,199901JL00183,1999,London,33
GoingAheadCrossroads,199901JL00228,1999,London,26
GoingAheadCrossroads,199901KD00431,1999,London,8
GoingAheadCrossroads,199901KD00521,1999,London,9
GoingAheadCrossroads,199901KD00670,1999,London,
GoingAheadCrossroads,199901KD00675,1999,London,16
GoingAheadCrossroads,199901KD00798,1999,London,12
GoingAheadCrossroads,199901KD01051,1999,London,15
GoingAheadCrossroads,199901KF00084,1999,London,49
GoingAheadCrossroads,199901KF00553,1999,London,20
GoingAheadCrossroads,199901KG00318,1999,London,16
GoingAheadCrossroads,199901KG00579,1999,London,11
GoingAheadCrossroads,199901KG00789,1999,London,
GoingAheadCrossroads,199901KO00102,1999,London,23
GoingAheadCrossroads,199901KO00246,1999,London,12
GoingAheadCrossroads,199901KO00348,1999,London,6
GoingAheadCrossroads,199901LD00063,1999,London,16
GoingAheadCrossroads,199901LD00244,1999,London,39
GoingAheadCrossroads,199901LD00359,1999,London,11
GoingAheadCrossroads,199901LD00373,1999,London,30
GoingAheadCrossroads,199901LS00296,1999,London,30
GoingAheadCrossroads,199901LS00300,1999,London,10
GoingAheadCrossroads,199901LS00326,1999,London,9
GoingAheadCrossroads,199901LX00484,1999,London,44
GoingAheadCrossroads,199901LX00512,1999,London,33
GoingAheadCrossroads,199901LX00710,1999,London,21
GoingAheadCrossroads,199901LX00761,1999,London,43
GoingAheadCrossroads,199901MD00031,1999,London,31
GoingAheadCrossroads,199901MD00089,1999,London,37
GoingAheadCrossroads,199901MD00399,1999,London,39
GoingAheadCrossroads,199901MD00436,1999,London,37
GoingAheadCrossroads,199901MD00657,1999,London,43
GoingAheadCrossroads,199901MM00040,1999,London,54
GoingAheadCrossroads,199901MM00172,1999,London,20
GoingAheadCrossroads,199901MM00192,1999,London,26
GoingAheadCrossroads,199901MM00214,1999,London,15
GoingAheadCrossroads,199901MM00234,1999,London,27
GoingAheadCrossroads,199901MM00242,1999,London,28
GoingAheadCrossroads,199901MM00272,1999,London,32
GoingAheadCrossroads,199901MM00297,1999,London,
GoingAheadCrossroads,199901MM00490,1999,London,10
GoingAheadCrossroads,199901MM00514,1999,London,
GoingAheadCrossroads,199901MS00188,1999,London,11
GoingAheadCrossroads,199901MS00249,1999,London,39
GoingAheadCrossroads,199901NH00098,1999,London,38
GoingAheadCrossroads,199901NH00257,1999,London,
GoingAheadCrossroads,199901NH00268,1999,London,14
GoingAheadCrossroads,199901NI00033,1999,London,47
GoingAheadCrossroads,199901NI00044,1999,London,44
GoingAheadCrossroads,199901NI00052,1999,London,30
GoingAheadCrossroads,199901NI00144,1999,London,35
GoingAheadCrossroads,199901NI00204,1999,London,36
GoingAheadCrossroads,199901NI00282,1999,London,26
GoingAheadCrossroads,199901NI00343,1999,London,34
GoingAheadCrossroads,199901NI00390,1999,London,32
GoingAheadCrossroads,199901NI00442,1999,London,28
GoingAheadCrossroads,199901NI00450,1999,London,21
GoingAheadCrossroads,199901NI00497,1999,London,20
GoingAheadCrossroads,199901NI00551,1999,London,28
GoingAheadCrossroads,199901NI00636,1999,London,36
GoingAheadCrossroads,199901NI00679,1999,London,35
GoingAheadCrossroads,199901NI00704,1999,London,32
GoingAheadCrossroads,199901NI00751,1999,London,42
GoingAheadCrossroads,199901NI00879,1999,London,30
GoingAheadCrossroads,199901PD00063,1999,London,13
GoingAheadCrossroads,199901PD00298,1999,London,11
GoingAheadCrossroads,199901PD00487,1999,London,44
GoingAheadCrossroads,199901PL00691,1999,London,13
GoingAheadCrossroads,199901PL00761,1999,London,54
GoingAheadCrossroads,199901PY01084,1999,London,13
GoingAheadCrossroads,199901PY01223,1999,London,28
GoingAheadCrossroads,199901PY01428,1999,London,9
GoingAheadCrossroads,199901PY01614,1999,London,10
GoingAheadCrossroads,199901QA00098,1999,London,27
GoingAheadCrossroads,199901QA00171,1999,London,20
GoingAheadCrossroads,199901QA00481,1999,London,12
GoingAheadCrossroads,199901QK00299,1999,London,21
GoingAheadCrossroads,199901RA00150,1999,London,20
GoingAheadCrossroads,199901RA00153,1999,London,11
GoingAheadCrossroads,199901RG00624,1999,London,16
GoingAheadCrossroads,199901RG00767,1999,London,6
GoingAheadCrossroads,199901RG00946,1999,London,23
GoingAheadCrossroads,199901RY00342,1999,London,6
GoingAheadCrossroads,199901SA00097,1999,Hertfordshire,44
GoingAheadCrossroads,199901SC00317,1999,London,29
GoingAheadCrossroads,199901SC00803,1999,London,8
GoingAheadCrossroads,199901SC00861,1999,London,29
GoingAheadCrossroads,199901SC01076,1999,London,53
GoingAheadCrossroads,199901SC01175,1999,London,25
