Scenario,urn,accyr,LAName,Age
GoingAheadOtherJunction,199901AB00062,1999,London,21
GoingAheadOtherJunction,199901BS00340,1999,London,35
GoingAheadOtherJunction,199901CP00469,1999,London,22
GoingAheadOtherJunction,199901DM00605,1999,London,47
GoingAheadOtherJunction,199901DM00803,1999,London,16
GoingAheadOtherJunction,199901DP00406,1999,London,31
GoingAheadOtherJunction,199901DP00420,1999,London,31
GoingAheadOtherJunction,199901FH00513,1999,London,61
GoingAheadOtherJunction,199901GN00512,1999,London,12
GoingAheadOtherJunction,199901HT00065,1999,London,
GoingAheadOtherJunction,199901KD00608,1999,London,
GoingAheadOtherJunction,199901MD00248,1999,London,33
GoingAheadOtherJunction,199901MM00158,1999,London,7
GoingAheadOtherJunction,199901MS09120,1999,London,28
GoingAheadOtherJunction,199901NH00224,1999,London,
GoingAheadOtherJunction,199901NH00279,1999,London,30
GoingAheadOtherJunction,199901PY01010,1999,London,38
GoingAheadOtherJunction,199901RY00383,1999,London,13
GoingAheadOtherJunction,199901SA00455,1999,Hertfordshire,13
GoingAheadOtherJunction,199901SC00464,1999,London,32
GoingAheadOtherJunction,199901TG00099,1999,Surrey,10
GoingAheadOtherJunction,199901TW00409,1999,London,
GoingAheadOtherJunction,199901VW00607,1999,London,12
GoingAheadOtherJunction,199901WA00129,1999,London,6
GoingAheadOtherJunction,199901XD00118,1999,London,30
GoingAheadOtherJunction,199901YF00044,1999,London,26
GoingAheadOtherJunction,199901YR00345,1999,London,14
GoingAheadOtherJunction,199901YR00542,1999,London,11
GoingAheadOtherJunction,199901ZN00482,1999,London,13
GoingAheadOtherJunction,199901ZN00575,1999,London,14
GoingAheadOtherJunction,1.99903E+12,1999,Cumbria,8
GoingAheadOtherJunction,199904A035699,1999,Lancashire,66
GoingAheadOtherJunction,199904A044399,1999,Blackpool,11
GoingAheadOtherJunction,199904A068099,1999,Blackpool,14
GoingAheadOtherJunction,199904B039399,1999,Lancashire,7
GoingAheadOtherJunction,199904D022799,1999,Lancashire,7
GoingAheadOtherJunction,199904E051799,1999,Blackburn with Darwen,
GoingAheadOtherJunction,199904F030299,1999,Lancashire,14
GoingAheadOtherJunction,199904F037299,1999,Lancashire,5
GoingAheadOtherJunction,199904F053199,1999,Lancashire,11
GoingAheadOtherJunction,1.99905E+12,1999,Merseyside,9
GoingAheadOtherJunction,1.99905E+12,1999,Merseyside,11
GoingAheadOtherJunction,199906J004828,1999,Stockport,8
GoingAheadOtherJunction,199906L006576,1999,Wigan,35
GoingAheadOtherJunction,1999079A40278,1999,Cheshire West and Chester,7
GoingAheadOtherJunction,1999079B20372,1999,Warrington,14
GoingAheadOtherJunction,1999079C20777,1999,Cheshire West and Chester,6
GoingAheadOtherJunction,199910C071299,1999,Northumberland,35
GoingAheadOtherJunction,199910C402799,1999,Northumberland,31
GoingAheadOtherJunction,199910O318799,1999,South Tyneside,15
GoingAheadOtherJunction,1.99912E+12,1999,North Yorkshire,5
GoingAheadOtherJunction,1.99912E+12,1999,York,17
GoingAheadOtherJunction,1.99912E+12,1999,North Yorkshire,10
GoingAheadOtherJunction,1.99912E+12,1999,North Yorkshire,40
GoingAheadOtherJunction,199913AC10999,1999,Leeds,15
GoingAheadOtherJunction,199913BB18799,1999,Leeds,5
GoingAheadOtherJunction,199913BB19199,1999,Leeds,18
GoingAheadOtherJunction,199913CA23299,1999,Leeds,6
GoingAheadOtherJunction,199913CB24699,1999,Leeds,10
GoingAheadOtherJunction,199913DA36199,1999,Wakefield,9
GoingAheadOtherJunction,199913GC28199,1999,Bradford,13
GoingAheadOtherJunction,199913GC34699,1999,Bradford,8
GoingAheadOtherJunction,199913HA20899,1999,Bradford,11
GoingAheadOtherJunction,199914AA00328,1999,Doncaster,47
GoingAheadOtherJunction,199914AA00402,1999,Doncaster,7
GoingAheadOtherJunction,199914AA00586,1999,Doncaster,4
GoingAheadOtherJunction,199914AA00770,1999,Doncaster,76
GoingAheadOtherJunction,199914BB00532,1999,Doncaster,
GoingAheadOtherJunction,199914BB00554,1999,Doncaster,10
GoingAheadOtherJunction,199914BB00603,1999,Doncaster,13
GoingAheadOtherJunction,199914CC00250,1999,Doncaster,9
GoingAheadOtherJunction,199914DD00252,1999,Barnsley,
GoingAheadOtherJunction,199914FF00011,1999,Rotherham,10
GoingAheadOtherJunction,199914HH01024,1999,Sheffield,14
GoingAheadOtherJunction,199914KK00173,1999,Sheffield,34
GoingAheadOtherJunction,199916C038599,1999,East Riding of Yorkshire,9
GoingAheadOtherJunction,199916C042899,1999,East Riding of Yorkshire,11
GoingAheadOtherJunction,199916C051699,1999,East Riding of Yorkshire,28
GoingAheadOtherJunction,199916C056199,1999,East Riding of Yorkshire,12
GoingAheadOtherJunction,199917H100129,1999,Hartlepool,8
GoingAheadOtherJunction,199917H100224,1999,Hartlepool,18
GoingAheadOtherJunction,199917L100147,1999,Redcar and Cleveland,7
GoingAheadOtherJunction,199917L200089,1999,Redcar and Cleveland,13
GoingAheadOtherJunction,199917M100281,1999,Middlesbrough,15
GoingAheadOtherJunction,199917S100276,1999,Stockton on Tees,4
GoingAheadOtherJunction,199917S200257,1999,Stockton on Tees,34
GoingAheadOtherJunction,199920D264001,1999,Birmingham,16
GoingAheadOtherJunction,199920E123201,1999,Birmingham,13
GoingAheadOtherJunction,199920E189901,1999,Birmingham,7
GoingAheadOtherJunction,199920H045602,1999,Walsall,8
GoingAheadOtherJunction,199920H073002,1999,Walsall,4
GoingAheadOtherJunction,199920H092302,1999,Walsall,9
GoingAheadOtherJunction,199920L019101,1999,Solihull,57
GoingAheadOtherJunction,199920M138401,1999,Coventry,9
GoingAheadOtherJunction,1.99922E+12,1999,Stoke on Trent,36
GoingAheadOtherJunction,1.99922E+12,1999,Staffordshire,7
GoingAheadOtherJunction,1.99922E+12,1999,Staffordshire,9
GoingAheadOtherJunction,199922CG10232,1999,Worcestershire,8
GoingAheadOtherJunction,199922CJ03137,1999,Worcestershire,9
GoingAheadOtherJunction,199922CV01284,1999,Worcestershire,19
GoingAheadOtherJunction,199922CW02872,1999,Worcestershire,10
GoingAheadOtherJunction,199922EA11290,1999,Herefordshire,25
GoingAheadOtherJunction,199922GB10450,1999,Telford and Wrekin,13
GoingAheadOtherJunction,199930A000393,1999,Derbyshire,10
GoingAheadOtherJunction,199930B000727,1999,Derbyshire,17
GoingAheadOtherJunction,1999317A20508,1999,Nottinghamshire,13
GoingAheadOtherJunction,1999317C20041,1999,Nottinghamshire,31
GoingAheadOtherJunction,1999317C21138,1999,Nottinghamshire,14
GoingAheadOtherJunction,1999317C40742,1999,Nottingham,34
GoingAheadOtherJunction,1999317D40299,1999,Nottinghamshire,20
GoingAheadOtherJunction,1999317D41780,1999,Nottingham,11
GoingAheadOtherJunction,1999317E20063,1999,Nottinghamshire,13
GoingAheadOtherJunction,199932C004559,1999,Lincolnshire,11
GoingAheadOtherJunction,199932C005739,1999,Lincolnshire,13
GoingAheadOtherJunction,199932D003109,1999,Lincolnshire,20
GoingAheadOtherJunction,1.99935E+12,1999,Cambridgeshire,37
GoingAheadOtherJunction,1.99935E+12,1999,Peterborough,9
GoingAheadOtherJunction,1.99935E+12,1999,Cambridgeshire,51
GoingAheadOtherJunction,199936N990788,1999,Norfolk,33
GoingAheadOtherJunction,199936N990826,1999,Norfolk,12
GoingAheadOtherJunction,199936T990508,1999,Norfolk,50
GoingAheadOtherJunction,199937B006310,1999,Suffolk,13
GoingAheadOtherJunction,199937L003449,1999,Suffolk,10
GoingAheadOtherJunction,199940B308999,1999,Bedford Borough Council,18
GoingAheadOtherJunction,199940C081399,1999,Luton,20
GoingAheadOtherJunction,19994100C0091,1999,Hertfordshire,18
GoingAheadOtherJunction,19994100F0336,1999,Hertfordshire,13
GoingAheadOtherJunction,19994200A0280,1999,Essex,14
GoingAheadOtherJunction,19994200C0512,1999,Essex,
GoingAheadOtherJunction,19994200C0616,1999,Essex,10
GoingAheadOtherJunction,2.00E+121,1999,Essex,17
GoingAheadOtherJunction,19994200E0510,1999,Essex,10
GoingAheadOtherJunction,19994200F0003,1999,Thurrock,12
GoingAheadOtherJunction,19994200F0323,1999,Thurrock,9
GoingAheadOtherJunction,19994200G0521,1999,Essex,10
GoingAheadOtherJunction,19994200G0695,1999,Essex,16
GoingAheadOtherJunction,19994200G0753,1999,Essex,
