Scenario,urn,accyr,LAName,Age
GoingAheadPrivate,199901AB00280,1999,London,11
GoingAheadPrivate,199901CD00339,1999,London,34
GoingAheadPrivate,199901DM00527,1999,London,51
GoingAheadPrivate,199901EO00334,1999,London,11
GoingAheadPrivate,199901FH00590,1999,London,4
GoingAheadPrivate,199901GD00384,1999,London,18
GoingAheadPrivate,199901GD00437,1999,London,8
GoingAheadPrivate,199901GN00203,1999,London,20
GoingAheadPrivate,199901GN00467,1999,London,14
GoingAheadPrivate,199901GN00656,1999,London,19
GoingAheadPrivate,199901GN00664,1999,London,
GoingAheadPrivate,199901JL00269,1999,London,14
GoingAheadPrivate,199901KD00361,1999,London,8
GoingAheadPrivate,199901KD00459,1999,London,17
GoingAheadPrivate,199901KD00940,1999,London,14
GoingAheadPrivate,199901KO00285,1999,London,5
GoingAheadPrivate,199901LD00087,1999,London,27
GoingAheadPrivate,199901LD00435,1999,London,20
GoingAheadPrivate,199901LD00448,1999,London,16
GoingAheadPrivate,199901LS00118,1999,London,14
GoingAheadPrivate,199901LS00246,1999,London,19
GoingAheadPrivate,199901LX00482,1999,London,35
GoingAheadPrivate,199901LX00585,1999,London,
GoingAheadPrivate,199901MS00400,1999,London,11
GoingAheadPrivate,199901PD00305,1999,London,13
GoingAheadPrivate,199901QK00069,1999,London,24
GoingAheadPrivate,199901QK00276,1999,London,13
GoingAheadPrivate,199901RG00263,1999,London,15
GoingAheadPrivate,199901RY00033,1999,London,63
GoingAheadPrivate,199901RY00113,1999,London,14
GoingAheadPrivate,199901RY00473,1999,London,16
GoingAheadPrivate,199901RY00530,1999,London,12
GoingAheadPrivate,199901RY00557,1999,London,20
GoingAheadPrivate,199901RY00629,1999,London,10
GoingAheadPrivate,199901SA00123,1999,Hertfordshire,
GoingAheadPrivate,199901SA00294,1999,London,9
GoingAheadPrivate,199901SA00394,1999,Hertfordshire,
GoingAheadPrivate,199901SC00338,1999,London,29
GoingAheadPrivate,199901SC00510,1999,London,6
GoingAheadPrivate,199901SC00660,1999,London,14
GoingAheadPrivate,199901SC00990,1999,London,9
GoingAheadPrivate,199901SC01347,1999,London,10
GoingAheadPrivate,199901TW00457,1999,London,28
GoingAheadPrivate,199901TX00217,1999,London,13
GoingAheadPrivate,199901TX00578,1999,London,12
GoingAheadPrivate,199901TX00657,1999,London,8
GoingAheadPrivate,199901TX00679,1999,London,38
GoingAheadPrivate,199901TX00695,1999,London,13
GoingAheadPrivate,199901TX00719,1999,London,14
GoingAheadPrivate,199901TX00740,1999,London,61
GoingAheadPrivate,199901TX01005,1999,London,18
GoingAheadPrivate,199901TX01182,1999,London,30
GoingAheadPrivate,199901VK00096,1999,London,46
GoingAheadPrivate,199901VK00142,1999,London,47
GoingAheadPrivate,199901VW00206,1999,London,16
GoingAheadPrivate,199901VW00440,1999,London,9
GoingAheadPrivate,199901WA00077,1999,London,10
GoingAheadPrivate,199901WA00144,1999,London,11
GoingAheadPrivate,199901WW00324,1999,London,28
GoingAheadPrivate,199901WW00560,1999,London,19
GoingAheadPrivate,199901WW00968,1999,London,8
GoingAheadPrivate,199901WW01101,1999,London,12
GoingAheadPrivate,199901XD00265,1999,London,27
GoingAheadPrivate,199901XD00515,1999,London,21
GoingAheadPrivate,199901XH00271,1999,London,11
GoingAheadPrivate,199901XH00390,1999,London,6
GoingAheadPrivate,199901YF00484,1999,London,14
GoingAheadPrivate,199901YR00808,1999,London,12
GoingAheadPrivate,199901ZD00315,1999,London,13
GoingAheadPrivate,199901ZD00529,1999,London,11
GoingAheadPrivate,199901ZN00011,1999,London,35
GoingAheadPrivate,199901ZN00300,1999,London,12
GoingAheadPrivate,199901ZN00885,1999,London,
