Scenario,urn,accyr,LAName,Age
GoingAheadT,199901AB00019,1999,London,28
GoingAheadT,199901AB00141,1999,London,31
GoingAheadT,199901AB00142,1999,London,29
GoingAheadT,199901BH00109,1999,London,33
GoingAheadT,199901BH00123,1999,London,28
GoingAheadT,199901BH00164,1999,London,51
GoingAheadT,199901BH00174,1999,London,8
GoingAheadT,199901BH00189,1999,London,7
GoingAheadT,199901BH00190,1999,London,17
GoingAheadT,199901BS00095,1999,London,42
GoingAheadT,199901BS00125,1999,London,40
GoingAheadT,199901BS00388,1999,London,31
GoingAheadT,199901BS00568,1999,London,37
GoingAheadT,199901BS00684,1999,London,36
GoingAheadT,199901BS00723,1999,London,50
GoingAheadT,199901CD00053,1999,London,30
GoingAheadT,199901CP00122,1999,London,
GoingAheadT,199901CP00171,1999,London,
GoingAheadT,199901CP00288,1999,London,31
GoingAheadT,199901CX00044,1999,London,23
GoingAheadT,199901CX00089,1999,London,28
GoingAheadT,199901CX00113,1999,London,29
GoingAheadT,199901CX00275,1999,London,
GoingAheadT,199901CX00279,1999,London,30
GoingAheadT,199901CX00304,1999,London,38
GoingAheadT,199901CX00353,1999,London,24
GoingAheadT,199901DM00181,1999,London,29
GoingAheadT,199901DM00364,1999,London,26
GoingAheadT,199901DM00456,1999,London,27
GoingAheadT,199901DM00696,1999,London,57
GoingAheadT,199901DM00698,1999,London,32
GoingAheadT,199901DM00835,1999,London,48
GoingAheadT,199901DM00976,1999,London,23
GoingAheadT,199901DM01170,1999,London,56
GoingAheadT,199901DP00037,1999,London,38
GoingAheadT,199901DP00071,1999,London,26
GoingAheadT,199901DP00073,1999,London,40
GoingAheadT,199901DP00115,1999,London,26
GoingAheadT,199901DP00117,1999,London,19
GoingAheadT,199901DP00272,1999,London,11
GoingAheadT,199901DP00305,1999,London,22
GoingAheadT,199901DP00333,1999,London,34
GoingAheadT,199901DP00352,1999,London,38
GoingAheadT,199901DP00425,1999,London,34
GoingAheadT,199901EH00038,1999,London,34
GoingAheadT,199901EH00050,1999,London,31
GoingAheadT,199901EH00086,1999,London,20
GoingAheadT,199901EH00218,1999,London,17
GoingAheadT,199901EK00176,1999,London,30
GoingAheadT,199901EK00198,1999,London,33
GoingAheadT,199901EK00201,1999,London,43
GoingAheadT,199901EK00270,1999,London,22
GoingAheadT,199901EK00325,1999,London,12
GoingAheadT,199901EK00350,1999,London,29
GoingAheadT,199901EK00444,1999,London,27
GoingAheadT,199901EK00473,1999,London,17
GoingAheadT,199901EK00604,1999,London,36
GoingAheadT,199901EK00798,1999,London,11
GoingAheadT,199901EK09029,1999,London,28
GoingAheadT,199901EK09055,1999,London,38
GoingAheadT,199901EK09110,1999,London,27
GoingAheadT,199901EO00073,1999,London,41
GoingAheadT,199901EO00140,1999,London,20
GoingAheadT,199901EO00284,1999,London,29
GoingAheadT,199901FH00052,1999,London,8
GoingAheadT,199901FH00079,1999,London,12
GoingAheadT,199901FH00134,1999,London,35
GoingAheadT,199901FH00247,1999,London,10
GoingAheadT,199901FH00303,1999,London,50
GoingAheadT,199901FH00341,1999,London,28
GoingAheadT,199901FH00344,1999,London,24
GoingAheadT,199901FH00350,1999,London,25
GoingAheadT,199901FH00406,1999,London,16
GoingAheadT,199901FH00426,1999,London,9
GoingAheadT,199901FH00461,1999,London,38
GoingAheadT,199901FH00506,1999,London,9
GoingAheadT,199901FH00509,1999,London,38
GoingAheadT,199901FH00515,1999,London,26
GoingAheadT,199901FH00558,1999,London,55
GoingAheadT,199901FH00579,1999,London,23
GoingAheadT,199901FH00600,1999,London,34
GoingAheadT,199901FH00632,1999,London,54
GoingAheadT,199901FH00780,1999,London,28
GoingAheadT,199901FH00862,1999,London,39
GoingAheadT,199901GD00016,1999,London,36
GoingAheadT,199901GD00149,1999,London,30
GoingAheadT,199901GD00325,1999,London,38
GoingAheadT,199901GD00332,1999,London,19
GoingAheadT,199901GD00366,1999,London,18
GoingAheadT,199901GD00376,1999,London,35
GoingAheadT,199901GD00399,1999,London,9
GoingAheadT,199901GD00408,1999,London,10
GoingAheadT,199901GD00527,1999,London,13
GoingAheadT,199901GD00570,1999,London,23
GoingAheadT,199901GD00611,1999,London,9
GoingAheadT,199901GD00618,1999,London,35
GoingAheadT,199901GD00658,1999,London,33
GoingAheadT,199901GN00047,1999,London,17
GoingAheadT,199901GN00135,1999,London,45
GoingAheadT,199901GN00145,1999,London,26
GoingAheadT,199901GN00220,1999,London,12
GoingAheadT,199901GN00363,1999,London,36
GoingAheadT,199901GN00396,1999,London,27
GoingAheadT,199901GN00478,1999,London,
GoingAheadT,199901GN00522,1999,London,19
GoingAheadT,199901GN00559,1999,London,20
GoingAheadT,199901GN00619,1999,London,21
GoingAheadT,199901HT00018,1999,London,29
GoingAheadT,199901HT00034,1999,London,22
GoingAheadT,199901HT00226,1999,London,60
GoingAheadT,199901HT00275,1999,London,19
GoingAheadT,199901HT00653,1999,London,7
GoingAheadT,199901HT00668,1999,London,47
GoingAheadT,199901HT00731,1999,London,32
GoingAheadT,199901HT00898,1999,London,17
GoingAheadT,199901HT00900,1999,London,63
GoingAheadT,199901HT01015,1999,London,11
GoingAheadT,199901HT02009,1999,London,28
GoingAheadT,199901HT02022,1999,London,28
GoingAheadT,199901HT02104,1999,London,39
GoingAheadT,199901JB00220,1999,London,10
GoingAheadT,199901JB00681,1999,London,39
GoingAheadT,199901JB00733,1999,London,55
GoingAheadT,199901JC00105,1999,London,22
GoingAheadT,199901JC00175,1999,London,37
GoingAheadT,199901JC00222,1999,London,9
GoingAheadT,199901JC00258,1999,London,58
GoingAheadT,199901JC00322,1999,London,12
GoingAheadT,199901JC00351,1999,London,28
GoingAheadT,199901JC00436,1999,London,41
GoingAheadT,199901JC00489,1999,London,22
GoingAheadT,199901JC00568,1999,London,22
GoingAheadT,199901JI00046,1999,London,27
GoingAheadT,199901JI00069,1999,London,13
GoingAheadT,199901JI00104,1999,London,17
GoingAheadT,199901JI00268,1999,London,39
GoingAheadT,199901JI00270,1999,London,30
GoingAheadT,199901JI00368,1999,London,8
GoingAheadT,199901JI00389,1999,London,
GoingAheadT,199901JI00456,1999,London,
GoingAheadT,199901JI00783,1999,London,22
GoingAheadT,199901JL00080,1999,London,32
GoingAheadT,199901JL00136,1999,London,35
GoingAheadT,199901JL00138,1999,London,73
GoingAheadT,199901JL00175,1999,London,30
GoingAheadT,199901JL00268,1999,London,5
GoingAheadT,199901KD00105,1999,London,35
GoingAheadT,199901KD00108,1999,London,27
GoingAheadT,199901KD00175,1999,London,18
GoingAheadT,199901KD00278,1999,London,48
GoingAheadT,199901KD00290,1999,London,15
GoingAheadT,199901KD00319,1999,London,
GoingAheadT,199901KD00387,1999,London,44
GoingAheadT,199901KD00391,1999,London,
GoingAheadT,199901KD00397,1999,London,14
GoingAheadT,199901KD00406,1999,London,11
GoingAheadT,199901KD00437,1999,London,11
GoingAheadT,199901KD00719,1999,London,16
GoingAheadT,199901KD00777,1999,London,
GoingAheadT,199901KD00849,1999,London,
GoingAheadT,199901KD01050,1999,London,9
GoingAheadT,199901KF00039,1999,London,35
GoingAheadT,199901KF00124,1999,London,57
GoingAheadT,199901KF00140,1999,London,41
GoingAheadT,199901KF00144,1999,London,31
GoingAheadT,199901KF00210,1999,London,24
GoingAheadT,199901KF00233,1999,London,28
GoingAheadT,199901KF00356,1999,London,37
GoingAheadT,199901KF00370,1999,London,6
GoingAheadT,199901KG00156,1999,London,16
GoingAheadT,199901KG00222,1999,London,9
GoingAheadT,199901KG00279,1999,London,8
GoingAheadT,199901KG00304,1999,London,34
GoingAheadT,199901KG00368,1999,London,8
GoingAheadT,199901KG00412,1999,London,10
GoingAheadT,199901KG00495,1999,London,10
GoingAheadT,199901KG00497,1999,London,7
GoingAheadT,199901KG00500,1999,London,6
GoingAheadT,199901KO00042,1999,London,30
GoingAheadT,199901KO00351,1999,London,7
GoingAheadT,199901KO00377,1999,London,34
GoingAheadT,199901KO00399,1999,London,9
GoingAheadT,199901KO00457,1999,London,10
GoingAheadT,199901KO00540,1999,London,15
GoingAheadT,199901KO00581,1999,London,60
GoingAheadT,199901LD00196,1999,London,26
GoingAheadT,199901LD00264,1999,London,25
GoingAheadT,199901LD00270,1999,London,30
GoingAheadT,199901LD00317,1999,London,30
