Scenario,urn,accyr,LAName,Age
LeavingLeftCar,199901BH00213,1999,London,29
LeavingLeftCar,199901BS00089,1999,London,36
LeavingLeftCar,199901BS00270,1999,London,36
LeavingLeftCar,199901BS00454,1999,London,48
LeavingLeftCar,199901CD00295,1999,London,29
LeavingLeftCar,199901DM00358,1999,London,34
LeavingLeftCar,199901EH00041,1999,London,33
LeavingLeftCar,199901EK00146,1999,London,24
LeavingLeftCar,199901EK00149,1999,London,30
LeavingLeftCar,199901EK00480,1999,London,24
LeavingLeftCar,199901FH00185,1999,London,60
LeavingLeftCar,199901FH00218,1999,London,25
LeavingLeftCar,199901FH00553,1999,London,30
LeavingLeftCar,199901GN00582,1999,London,
LeavingLeftCar,199901GN00605,1999,London,42
LeavingLeftCar,199901HT00903,1999,London,33
LeavingLeftCar,199901KF00237,1999,London,17
LeavingLeftCar,199901KG00050,1999,London,21
LeavingLeftCar,199901LS00232,1999,London,25
LeavingLeftCar,199901LS00280,1999,London,25
LeavingLeftCar,199901LX00328,1999,London,25
LeavingLeftCar,199901LX00455,1999,London,42
LeavingLeftCar,199901LX00729,1999,London,26
LeavingLeftCar,199901MD00213,1999,London,33
LeavingLeftCar,199901MM00313,1999,London,46
LeavingLeftCar,199901NH00274,1999,London,39
LeavingLeftCar,199901NI00472,1999,London,28
LeavingLeftCar,199901NI00566,1999,London,29
LeavingLeftCar,199901NI09073,1999,London,36
LeavingLeftCar,199901QA00509,1999,London,32
LeavingLeftCar,199901TX00686,1999,London,44
LeavingLeftCar,199901TX00760,1999,London,
LeavingLeftCar,199901VW00095,1999,London,25
LeavingLeftCar,199901XS00323,1999,London,36
LeavingLeftCar,199901YF00285,1999,London,52
LeavingLeftCar,199901YR00585,1999,London,28
LeavingLeftCar,199901ZN00210,1999,London,23
LeavingLeftCar,199901ZP00632,1999,Surrey,23
LeavingLeftCar,199901ZP01076,1999,London,28
LeavingLeftCar,1.99903E+12,1999,Cumbria,15
LeavingLeftCar,199904A056799,1999,Blackpool,17
LeavingLeftCar,199904B062899,1999,Lancashire,16
LeavingLeftCar,199904B069499,1999,Lancashire,20
LeavingLeftCar,199904B072999,1999,Lancashire,16
LeavingLeftCar,199904D053899,1999,Lancashire,47
LeavingLeftCar,199904E108299,1999,Blackburn with Darwen,22
LeavingLeftCar,1.99905E+12,1999,Merseyside,37
LeavingLeftCar,1.99905E+12,1999,Merseyside,50
LeavingLeftCar,1.99905E+12,1999,Merseyside,12
LeavingLeftCar,1.99905E+12,1999,Merseyside,52
LeavingLeftCar,199906C007012,1999,Manchester,25
LeavingLeftCar,199906C007109,1999,Manchester,22
LeavingLeftCar,199906C008084,1999,Manchester,39
LeavingLeftCar,199906C008088,1999,Manchester,34
LeavingLeftCar,199906C008898,1999,Manchester,20
LeavingLeftCar,199906F005299,1999,Salford,38
LeavingLeftCar,199906G003638,1999,Tameside,13
LeavingLeftCar,199906L005066,1999,Wigan,43
LeavingLeftCar,199906L476699,1999,Wigan,28
LeavingLeftCar,199906M004598,1999,Trafford,27
LeavingLeftCar,199906M004721,1999,Trafford,33
LeavingLeftCar,1999079A40496,1999,Cheshire West and Chester,48
LeavingLeftCar,199910F416099,1999,Newcastle upon Tyne,33
LeavingLeftCar,1.99912E+12,1999,York,55
LeavingLeftCar,199913AA38499,1999,Leeds,35
LeavingLeftCar,199913FA22199,1999,Calderdale,11
LeavingLeftCar,199913GC21799,1999,Bradford,3
LeavingLeftCar,199914AA00345,1999,Doncaster,51
LeavingLeftCar,199916B054799,1999,North Lincolnshire,12
LeavingLeftCar,199916C003499,1999,East Riding of Yorkshire,35
LeavingLeftCar,199916D032699,1999,Kingston Upon Hull,29
LeavingLeftCar,199916D033299,1999,Kingston Upon Hull,41
LeavingLeftCar,199916D051999,1999,Kingston Upon Hull,38
LeavingLeftCar,199916F013399,1999,Kingston Upon Hull,19
LeavingLeftCar,199916F013899,1999,Kingston Upon Hull,35
LeavingLeftCar,199916F039099,1999,Kingston Upon Hull,16
LeavingLeftCar,199917M200055,1999,Middlesbrough,63
LeavingLeftCar,199917S100128,1999,Stockton on Tees,65
LeavingLeftCar,199917S100370,1999,Stockton on Tees,15
LeavingLeftCar,199920D234701,1999,Birmingham,39
LeavingLeftCar,199920D248601,1999,Birmingham,24
LeavingLeftCar,199920F251601,1999,Birmingham,14
LeavingLeftCar,199920F281801,1999,Birmingham,60
LeavingLeftCar,199920F324601,1999,Birmingham,10
LeavingLeftCar,199920G022801,1999,Wolverhampton,20
LeavingLeftCar,199920M058001,1999,Coventry,79
LeavingLeftCar,199920M107801,1999,Coventry,25
LeavingLeftCar,199920M172201,1999,Coventry,13
LeavingLeftCar,1.99922E+12,1999,Staffordshire,21
LeavingLeftCar,199922EK00654,1999,Herefordshire,24
LeavingLeftCar,1.99924E+12,1999,Warwickshire,17
LeavingLeftCar,1999317A80912,1999,Nottinghamshire,72
LeavingLeftCar,1999317B42236,1999,Nottingham,44
LeavingLeftCar,1999317C20197,1999,Nottingham,29
LeavingLeftCar,1.99934E+12,1999,Leicestershire,59
LeavingLeftCar,1.99934E+12,1999,Leicestershire,70
LeavingLeftCar,1.99934E+12,1999,Leicestershire,32
LeavingLeftCar,1.99934E+12,1999,Leicestershire,
LeavingLeftCar,1.99934E+12,1999,Leicestershire,58
LeavingLeftCar,1.99934E+12,1999,Leicestershire,17
LeavingLeftCar,1.99934E+12,1999,Leicestershire,22
LeavingLeftCar,1.99934E+12,1999,Leicestershire,28
LeavingLeftCar,1.99935E+12,1999,Cambridgeshire,12
LeavingLeftCar,1.99935E+12,1999,Cambridgeshire,43
LeavingLeftCar,199936N991882,1999,Norfolk,19
LeavingLeftCar,199940C179599,1999,Luton,52
LeavingLeftCar,19994100C0183,1999,Hertfordshire,19
LeavingLeftCar,19994200C0065,1999,Essex,20
LeavingLeftCar,199943R308019,1999,Slough,77
LeavingLeftCar,1999440DW0295,1999,Hampshire,73
LeavingLeftCar,1999440SP0234,1999,Southampton ,23
LeavingLeftCar,1999440YS0675,1999,Southampton ,49
LeavingLeftCar,199946ME00965,1999,Medway,10
LeavingLeftCar,199946SW01524,1999,Kent,13
LeavingLeftCar,199947H001929,1999,West Sussex,24
LeavingLeftCar,199947X002770,1999,West Sussex,12
LeavingLeftCar,199947Y001655,1999,West Sussex,12
LeavingLeftCar,1.99952E+12,1999,Somerset,49
LeavingLeftCar,1.99952E+12,1999,City of Bristol,30
LeavingLeftCar,1999530AI1256,1999,Gloucestershire,19
LeavingLeftCar,1999550B03073,1999,Bournemouth,68
LeavingLeftCar,200001DM00271,2000,London,54
LeavingLeftCar,200001DM01578,2000,London,30
LeavingLeftCar,200001DM01599,2000,London,36
LeavingLeftCar,200001DM02065,2000,London,27
LeavingLeftCar,200001DM02083,2000,London,30
LeavingLeftCar,200001DM02548,2000,London,30
LeavingLeftCar,200001EK00215,2000,London,35
LeavingLeftCar,200001EK00341,2000,London,38
LeavingLeftCar,200001EK00412,2000,London,30
LeavingLeftCar,200001EK00574,2000,London,58
LeavingLeftCar,200001EK01489,2000,London,39
LeavingLeftCar,200001GD00198,2000,London,33
LeavingLeftCar,200001GN00561,2000,London,29
LeavingLeftCar,200001HT00185,2000,London,35
LeavingLeftCar,200001HT00263,2000,London,40
LeavingLeftCar,200001HT01247,2000,London,19
LeavingLeftCar,200001JC00566,2000,London,31
LeavingLeftCar,200001JC00812,2000,London,
LeavingLeftCar,200001JI00681,2000,London,27
LeavingLeftCar,200001KD00569,2000,London,37
LeavingLeftCar,200001LX00100,2000,London,39
LeavingLeftCar,200001LX00212,2000,London,34
LeavingLeftCar,200001LX00999,2000,London,35
LeavingLeftCar,200001LX01462,2000,London,33
LeavingLeftCar,200001MM00193,2000,London,33
LeavingLeftCar,200001NI00577,2000,London,24
LeavingLeftCar,200001NI00746,2000,London,29
LeavingLeftCar,200001NI00821,2000,London,24
LeavingLeftCar,200001NI01322,2000,London,40
LeavingLeftCar,200001PL00025,2000,London,
LeavingLeftCar,200001PL00628,2000,London,33
LeavingLeftCar,200001PL00820,2000,London,13
LeavingLeftCar,200001PL01203,2000,London,38
LeavingLeftCar,200001PY00177,2000,London,27
LeavingLeftCar,200001QK00151,2000,London,54
LeavingLeftCar,200001TX00588,2000,London,
LeavingLeftCar,200001TX00805,2000,London,35
LeavingLeftCar,200001TX00842,2000,London,29
LeavingLeftCar,200001TX01282,2000,London,14
LeavingLeftCar,200001VW00152,2000,London,19
LeavingLeftCar,200001WW00643,2000,London,27
LeavingLeftCar,200001WW00708,2000,London,23
LeavingLeftCar,200001WW01474,2000,London,36
LeavingLeftCar,200001XS00456,2000,London,28
LeavingLeftCar,200001XS00554,2000,London,37
LeavingLeftCar,200001XS00774,2000,London,27
LeavingLeftCar,200001YR00012,2000,London,38
LeavingLeftCar,200001YR00553,2000,London,33
LeavingLeftCar,200004B008800,2000,Lancashire,20
LeavingLeftCar,200004B010500,2000,Lancashire,50
LeavingLeftCar,2.00005E+12,2000,Merseyside,20
LeavingLeftCar,2.00005E+12,2000,Merseyside,57
LeavingLeftCar,2.00005E+12,2000,Merseyside,22
LeavingLeftCar,2.00005E+12,2000,Merseyside,17
LeavingLeftCar,200006A006515,2000,Manchester,32
LeavingLeftCar,200006A006895,2000,Manchester,14
LeavingLeftCar,200006C010260,2000,Manchester,20
LeavingLeftCar,200006C011439,2000,Manchester,22
LeavingLeftCar,200006C011510,2000,Manchester,32
LeavingLeftCar,200006C011745,2000,Manchester,28
LeavingLeftCar,200006F006206,2000,Salford,52
LeavingLeftCar,200006K008591,2000,Bolton,38
LeavingLeftCar,200006L007188,2000,Wigan,38
LeavingLeftCar,200006M006761,2000,Trafford,48
LeavingLeftCar,200006N004711,2000,Bury,18
LeavingLeftCar,200006P004997,2000,Rochdale,28
LeavingLeftCar,200006Q005901,2000,Oldham,46
LeavingLeftCar,200006Q006442,2000,Oldham,33
LeavingLeftCar,2.00007E+12,2000,Warrington,23
LeavingLeftCar,200010J383900,2000,Gateshead,55
LeavingLeftCar,200010N192800,2000,South Tyneside,36
LeavingLeftCar,2.00013E+12,2000,Bradford,10
LeavingLeftCar,200014KK00776,2000,Sheffield,22
LeavingLeftCar,200016B047700,2000,North Lincolnshire,35
LeavingLeftCar,200016C032800,2000,East Riding of Yorkshire,78
LeavingLeftCar,200016D047800,2000,Kingston Upon Hull,42
LeavingLeftCar,200016D077400,2000,Kingston Upon Hull,23
LeavingLeftCar,200016D087700,2000,Kingston Upon Hull,45
LeavingLeftCar,200016D097200,2000,Kingston Upon Hull,25
LeavingLeftCar,200020D111302,2000,Birmingham,22
LeavingLeftCar,200020D306303,2000,Birmingham,39
LeavingLeftCar,200020F210901,2000,Birmingham,22
LeavingLeftCar,200020J032001,2000,Dudley,35
LeavingLeftCar,2.00021E+12,2000,Stoke on Trent,38
LeavingLeftCar,2.00021E+12,2000,Staffordshire,37
LeavingLeftCar,2000317D21105,2000,Nottingham,58
LeavingLeftCar,2000317D40385,2000,Nottinghamshire,45
LeavingLeftCar,2.00033E+12,2000,Leicestershire,54
LeavingLeftCar,2.00033E+12,2000,Leicestershire,35
LeavingLeftCar,2.00035E+12,2000,Peterborough,23
LeavingLeftCar,20004200E0417,2000,Essex,79
LeavingLeftCar,200043W139050,2000,Slough,38
LeavingLeftCar,200043W219110,2000,Windsor and Maidenhead,18
LeavingLeftCar,200043W466090,2000,Slough,30
LeavingLeftCar,2000440KS0147,2000,Portsmouth,21
LeavingLeftCar,2000440RF0012,2000,Portsmouth,33
LeavingLeftCar,2000440RF0265,2000,Portsmouth,18
LeavingLeftCar,2000440SC0369,2000,Southampton ,33
LeavingLeftCar,2000440SP0391,2000,Southampton ,26
LeavingLeftCar,200045ED00045,2000,Surrey,13
LeavingLeftCar,200046NK24761,2000,Kent,36
LeavingLeftCar,200046SK12662,2000,Kent,18
LeavingLeftCar,200047C007051,2000,Brighton and Hove,50
LeavingLeftCar,200047C129296,2000,Brighton and Hove,46
LeavingLeftCar,200047Y003782,2000,West Sussex,27
LeavingLeftCar,200050E212725,2000,Plymouth,39
LeavingLeftCar,2.00052E+12,2000,South Gloucestershire,13
LeavingLeftCar,2.00052E+12,2000,South Gloucestershire,12
LeavingLeftCar,200052G682096,2000,Somerset,42
LeavingLeftCar,2000530AI0314,2000,Gloucestershire,41
LeavingLeftCar,2000530AI2202,2000,Gloucestershire,72
LeavingLeftCar,2000530AI3413,2000,Gloucestershire,68
LeavingLeftCar,2000550E03853,2000,Dorset,13
LeavingLeftCar,2000550E04805,2000,Dorset,9
LeavingLeftCar,2000550W02858,2000,Dorset,14
LeavingLeftCar,200101BS00342,2001,London,23
LeavingLeftCar,200101BS00373,2001,London,42
LeavingLeftCar,200101BS00507,2001,London,64
LeavingLeftCar,200101BS00709,2001,London,34
LeavingLeftCar,200101BS00869,2001,London,42
LeavingLeftCar,200101CP00042,2001,London,38
LeavingLeftCar,200101CP00301,2001,London,47
LeavingLeftCar,200101DM00113,2001,London,26
LeavingLeftCar,200101DM00456,2001,London,32
LeavingLeftCar,200101DM00947,2001,London,41
LeavingLeftCar,200101DM01339,2001,London,60
LeavingLeftCar,200101DM01385,2001,London,30
LeavingLeftCar,200101DM01515,2001,London,33
LeavingLeftCar,200101EK00836,2001,London,39
LeavingLeftCar,200101FH00232,2001,London,12
LeavingLeftCar,200101GD00114,2001,London,37
LeavingLeftCar,200101GD00175,2001,London,35
LeavingLeftCar,200101JI00233,2001,London,29
LeavingLeftCar,200101JI00748,2001,London,14
LeavingLeftCar,200101KG00334,2001,London,33
LeavingLeftCar,200101LX00782,2001,London,33
LeavingLeftCar,200101LX00867,2001,London,24
LeavingLeftCar,200101LX01583,2001,London,30
LeavingLeftCar,200101MM00183,2001,London,34
LeavingLeftCar,200101NI00787,2001,London,26
LeavingLeftCar,200101NI01088,2001,London,
LeavingLeftCar,200101NI01433,2001,London,35
LeavingLeftCar,200101RG00798,2001,London,25
LeavingLeftCar,200101RG00989,2001,London,28
LeavingLeftCar,200101TW00274,2001,London,43
LeavingLeftCar,200101TW00286,2001,London,48
LeavingLeftCar,200101TW00537,2001,London,54
LeavingLeftCar,200101TX00669,2001,London,19
LeavingLeftCar,200101TX01196,2001,London,27
LeavingLeftCar,200101VW00343,2001,London,
LeavingLeftCar,200101VW00504,2001,London,23
LeavingLeftCar,200101WW01297,2001,London,45
LeavingLeftCar,200101XH00489,2001,London,
LeavingLeftCar,200101XH00946,2001,London,16
LeavingLeftCar,200101XH01008,2001,London,34
LeavingLeftCar,200101XS00830,2001,London,16
LeavingLeftCar,200101XS01248,2001,London,48
LeavingLeftCar,200101YR00503,2001,London,49
LeavingLeftCar,200101ZD00886,2001,London,40
LeavingLeftCar,200101ZP00206,2001,London,21
LeavingLeftCar,200101ZP00316,2001,London,31
LeavingLeftCar,200101ZP00405,2001,London,45
LeavingLeftCar,200104C052201,2001,Lancashire,43
LeavingLeftCar,200104D046101,2001,Lancashire,29
LeavingLeftCar,200104F074501,2001,Lancashire,16
LeavingLeftCar,2.00105E+12,2001,Merseyside,27
LeavingLeftCar,2.00105E+12,2001,Merseyside,53
LeavingLeftCar,2.00105E+12,2001,Merseyside,11
LeavingLeftCar,2.00105E+12,2001,Merseyside,79
LeavingLeftCar,2.00105E+12,2001,Merseyside,13
LeavingLeftCar,2.00105E+12,2001,Merseyside,29
LeavingLeftCar,200106C013275,2001,Manchester,30
LeavingLeftCar,200106C013569,2001,Manchester,35
LeavingLeftCar,200106C013677,2001,Manchester,33
LeavingLeftCar,200106C013734,2001,Manchester,79
LeavingLeftCar,200106C014052,2001,Manchester,22
LeavingLeftCar,200106C014273,2001,Manchester,24
LeavingLeftCar,200106C014864,2001,Manchester,20
LeavingLeftCar,200106F008338,2001,Salford,17
LeavingLeftCar,200106F008431,2001,Salford,60
LeavingLeftCar,200106F008885,2001,Salford,18
LeavingLeftCar,200106J008467,2001,Stockport,23
LeavingLeftCar,200106K009538,2001,Bolton,77
LeavingLeftCar,200106K009988,2001,Bolton,14
LeavingLeftCar,200106K010126,2001,Bolton,16
LeavingLeftCar,200106K010306,2001,Bolton,30
LeavingLeftCar,200106L009891,2001,Wigan,33
LeavingLeftCar,200106M007087,2001,Trafford,65
LeavingLeftCar,200106M007950,2001,Trafford,29
LeavingLeftCar,200106M008206,2001,Trafford,13
LeavingLeftCar,200106M008363,2001,Trafford,35
LeavingLeftCar,2.00107E+12,2001,Cheshire West and Chester,36
LeavingLeftCar,2.00107E+12,2001,Cheshire West and Chester,20
LeavingLeftCar,200110F443401,2001,Newcastle upon Tyne,15
LeavingLeftCar,2.00112E+12,2001,North Yorkshire,14
LeavingLeftCar,2.00112E+12,2001,North Yorkshire,27
LeavingLeftCar,2.00112E+12,2001,North Yorkshire,13
LeavingLeftCar,2.00112E+12,2001,North Yorkshire,50
LeavingLeftCar,200114HH01246,2001,Sheffield,39
LeavingLeftCar,200116A029001,2001,North East Lincolnshire,13
LeavingLeftCar,200116A036201,2001,North East Lincolnshire,36
LeavingLeftCar,200116B056601,2001,North Lincolnshire,17
LeavingLeftCar,200116C032201,2001,East Riding of Yorkshire,14
LeavingLeftCar,200116C033401,2001,East Riding of Yorkshire,62
LeavingLeftCar,200116D031401,2001,Kingston Upon Hull,23
LeavingLeftCar,200116D061601,2001,Kingston Upon Hull,20
LeavingLeftCar,200116D067301,2001,Kingston Upon Hull,62
LeavingLeftCar,200116D067501,2001,Kingston Upon Hull,37
LeavingLeftCar,200120E214201,2001,Birmingham,33
LeavingLeftCar,200120F292801,2001,Birmingham,20
LeavingLeftCar,200120H112401,2001,Walsall,63
LeavingLeftCar,2.00121E+12,2001,Staffordshire,31
LeavingLeftCar,2.00123E+12,2001,Warwickshire,37
LeavingLeftCar,2.00123E+12,2001,Warwickshire,52
LeavingLeftCar,20013102A0244,2001,Nottinghamshire,13
LeavingLeftCar,20013102A1330,2001,Nottinghamshire,43
LeavingLeftCar,20013102C0165,2001,Nottingham,20
LeavingLeftCar,20013104B1163,2001,Nottingham,24
LeavingLeftCar,200132C018901,2001,Lincolnshire,15
LeavingLeftCar,2.00133E+12,2001,Leicestershire,38
LeavingLeftCar,2.00135E+12,2001,Cambridgeshire,31
LeavingLeftCar,2.00135E+12,2001,Cambridgeshire,40
LeavingLeftCar,200136N011381,2001,Norfolk,28
LeavingLeftCar,200136N011921,2001,Norfolk,
LeavingLeftCar,2001400B00605,2001,Bedford Borough Council,33
LeavingLeftCar,20014100C0283,2001,Hertfordshire,25
LeavingLeftCar,20014100C0308,2001,Hertfordshire,22
LeavingLeftCar,20014200A0387,2001,Essex,69
LeavingLeftCar,20014200H0540,2001,Southend on Sea,13
LeavingLeftCar,200143P194111,2001,Oxfordshire,74
LeavingLeftCar,2001440AA1923,2001,Hampshire,29
LeavingLeftCar,2001440GG0617,2001,Hampshire,31
LeavingLeftCar,200147S143865,2001,East Sussex,21
