Scenario,urn,accyr,LAName,Age
LeavingLeftCarPrivate,199901BH00159,1999,London,19
LeavingLeftCarPrivate,199901CP00367,1999,London,47
LeavingLeftCarPrivate,199901CX00375,1999,London,26
LeavingLeftCarPrivate,199901DM00588,1999,London,19
LeavingLeftCarPrivate,199901DP00245,1999,London,25
LeavingLeftCarPrivate,199901EK09069,1999,London,22
LeavingLeftCarPrivate,199901HT00946,1999,London,29
LeavingLeftCarPrivate,199901JC00291,1999,London,12
LeavingLeftCarPrivate,199901JL00246,1999,London,
LeavingLeftCarPrivate,199901LD00176,1999,London,43
LeavingLeftCarPrivate,199901LX00337,1999,London,32
LeavingLeftCarPrivate,199901LX00630,1999,London,36
LeavingLeftCarPrivate,199901PL00252,1999,London,21
LeavingLeftCarPrivate,199901PY00701,1999,London,30
LeavingLeftCarPrivate,199901RG00390,1999,London,34
LeavingLeftCarPrivate,199901SC00635,1999,London,25
LeavingLeftCarPrivate,199901SC00991,1999,London,12
LeavingLeftCarPrivate,199901TW00220,1999,London,12
LeavingLeftCarPrivate,199901TW00477,1999,London,
LeavingLeftCarPrivate,199901TX00294,1999,London,68
LeavingLeftCarPrivate,199901VK00267,1999,London,23
LeavingLeftCarPrivate,199901VK00470,1999,London,23
LeavingLeftCarPrivate,199901VW00072,1999,London,
LeavingLeftCarPrivate,199901WW00271,1999,London,35
LeavingLeftCarPrivate,199901WW00475,1999,London,38
LeavingLeftCarPrivate,199901XD00794,1999,London,42
LeavingLeftCarPrivate,199901XS00135,1999,London,70
LeavingLeftCarPrivate,199901XS00459,1999,London,24
LeavingLeftCarPrivate,199901XS00740,1999,London,37
LeavingLeftCarPrivate,199901YR00309,1999,London,16
LeavingLeftCarPrivate,199901ZD00325,1999,London,24
LeavingLeftCarPrivate,199901ZN00761,1999,London,39
LeavingLeftCarPrivate,199901ZN00919,1999,London,34
LeavingLeftCarPrivate,199901ZP00603,1999,Surrey,
LeavingLeftCarPrivate,199904C057199,1999,Lancashire,23
LeavingLeftCarPrivate,199904D072499,1999,Lancashire,51
LeavingLeftCarPrivate,1.99905E+12,1999,Merseyside,31
LeavingLeftCarPrivate,1.99905E+12,1999,Merseyside,14
LeavingLeftCarPrivate,199906C008412,1999,Manchester,64
LeavingLeftCarPrivate,199906C651499,1999,Manchester,30
LeavingLeftCarPrivate,199906J005868,1999,Stockport,41
LeavingLeftCarPrivate,199906K396899,1999,Bolton,21
LeavingLeftCarPrivate,199906L006132,1999,Wigan,14
LeavingLeftCarPrivate,1999079A10306,1999,Cheshire East,52
LeavingLeftCarPrivate,1999079A10731,1999,Cheshire East,24
LeavingLeftCarPrivate,1999079B11346,1999,Halton,14
LeavingLeftCarPrivate,199910K235699,1999,Gateshead,17
LeavingLeftCarPrivate,1999119CI1322,1999,Durham,18
LeavingLeftCarPrivate,1999119CI2051,1999,Durham,9
LeavingLeftCarPrivate,1.99912E+12,1999,York,52
LeavingLeftCarPrivate,199913DA44699,1999,Wakefield,29
LeavingLeftCarPrivate,199914AA00116,1999,Doncaster,34
LeavingLeftCarPrivate,199914CC00319,1999,Doncaster,16
LeavingLeftCarPrivate,199914DD00045,1999,Barnsley,12
LeavingLeftCarPrivate,199914JJ00511,1999,Sheffield,49
LeavingLeftCarPrivate,199916A009399,1999,North East Lincolnshire,13
LeavingLeftCarPrivate,199916A023699,1999,North East Lincolnshire,34
LeavingLeftCarPrivate,199916A032099,1999,North East Lincolnshire,12
LeavingLeftCarPrivate,199916D017399,1999,Kingston Upon Hull,73
LeavingLeftCarPrivate,199916D018799,1999,Kingston Upon Hull,47
LeavingLeftCarPrivate,199916F008299,1999,Kingston Upon Hull,21
LeavingLeftCarPrivate,199917M100153,1999,Middlesbrough,29
LeavingLeftCarPrivate,199917M100321,1999,Middlesbrough,17
LeavingLeftCarPrivate,199917S100112,1999,Stockton on Tees,17
LeavingLeftCarPrivate,199920D022501,1999,Birmingham,14
LeavingLeftCarPrivate,199920D106601,1999,Birmingham,50
LeavingLeftCarPrivate,199920D239601,1999,Birmingham,22
LeavingLeftCarPrivate,199920E031601,1999,Birmingham,12
LeavingLeftCarPrivate,199920E128301,1999,Birmingham,19
LeavingLeftCarPrivate,199920E150101,1999,Birmingham,37
LeavingLeftCarPrivate,199920E218901,1999,Birmingham,20
LeavingLeftCarPrivate,199920G026102,1999,Wolverhampton,35
LeavingLeftCarPrivate,199920G074502,1999,Wolverhampton,33
LeavingLeftCarPrivate,199920J018802,1999,Dudley,16
LeavingLeftCarPrivate,199920K063102,1999,Sandwell,11
