Scenario,urn,accyr,LAName,Age
LeavingLeftT,199901EO00237,1999,London,34
LeavingLeftT,199901GD00374,1999,London,44
LeavingLeftT,199901JB00377,1999,London,17
LeavingLeftT,199901KO00374,1999,London,15
LeavingLeftT,199901KO00395,1999,London,7
LeavingLeftT,199901LD00361,1999,London,6
LeavingLeftT,199901NI00736,1999,London,27
LeavingLeftT,199901NI00939,1999,London,32
LeavingLeftT,199901WW00370,1999,London,10
LeavingLeftT,199901WW00839,1999,London,8
LeavingLeftT,199901XH00619,1999,London,14
LeavingLeftT,199901XH00639,1999,London,20
LeavingLeftT,199901YE00805,1999,London,23
LeavingLeftT,199901ZN00711,1999,London,
LeavingLeftT,199901ZN00806,1999,London,36
LeavingLeftT,199901ZN00882,1999,London,15
LeavingLeftT,199901ZP00386,1999,Surrey,
LeavingLeftT,199901ZP00393,1999,Surrey,11
LeavingLeftT,1.99903E+12,1999,Cumbria,50
LeavingLeftT,1.99903E+12,1999,Cumbria,9
LeavingLeftT,199904C034099,1999,Lancashire,14
LeavingLeftT,199904D037599,1999,Lancashire,8
LeavingLeftT,1.99905E+12,1999,Merseyside,11
LeavingLeftT,1.99905E+12,1999,Merseyside,60
LeavingLeftT,1.99905E+12,1999,Merseyside,12
LeavingLeftT,1.99905E+12,1999,Merseyside,10
LeavingLeftT,1.99905E+12,1999,Merseyside,9
LeavingLeftT,1.99905E+12,1999,Merseyside,14
LeavingLeftT,1.99905E+12,1999,Merseyside,79
LeavingLeftT,1.99905E+12,1999,Merseyside,13
LeavingLeftT,1.99905E+12,1999,Merseyside,11
LeavingLeftT,1.99905E+12,1999,Merseyside,12
LeavingLeftT,199906C007680,1999,Manchester,14
LeavingLeftT,199906C661099,1999,Manchester,10
LeavingLeftT,199906F004941,1999,Salford,9
LeavingLeftT,199906J004714,1999,Stockport,8
LeavingLeftT,199906J005260,1999,Stockport,11
LeavingLeftT,199906J005927,1999,Stockport,16
LeavingLeftT,199906K005065,1999,Bolton,33
LeavingLeftT,199906K005341,1999,Bolton,10
LeavingLeftT,199906M003915,1999,Trafford,8
LeavingLeftT,199906N003512,1999,Bury,7
LeavingLeftT,199906P004141,1999,Rochdale,5
LeavingLeftT,1999079A11425,1999,Cheshire East,8
LeavingLeftT,1999079A11492,1999,Cheshire East,13
LeavingLeftT,1999079B21303,1999,Warrington,7
LeavingLeftT,1999079C30476,1999,Cheshire West and Chester,45
LeavingLeftT,199910C035199,1999,Northumberland,17
LeavingLeftT,199910D277499,1999,Newcastle upon Tyne,18
LeavingLeftT,199910D312199,1999,Newcastle upon Tyne,11
LeavingLeftT,199910I106699,1999,North Tyneside,14
LeavingLeftT,199910M027899,1999,South Tyneside,41
LeavingLeftT,1999110DJ1391,1999,Darlington,4
LeavingLeftT,1999119AK1788,1999,Durham,27
LeavingLeftT,1.99912E+12,1999,North Yorkshire,15
LeavingLeftT,1.99912E+12,1999,North Yorkshire,16
LeavingLeftT,199913DC08599,1999,Wakefield,9
LeavingLeftT,199913EC30499,1999,Kirklees,10
LeavingLeftT,199913FA28499,1999,Calderdale,14
LeavingLeftT,199913GC53799,1999,Bradford,15
LeavingLeftT,199913HD24699,1999,Bradford,14
LeavingLeftT,199913HD30299,1999,Bradford,9
LeavingLeftT,199914BB00083,1999,Doncaster,15
LeavingLeftT,199914BB00581,1999,Doncaster,12
LeavingLeftT,199914FF01081,1999,Rotherham,60
LeavingLeftT,199914FF01096,1999,Rotherham,13
LeavingLeftT,199914KK00850,1999,Sheffield,27
LeavingLeftT,199916B045699,1999,North Lincolnshire,17
LeavingLeftT,199916E015399,1999,East Riding of Yorkshire,23
LeavingLeftT,199916E021599,1999,Kingston Upon Hull,11
LeavingLeftT,199916E024299,1999,Kingston Upon Hull,41
LeavingLeftT,199916F030299,1999,Kingston Upon Hull,18
LeavingLeftT,199917M100071,1999,Middlesbrough,8
LeavingLeftT,199917M100140,1999,Middlesbrough,59
LeavingLeftT,199920G015301,1999,Wolverhampton,15
LeavingLeftT,199920H071002,1999,Walsall,14
LeavingLeftT,199920J047902,1999,Dudley,9
LeavingLeftT,199920L076401,1999,Solihull,14
LeavingLeftT,1.99922E+12,1999,Stoke on Trent,6
LeavingLeftT,1.99922E+12,1999,Stoke on Trent,14
LeavingLeftT,199922CE10940,1999,Worcestershire,42
LeavingLeftT,1.99924E+12,1999,Warwickshire,58
LeavingLeftT,199930C000792,1999,Derbyshire,14
LeavingLeftT,1999317A20002,1999,Nottinghamshire,17
LeavingLeftT,1999317A20482,1999,Nottinghamshire,14
LeavingLeftT,1999317B40776,1999,Nottinghamshire,58
LeavingLeftT,1999317D42628,1999,Nottinghamshire,15
LeavingLeftT,1999317E80468,1999,Nottinghamshire,19
LeavingLeftT,199932B008749,1999,Lincolnshire,8
LeavingLeftT,199932C007509,1999,Lincolnshire,12
LeavingLeftT,199932D003649,1999,Lincolnshire,15
LeavingLeftT,1.99934E+12,1999,Leicestershire,19
LeavingLeftT,1.99934E+12,1999,Leicestershire,32
LeavingLeftT,1.99934E+12,1999,Leicestershire,21
LeavingLeftT,1.99934E+12,1999,Rutland,13
LeavingLeftT,1.99935E+12,1999,Cambridgeshire,13
LeavingLeftT,1.99935E+12,1999,Cambridgeshire,41
LeavingLeftT,199936G990213,1999,Norfolk,23
LeavingLeftT,199936K990377,1999,Norfolk,22
LeavingLeftT,199937B005889,1999,Suffolk,9
LeavingLeftT,199940C161199,1999,Luton,26
LeavingLeftT,19994100A0226,1999,Hertfordshire,7
LeavingLeftT,19994100B0240,1999,Hertfordshire,11
LeavingLeftT,19994200G0859,1999,Essex,35
LeavingLeftT,199943N104089,1999,Buckinghamshire,12
LeavingLeftT,199943R276089,1999,Windsor and Maidenhead,27
LeavingLeftT,199943R301069,1999,Windsor and Maidenhead,9
LeavingLeftT,1999440AA0830,1999,Hampshire,18
LeavingLeftT,1999440JL0025,1999,Hampshire,14
LeavingLeftT,1999440KS0526,1999,Portsmouth,49
LeavingLeftT,1999440LR0252,1999,Hampshire,16
LeavingLeftT,1999440RF0906,1999,Portsmouth,18
LeavingLeftT,1999440ZD0051,1999,Isle of Wight,30
LeavingLeftT,199945ED00063,1999,Surrey,
LeavingLeftT,199945ED00200,1999,Surrey,12
LeavingLeftT,199946CT07806,1999,Kent,29
LeavingLeftT,199946ME02948,1999,Medway,10
LeavingLeftT,199946ME04240,1999,Medway,11
LeavingLeftT,199946SW03058,1999,Kent,7
LeavingLeftT,199946WK05744,1999,Kent,16
LeavingLeftT,199947X002148,1999,West Sussex,18
LeavingLeftT,199947X003562,1999,West Sussex,12
LeavingLeftT,199950A332049,1999,Cornwall and Isles of Scilly,22
LeavingLeftT,199950D316232,1999,Devon,9
LeavingLeftT,199950D412344,1999,Devon,14
LeavingLeftT,199950E212325,1999,Plymouth,15
LeavingLeftT,1.99952E+12,1999,Somerset,27
LeavingLeftT,1999530AI1871,1999,Gloucestershire,9
LeavingLeftT,19995599W3124,1999,Dorset,18
LeavingLeftT,200001JC00336,2000,London,15
LeavingLeftT,200001JC00968,2000,London,46
LeavingLeftT,200001KD00033,2000,London,13
