Scenario,urn,accyr,LAName,Age
LeavinfLeftTCar,199901AB00151,1999,London,33
LeavinfLeftTCar,199901BH00016,1999,London,41
LeavinfLeftTCar,199901BH00095,1999,London,25
LeavinfLeftTCar,199901BS00288,1999,London,31
LeavinfLeftTCar,199901BS00543,1999,London,21
LeavinfLeftTCar,199901BS00866,1999,London,28
LeavinfLeftTCar,199901CP00166,1999,London,27
LeavinfLeftTCar,199901CP00331,1999,London,26
LeavinfLeftTCar,199901CP00404,1999,London,30
LeavinfLeftTCar,199901CX00281,1999,London,35
LeavinfLeftTCar,199901DM00362,1999,London,31
LeavinfLeftTCar,199901DM00887,1999,London,31
LeavinfLeftTCar,199901DM00948,1999,London,30
LeavinfLeftTCar,199901DM01007,1999,London,44
LeavinfLeftTCar,199901EH00245,1999,London,31
LeavinfLeftTCar,199901EK00013,1999,London,29
LeavinfLeftTCar,199901EK00054,1999,London,25
LeavinfLeftTCar,199901EK00427,1999,London,67
LeavinfLeftTCar,199901EK00536,1999,London,24
LeavinfLeftTCar,199901EK00661,1999,London,27
LeavinfLeftTCar,199901EK00680,1999,London,28
LeavinfLeftTCar,199901EK00710,1999,London,24
LeavinfLeftTCar,199901EK09087,1999,London,60
LeavinfLeftTCar,199901EO00362,1999,London,29
LeavinfLeftTCar,199901EO00377,1999,London,41
LeavinfLeftTCar,199901FH00115,1999,London,14
LeavinfLeftTCar,199901FH00417,1999,London,31
LeavinfLeftTCar,199901FH00460,1999,London,26
LeavinfLeftTCar,199901FH00625,1999,London,41
LeavinfLeftTCar,199901FH00759,1999,London,43
LeavinfLeftTCar,199901GD00094,1999,London,24
LeavinfLeftTCar,199901GD00116,1999,London,30
LeavinfLeftTCar,199901GD00163,1999,London,24
LeavinfLeftTCar,199901GD00252,1999,London,36
LeavinfLeftTCar,199901GN00457,1999,London,27
LeavinfLeftTCar,199901GN00534,1999,London,29
LeavinfLeftTCar,199901HT00446,1999,London,46
LeavinfLeftTCar,199901HT00522,1999,London,36
LeavinfLeftTCar,199901HT00535,1999,London,43
LeavinfLeftTCar,199901HT00725,1999,London,54
LeavinfLeftTCar,199901HT00743,1999,London,12
LeavinfLeftTCar,199901HT00981,1999,London,18
LeavinfLeftTCar,199901JC00577,1999,London,35
LeavinfLeftTCar,199901JC00777,1999,London,34
LeavinfLeftTCar,199901JI00393,1999,London,41
LeavinfLeftTCar,199901JI00548,1999,London,37
LeavinfLeftTCar,199901KD00245,1999,London,10
LeavinfLeftTCar,199901KD00461,1999,London,
LeavinfLeftTCar,199901KD00575,1999,London,45
LeavinfLeftTCar,199901KD00740,1999,London,10
LeavinfLeftTCar,199901KD00970,1999,London,
LeavinfLeftTCar,199901KF00381,1999,London,28
LeavinfLeftTCar,199901KG00581,1999,London,9
LeavinfLeftTCar,199901KO00338,1999,London,17
LeavinfLeftTCar,199901KO00410,1999,London,42
LeavinfLeftTCar,199901LD00074,1999,London,30
LeavinfLeftTCar,199901LD00081,1999,London,29
