Scenario,urn,accyr,LAName,Age
LeavingRightCar,199901BS00885,1999,London,
LeavingRightCar,199904D048499,1999,Lancashire,39
LeavingRightCar,1.99905E+12,1999,Merseyside,13
LeavingRightCar,1.99905E+12,1999,Merseyside,11
LeavingRightCar,199906C629799,1999,Manchester,25
LeavingRightCar,199906J004494,1999,Stockport,54
LeavingRightCar,199913AA28099,1999,Leeds,14
LeavingRightCar,199913BB19499,1999,Leeds,10
LeavingRightCar,199913BB44599,1999,Leeds,25
LeavingRightCar,199913EC38299,1999,Kirklees,15
LeavingRightCar,1.99934E+12,1999,Leicestershire,14
LeavingRightCar,199936T990057,1999,Norfolk,35
LeavingRightCar,199937G003976,1999,Suffolk,41
LeavingRightCar,199946MA01820,1999,Kent,8
LeavingRightCar,199947C003629,1999,Brighton and Hove,31
LeavingRightCar,199947C004105,1999,Brighton and Hove,19
LeavingRightCar,199947S002164,1999,East Sussex,32
LeavingRightCar,199950E413428,1999,Plymouth,52
LeavingRightCar,1.99952E+12,1999,City of Bristol,7
LeavingRightCar,19995599E1342,1999,Dorset,17
LeavingRightCar,200001DM02062,2000,London,36
LeavingRightCar,200001FH00257,2000,London,16
LeavingRightCar,200001JC00295,2000,London,12
LeavingRightCar,200001MM00004,2000,London,26
LeavingRightCar,200001XS00434,2000,London,60
LeavingRightCar,2.00005E+12,2000,Merseyside,56
LeavingRightCar,200006G005722,2000,Tameside,10
LeavingRightCar,200006M006142,2000,Trafford,14
LeavingRightCar,2.00013E+12,2000,Bradford,17
LeavingRightCar,200014II00528,2000,Sheffield,19
LeavingRightCar,200016C102100,2000,East Riding of Yorkshire,11
LeavingRightCar,200020J065602,2000,Dudley,17
LeavingRightCar,200020M029001,2000,Coventry,15
LeavingRightCar,2.00033E+12,2000,Leicestershire,
LeavingRightCar,200043W478090,2000,Reading,14
LeavingRightCar,2000440ZD0482,2000,Isle of Wight,29
LeavingRightCar,2.00052E+12,2000,Somerset,37
LeavingRightCar,200052F970046,2000,Somerset,35
LeavingRightCar,2000550B03130,2000,Bournemouth,31
LeavingRightCar,200101JC00393,2001,London,43
LeavingRightCar,200101KD00992,2001,London,27
LeavingRightCar,200101MM00468,2001,London,27
LeavingRightCar,200101XS00685,2001,London,45
LeavingRightCar,200101XS01130,2001,London,40
LeavingRightCar,2.00105E+12,2001,Merseyside,25
LeavingRightCar,2.00113E+12,2001,Bradford,61
LeavingRightCar,2.00113E+12,2001,Leeds,12
LeavingRightCar,200132C070001,2001,Lincolnshire,58
LeavingRightCar,20014200A0409,2001,Essex,36
LeavingRightCar,2001440SP0354,2001,Southampton ,53
LeavingRightCar,200145EM11102,2001,Surrey,26
LeavingRightCar,200150D212454,2001,Devon,55
LeavingRightCar,2.00152E+12,2001,Somerset,52
LeavingRightCar,200201EO00914,2002,London,30
LeavingRightCar,200201PL00846,2002,London,31
LeavingRightCar,2.00207E+12,2002,Cheshire West and Chester,29
LeavingRightCar,200210J092202,2002,Gateshead,36
LeavingRightCar,2.00213E+12,2002,Leeds,45
LeavingRightCar,2.00213E+12,2002,Bradford,52
LeavingRightCar,200220G019301,2002,Wolverhampton,39
LeavingRightCar,200230C000308,2002,Derbyshire,50
LeavingRightCar,200243W083082,2002,Slough,12
LeavingRightCar,200245RN29925,2002,Surrey,
LeavingRightCar,200246TH56885,2002,Kent,15
LeavingRightCar,200246TH68870,2002,Kent,15
LeavingRightCar,200250A322926,2002,Cornwall and Isles of Scilly,32
LeavingRightCar,200250F318009,2002,Torbay,15
LeavingRightCar,200301DM01666,2003,London,39
LeavingRightCar,200301DM01846,2003,London,
LeavingRightCar,200301LX00197,2003,London,17
LeavingRightCar,200301MM01256,2003,London,53
LeavingRightCar,200306A015209,2003,Manchester,30
LeavingRightCar,2.0031E+12,2003,Newcastle upon Tyne,29
LeavingRightCar,2.00313E+12,2003,Leeds,23
LeavingRightCar,2.00313E+12,2003,Leeds,50
LeavingRightCar,200314EE00657,2003,Barnsley,42
LeavingRightCar,200320M074401,2003,Coventry,5
LeavingRightCar,200330D000952,2003,Derby,12
LeavingRightCar,20033102A0557,2003,Nottinghamshire,8
LeavingRightCar,200332C158503,2003,Lincolnshire,47
LeavingRightCar,2.00333E+12,2003,Leicestershire,19
LeavingRightCar,200343W453033,2003,Reading,28
LeavingRightCar,2003440SY0716,2003,Southampton ,45
LeavingRightCar,200345RE46556,2003,Surrey,44
LeavingRightCar,200347K161417,2003,West Sussex,36
LeavingRightCar,200347K163052,2003,Brighton and Hove,22
LeavingRightCar,200347K165197,2003,West Sussex,43
LeavingRightCar,200350D41Q958,2003,Devon,39
LeavingRightCar,2.00352E+12,2003,City of Bristol,40
LeavingRightCar,2003550B04295,2003,Bournemouth,16
LeavingRightCar,200401BS00534,2004,London,32
LeavingRightCar,200404C054304,2004,Lancashire,30
LeavingRightCar,200406C909467,2004,Manchester,38
