Scenario,urn,accyr,LAName,Age
LeavingRightCarPrivate,199901KD00716,1999,London,
LeavingRightCarPrivate,199901PY01400,1999,London,
LeavingRightCarPrivate,199901YE00409,1999,London,9
LeavingRightCarPrivate,1.99905E+12,1999,Merseyside,32
LeavingRightCarPrivate,1.99905E+12,1999,Merseyside,33
LeavingRightCarPrivate,199906K005998,1999,Bolton,42
LeavingRightCarPrivate,199910L152499,1999,South Tyneside,13
LeavingRightCarPrivate,199913FA28399,1999,Calderdale,36
LeavingRightCarPrivate,199914FF00405,1999,Rotherham,15
LeavingRightCarPrivate,199920J009402,1999,Dudley,28
LeavingRightCarPrivate,199922EA11677,1999,Herefordshire,14
LeavingRightCarPrivate,199930D000945,1999,Derby,25
LeavingRightCarPrivate,1999317A20221,1999,Nottinghamshire,
LeavingRightCarPrivate,1999317A20387,1999,Nottinghamshire,
LeavingRightCarPrivate,199936G990771,1999,Norfolk,32
LeavingRightCarPrivate,199936N991348,1999,Norfolk,
LeavingRightCarPrivate,19994200A0621,1999,Essex,
LeavingRightCarPrivate,199943N238039,1999,Buckinghamshire,36
LeavingRightCarPrivate,199945NA00050,1999,Surrey,
LeavingRightCarPrivate,199946NK01314,1999,Kent,67
LeavingRightCarPrivate,199946NK17365,1999,Kent,
LeavingRightCarPrivate,199950A411092,1999,Cornwall and Isles of Scilly,15
LeavingRightCarPrivate,199950A512344,1999,Cornwall and Isles of Scilly,24
LeavingRightCarPrivate,199950B412822,1999,Cornwall and Isles of Scilly,40
LeavingRightCarPrivate,1.99952E+12,1999,South Gloucestershire,30
LeavingRightCarPrivate,1.99952E+12,1999,Somerset,13
LeavingRightCarPrivate,1.99952E+12,1999,Somerset,42
LeavingRightCarPrivate,1.99952E+12,1999,Somerset,13
LeavingRightCarPrivate,1999530AI0418,1999,Gloucestershire,52
LeavingRightCarPrivate,1999550P03342,1999,Poole,52
LeavingRightCarPrivate,200001KG00527,2000,London,16
LeavingRightCarPrivate,200001MM00027,2000,London,33
LeavingRightCarPrivate,200001MM00388,2000,London,44
LeavingRightCarPrivate,200001TW00549,2000,London,29
LeavingRightCarPrivate,200001XS00141,2000,London,37
LeavingRightCarPrivate,200006M005236,2000,Trafford,36
LeavingRightCarPrivate,2.00007E+12,2000,Cheshire West and Chester,48
LeavingRightCarPrivate,200010K218900,2000,Gateshead,25
LeavingRightCarPrivate,2.00013E+12,2000,Leeds,25
LeavingRightCarPrivate,200013AA02900,2000,Leeds,21
LeavingRightCarPrivate,200016A018400,2000,North East Lincolnshire,10
LeavingRightCarPrivate,200016D072200,2000,Kingston Upon Hull,27
LeavingRightCarPrivate,200032B011620,2000,Lincolnshire,18
LeavingRightCarPrivate,2.00035E+12,2000,Cambridgeshire,19
LeavingRightCarPrivate,200045WF00521,2000,Surrey,
LeavingRightCarPrivate,200046SK30805,2000,Kent,60
LeavingRightCarPrivate,200050A331173,2000,Cornwall and Isles of Scilly,11
LeavingRightCarPrivate,2.00052E+12,2000,South Gloucestershire,72
LeavingRightCarPrivate,2.00052E+12,2000,South Gloucestershire,27
LeavingRightCarPrivate,200052G913416,2000,Somerset,35
LeavingRightCarPrivate,200106F008790,2001,Salford,14
LeavingRightCarPrivate,200130D000391,2001,Derby,21
LeavingRightCarPrivate,2.00133E+12,2001,Leicestershire,34
LeavingRightCarPrivate,2.00133E+12,2001,Leicestershire,23
LeavingRightCarPrivate,200143W126091,2001,Reading,29
LeavingRightCarPrivate,2001440HF0652,2001,Hampshire,34
LeavingRightCarPrivate,200145ME07019,2001,Surrey,48
LeavingRightCarPrivate,200145SP16935,2001,Surrey,
LeavingRightCarPrivate,200147N133956,2001,West Sussex,43
LeavingRightCarPrivate,2.00203E+12,2002,Cumbria,34
LeavingRightCarPrivate,200204C093802,2002,Lancashire,60
