Scenario,urn,accyr,LAName,Age
LeavingRightPrivate,199901WW01009,1999,London,26
LeavingRightPrivate,199904B019199,1999,Lancashire,12
LeavingRightPrivate,1999079C31392,1999,Cheshire West and Chester,59
LeavingRightPrivate,199910B264399,1999,Northumberland,13
LeavingRightPrivate,199916C029299,1999,East Riding of Yorkshire,15
LeavingRightPrivate,199917S400556,1999,Stockton on Tees,51
LeavingRightPrivate,1.99924E+12,1999,Warwickshire,12
LeavingRightPrivate,1.99924E+12,1999,Warwickshire,22
LeavingRightPrivate,199934NW00232,1999,Northamptonshire,14
LeavingRightPrivate,1.99935E+12,1999,Cambridgeshire,89
LeavingRightPrivate,199943N074119,1999,Buckinghamshire,13
LeavingRightPrivate,199943P170049,1999,Oxfordshire,
LeavingRightPrivate,199943R216079,1999,Wokingham,20
LeavingRightPrivate,199943R239089,1999,Windsor and Maidenhead,9
LeavingRightPrivate,199943W178089,1999,West Berkshire,13
LeavingRightPrivate,199946CT00745,1999,Kent,15
LeavingRightPrivate,199946CT08009,1999,Kent,14
LeavingRightPrivate,199950A313793,1999,Cornwall and Isles of Scilly,13
LeavingRightPrivate,1999530AI3536,1999,Gloucestershire,12
LeavingRightPrivate,1999530AI4684,1999,Gloucestershire,14
LeavingRightPrivate,1999550B04695,1999,Bournemouth,15
LeavingRightPrivate,200004B050200,2000,Lancashire,7
LeavingRightPrivate,200004D027300,2000,Lancashire,72
LeavingRightPrivate,200016C068400,2000,East Riding of Yorkshire,28
LeavingRightPrivate,200022AD14261,2000,Worcestershire,22
LeavingRightPrivate,200022FC18314,2000,Shropshire,12
LeavingRightPrivate,200030D000686,2000,Derbyshire,34
LeavingRightPrivate,200032C006460,2000,Lincolnshire,19
LeavingRightPrivate,200037B009180,2000,Suffolk,17
LeavingRightPrivate,20004100F0419,2000,Hertfordshire,63
LeavingRightPrivate,20004200H0323,2000,Southend on Sea,9
LeavingRightPrivate,200043P422090,2000,Oxfordshire,61
LeavingRightPrivate,200043W305080,2000,Wokingham,16
LeavingRightPrivate,200045ED00125,2000,Surrey,18
LeavingRightPrivate,200045NS00746,2000,Surrey,
LeavingRightPrivate,200047C125809,2000,Brighton and Hove,18
LeavingRightPrivate,200047N009461,2000,West Sussex,15
LeavingRightPrivate,200101KD00518,2001,London,10
LeavingRightPrivate,200101XH00166,2001,London,9
LeavingRightPrivate,2.00107E+12,2001,Cheshire West and Chester,42
LeavingRightPrivate,200120J143802,2001,Dudley,14
LeavingRightPrivate,2.00121E+12,2001,Staffordshire,16
LeavingRightPrivate,200130D000887,2001,Derby,64
LeavingRightPrivate,2.00133E+12,2001,Leicestershire,33
LeavingRightPrivate,20014100A0079,2001,Hertfordshire,72
LeavingRightPrivate,200143W061091,2001,Slough,19
LeavingRightPrivate,2001440OL1135,2001,Hampshire,56
LeavingRightPrivate,2.00145E+12,2001,Surrey,15
LeavingRightPrivate,200145MN10220,2001,Surrey,20
LeavingRightPrivate,2.00203E+12,2002,Cumbria,16
LeavingRightPrivate,200204B048402,2002,Lancashire,20
LeavingRightPrivate,200220M066502,2002,Coventry,26
LeavingRightPrivate,200230A000300,2002,Derbyshire,16
LeavingRightPrivate,20023102D0348,2002,Nottinghamshire,27
LeavingRightPrivate,200232C066902,2002,Lincolnshire,12
LeavingRightPrivate,200243P317072,2002,Oxfordshire,8
LeavingRightPrivate,200243W307062,2002,Windsor and Maidenhead,15
LeavingRightPrivate,200245RS30674,2002,Surrey,37
