Scenario,urn,accyr,LAName,Age
LeavingRightT,199901GN00386,1999,London,39
LeavingRightT,199901HT00587,1999,London,20
LeavingRightT,199901MS00143,1999,London,23
LeavingRightT,199901NH00035,1999,London,35
LeavingRightT,199901WW00049,1999,London,17
LeavingRightT,199901ZN00795,1999,London,
LeavingRightT,199901ZP00161,1999,London,19
LeavingRightT,1.99905E+12,1999,Merseyside,78
LeavingRightT,1.99905E+12,1999,Merseyside,10
LeavingRightT,199906F005338,1999,Salford,12
LeavingRightT,199906G004407,1999,Tameside,33
LeavingRightT,199906L005616,1999,Wigan,13
LeavingRightT,199906M333299,1999,Trafford,33
LeavingRightT,199906P339299,1999,Rochdale,57
LeavingRightT,199906Q004631,1999,Oldham,14
LeavingRightT,1999079A11456,1999,Cheshire East,14
LeavingRightT,199910M200299,1999,South Tyneside,9
LeavingRightT,1.99912E+12,1999,North Yorkshire,11
LeavingRightT,1.99912E+12,1999,North Yorkshire,9
LeavingRightT,1.99912E+12,1999,York,14
LeavingRightT,1.99912E+12,1999,York,20
LeavingRightT,1.99912E+12,1999,North Yorkshire,12
LeavingRightT,199913BA22899,1999,Leeds,16
LeavingRightT,199913CA20299,1999,Leeds,11
LeavingRightT,199913CB32499,1999,Leeds,12
LeavingRightT,199913DA25299,1999,Wakefield,59
LeavingRightT,199913DC26099,1999,Wakefield,39
LeavingRightT,199913EA49499,1999,Kirklees,25
LeavingRightT,199913FD23799,1999,Calderdale,14
LeavingRightT,199913GC44799,1999,Bradford,10
LeavingRightT,199914AA00551,1999,Doncaster,8
LeavingRightT,199914BB00432,1999,Doncaster,11
LeavingRightT,199914BB00443,1999,Doncaster,15
LeavingRightT,199914BB00493,1999,Doncaster,25
LeavingRightT,199914EE00248,1999,Barnsley,14
LeavingRightT,199914HH00557,1999,Sheffield,30
LeavingRightT,199914KK00691,1999,Sheffield,17
LeavingRightT,199917H100176,1999,Hartlepool,11
LeavingRightT,199917L200233,1999,Redcar and Cleveland,41
LeavingRightT,199920D242301,1999,Birmingham,5
LeavingRightT,199920G028901,1999,Wolverhampton,11
LeavingRightT,199920G030002,1999,Wolverhampton,79
LeavingRightT,199920G044401,1999,Wolverhampton,19
LeavingRightT,1999317C21069,1999,Nottinghamshire,45
LeavingRightT,1999317C40696,1999,Nottinghamshire,22
LeavingRightT,1999317D21017,1999,Nottinghamshire,22
LeavingRightT,199932D008919,1999,Lincolnshire,8
LeavingRightT,199932D013359,1999,Lincolnshire,50
LeavingRightT,199932D014759,1999,Lincolnshire,65
LeavingRightT,1.99934E+12,1999,Leicestershire,
LeavingRightT,1.99934E+12,1999,Leicestershire,12
LeavingRightT,1.99935E+12,1999,Cambridgeshire,44
LeavingRightT,1.99935E+12,1999,Cambridgeshire,56
LeavingRightT,1.99935E+12,1999,Cambridgeshire,64
LeavingRightT,199937G004799,1999,Suffolk,9
LeavingRightT,199937G005198,1999,Suffolk,19
LeavingRightT,199937L003259,1999,Suffolk,10
LeavingRightT,199940C200499,1999,Luton,11
LeavingRightT,19994100A0568,1999,Hertfordshire,54
LeavingRightT,19994200B0273,1999,Essex,13
LeavingRightT,19994200C0347,1999,Essex,80
LeavingRightT,19994200D0230,1999,Essex,26
LeavingRightT,19994200D0349,1999,Essex,33
LeavingRightT,19994200J0060,1999,Essex,21
LeavingRightT,199943P314039,1999,Oxfordshire,13
LeavingRightT,1999440AA1047,1999,Hampshire,12
LeavingRightT,1999440AA1424,1999,Hampshire,8
LeavingRightT,1999440BB0821,1999,Hampshire,27
LeavingRightT,1999440DH0106,1999,Hampshire,71
LeavingRightT,1999440DT0058,1999,Hampshire,14
LeavingRightT,1999440DT0305,1999,Hampshire,15
LeavingRightT,1999440GG0353,1999,Hampshire,12
LeavingRightT,1999440JH0325,1999,Hampshire,11
LeavingRightT,1999440KS0139,1999,Portsmouth,87
LeavingRightT,1999440NA0636,1999,Hampshire,27
LeavingRightT,1999440NA0907,1999,Hampshire,57
LeavingRightT,1999440OC0071,1999,Hampshire,65
LeavingRightT,1999440RC0557,1999,Portsmouth,22
LeavingRightT,1999440TW0160,1999,Hampshire,10
LeavingRightT,199945NA00022,1999,Surrey,26
LeavingRightT,199945NA00292,1999,Surrey,13
LeavingRightT,199945NA00328,1999,Surrey,20
LeavingRightT,199946NK04870,1999,Kent,
LeavingRightT,199946SK02200,1999,Kent,58
LeavingRightT,199946WK07230,1999,Kent,12
LeavingRightT,199946WL07697,1999,Kent,15
LeavingRightT,199947H003198,1999,West Sussex,14
LeavingRightT,199947N002789,1999,West Sussex,49
LeavingRightT,199947N003960,1999,West Sussex,13
LeavingRightT,199947S002579,1999,East Sussex,71
LeavingRightT,199947X002764,1999,West Sussex,33
LeavingRightT,199950A511413,1999,Cornwall and Isles of Scilly,11
LeavingRightT,199950B621405,1999,Cornwall and Isles of Scilly,11
LeavingRightT,1.99952E+12,1999,Somerset,31
LeavingRightT,1.99952E+12,1999,City of Bristol,55
LeavingRightT,1.99952E+12,1999,Bath and North East Somerset,17
LeavingRightT,1.99952E+12,1999,Somerset,36
LeavingRightT,1.99952E+12,1999,Somerset,53
LeavingRightT,1.99952E+12,1999,South Gloucestershire,85
LeavingRightT,199954CE07509,1999,Wiltshire,15
LeavingRightT,199954CT31199,1999,Wiltshire,15
LeavingRightT,199954CT80399,1999,Wiltshire,16
LeavingRightT,1999550P03128,1999,Poole,13
LeavingRightT,200001GN00366,2000,London,
LeavingRightT,200001JI00826,2000,London,8
LeavingRightT,200001TW00432,2000,London,31
LeavingRightT,200001XH00017,2000,London,18
LeavingRightT,200001XH00727,2000,London,26
LeavingRightT,200001YE00030,2000,London,15
LeavingRightT,200001ZD00337,2000,London,12
LeavingRightT,200004A031400,2000,Blackpool,13
LeavingRightT,200004A041400,2000,Lancashire,19
LeavingRightT,2.00005E+12,2000,Merseyside,16
LeavingRightT,2.00005E+12,2000,Merseyside,56
LeavingRightT,2.00005E+12,2000,Merseyside,12
LeavingRightT,2.00005E+12,2000,Merseyside,12
LeavingRightT,2.00005E+12,2000,Merseyside,70
LeavingRightT,2.00005E+12,2000,Merseyside,14
LeavingRightT,2.00007E+12,2000,Cheshire West and Chester,21
LeavingRightT,200010G179600,2000,Newcastle upon Tyne,15
LeavingRightT,200010O127200,2000,South Tyneside,18
LeavingRightT,2.00012E+12,2000,York,9
LeavingRightT,2.00013E+12,2000,Bradford,9
LeavingRightT,2.00013E+12,2000,Bradford,42
LeavingRightT,2.00013E+12,2000,Leeds,15
LeavingRightT,2.00013E+12,2000,Kirklees,9
LeavingRightT,200013BB11400,2000,Leeds,14
LeavingRightT,200014BB00456,2000,Doncaster,60
LeavingRightT,200014DD00861,2000,Barnsley,44
LeavingRightT,200016B019000,2000,North Lincolnshire,14
LeavingRightT,200016D010700,2000,Kingston Upon Hull,20
LeavingRightT,200020G058901,2000,Wolverhampton,13
LeavingRightT,200020M028801,2000,Coventry,52
LeavingRightT,200020M124201,2000,Coventry,19
LeavingRightT,2.00021E+12,2000,Staffordshire,29
LeavingRightT,200022EA13867,2000,Herefordshire,15
LeavingRightT,200022GB17203,2000,Telford and Wrekin,28
LeavingRightT,2000317A20030,2000,Nottinghamshire,14
LeavingRightT,2000317A20620,2000,Nottinghamshire,21
LeavingRightT,2000317D21181,2000,Nottinghamshire,32
LeavingRightT,2000317E80070,2000,Nottinghamshire,15
LeavingRightT,200032D006110,2000,Lincolnshire,65
LeavingRightT,2.00033E+12,2000,Leicestershire,20
LeavingRightT,2.00033E+12,2000,Leicestershire,38
LeavingRightT,2.00033E+12,2000,Leicestershire,62
LeavingRightT,2.00033E+12,2000,Leicestershire,68
LeavingRightT,2.00035E+12,2000,Cambridgeshire,12
LeavingRightT,2.00035E+12,2000,Cambridgeshire,21
LeavingRightT,2.00035E+12,2000,Cambridgeshire,29
LeavingRightT,2.00035E+12,2000,Peterborough,16
LeavingRightT,200036K001504,2000,Norfolk,51
LeavingRightT,200037G006627,2000,Suffolk,24
LeavingRightT,200037G007362,2000,Suffolk,17
LeavingRightT,20004100F0070,2000,Hertfordshire,7
LeavingRightT,20004100F0338,2000,Hertfordshire,13
LeavingRightT,20004200C0536,2000,Essex,19
LeavingRightT,20004200E0536,2000,Essex,
LeavingRightT,20004200F0677,2000,Thurrock,24
LeavingRightT,20004200H0601,2000,Southend on Sea,
LeavingRightT,200043N230070,2000,Buckinghamshire,
LeavingRightT,200043P093060,2000,Oxfordshire,29
LeavingRightT,200043P099110,2000,Oxfordshire,14
LeavingRightT,200043P111060,2000,Oxfordshire,11
LeavingRightT,200043P201050,2000,Oxfordshire,18
LeavingRightT,200043P249090,2000,Oxfordshire,23
LeavingRightT,200043W168090,2000,West Berkshire,10
LeavingRightT,200043W511080,2000,Wokingham,38
LeavingRightT,200043W805110,2000,Wokingham,44
LeavingRightT,2000440DH0095,2000,Hampshire,13
LeavingRightT,2000440DT0239,2000,Hampshire,15
LeavingRightT,2000440DW0322,2000,Hampshire,54
LeavingRightT,2000440GG0104,2000,Hampshire,14
LeavingRightT,2000440HF0466,2000,Hampshire,42
LeavingRightT,2000440JH0537,2000,Hampshire,17
LeavingRightT,2000440RF0051,2000,Portsmouth,34
LeavingRightT,2000440ST0531,2000,Southampton ,62
LeavingRightT,2000440SY0376,2000,Southampton ,13
LeavingRightT,2000440SY0632,2000,Southampton ,18
LeavingRightT,200045NS00279,2000,Surrey,19
