Scenario,urn,accyr,LAName,Age
LeavingRightTCar,199901CD00013,1999,London,27
LeavingRightTCar,199901DP00075,1999,London,28
LeavingRightTCar,199901DP00116,1999,London,30
LeavingRightTCar,199901EK00086,1999,London,29
LeavingRightTCar,199901GN00612,1999,London,17
LeavingRightTCar,199901JL00016,1999,London,37
LeavingRightTCar,199901LS00014,1999,London,
LeavingRightTCar,199901LS00367,1999,London,56
LeavingRightTCar,199901LX00646,1999,London,
LeavingRightTCar,199901MD00152,1999,London,46
LeavingRightTCar,199901MS00374,1999,London,47
LeavingRightTCar,199901NH00105,1999,London,21
LeavingRightTCar,199901PD00320,1999,London,41
LeavingRightTCar,199901PL00088,1999,London,
LeavingRightTCar,199901PY00346,1999,London,32
LeavingRightTCar,199901PY01435,1999,London,
LeavingRightTCar,199901VK00154,1999,London,27
LeavingRightTCar,199901WA00054,1999,London,34
LeavingRightTCar,199901WW00246,1999,London,
LeavingRightTCar,199901WW00323,1999,London,16
LeavingRightTCar,199901XD00344,1999,London,25
LeavingRightTCar,199901XD00768,1999,London,21
LeavingRightTCar,199901ZD00601,1999,London,17
LeavingRightTCar,199901ZN00047,1999,London,18
LeavingRightTCar,199901ZN00054,1999,London,14
LeavingRightTCar,1.99905E+12,1999,Merseyside,12
LeavingRightTCar,1.99905E+12,1999,Merseyside,6
LeavingRightTCar,1.99905E+12,1999,Merseyside,14
LeavingRightTCar,199906C007816,1999,Manchester,25
LeavingRightTCar,199906C603999,1999,Manchester,36
LeavingRightTCar,199906F004865,1999,Salford,11
LeavingRightTCar,199906K005104,1999,Bolton,9
LeavingRightTCar,199906L006430,1999,Wigan,40
LeavingRightTCar,1999079A21276,1999,Cheshire West and Chester,8
LeavingRightTCar,1.99912E+12,1999,North Yorkshire,26
LeavingRightTCar,199913AA06799,1999,Leeds,36
LeavingRightTCar,199913AA37699,1999,Leeds,30
LeavingRightTCar,199913AA47699,1999,Leeds,12
LeavingRightTCar,199913AA48199,1999,Leeds,41
LeavingRightTCar,199913AC17599,1999,Leeds,38
LeavingRightTCar,199913AC33699,1999,Leeds,31
LeavingRightTCar,199913BA20199,1999,Leeds,31
LeavingRightTCar,199913BA34899,1999,Leeds,26
LeavingRightTCar,199913CA19499,1999,Leeds,44
LeavingRightTCar,199913CA34099,1999,Leeds,34
LeavingRightTCar,199913CB08799,1999,Leeds,17
LeavingRightTCar,199913DA19999,1999,Wakefield,40
LeavingRightTCar,199913DA21599,1999,Wakefield,17
LeavingRightTCar,199913DC15899,1999,Wakefield,10
LeavingRightTCar,199913EA61799,1999,Kirklees,21
LeavingRightTCar,199914AA00061,1999,Doncaster,52
LeavingRightTCar,199914BB00230,1999,Doncaster,42
LeavingRightTCar,199914FF00741,1999,Rotherham,19
LeavingRightTCar,199914HH01343,1999,Sheffield,29
LeavingRightTCar,199914JJ01334,1999,Sheffield,50
LeavingRightTCar,199914KK00905,1999,Sheffield,23
LeavingRightTCar,199916A006999,1999,North East Lincolnshire,40
LeavingRightTCar,199916C030299,1999,East Riding of Yorkshire,8
LeavingRightTCar,199916E043499,1999,Kingston Upon Hull,46
LeavingRightTCar,199916F019299,1999,Kingston Upon Hull,18
LeavingRightTCar,199920D282401,1999,Birmingham,31
LeavingRightTCar,199920E057801,1999,Birmingham,13
LeavingRightTCar,199920M032601,1999,Coventry,34
LeavingRightTCar,1.99922E+12,1999,Staffordshire,8
LeavingRightTCar,1.99922E+12,1999,Staffordshire,54
LeavingRightTCar,1.99922E+12,1999,Staffordshire,9
LeavingRightTCar,199922GG01502,1999,Telford and Wrekin,42
LeavingRightTCar,199930C000362,1999,Derbyshire,11
LeavingRightTCar,199932B002409,1999,Lincolnshire,30
LeavingRightTCar,199932B002919,1999,Lincolnshire,59
LeavingRightTCar,199932B013549,1999,Lincolnshire,44
LeavingRightTCar,199932C011579,1999,Lincolnshire,50
LeavingRightTCar,199932D006639,1999,Lincolnshire,8
LeavingRightTCar,1.99934E+12,1999,Leicestershire,15
LeavingRightTCar,1.99934E+12,1999,Leicestershire,8
LeavingRightTCar,1.99934E+12,1999,Leicestershire,15
LeavingRightTCar,199934NN00933,1999,Northamptonshire,7
LeavingRightTCar,1.99935E+12,1999,Peterborough,47
LeavingRightTCar,1.99935E+12,1999,Cambridgeshire,26
LeavingRightTCar,199936N991026,1999,Norfolk,48
LeavingRightTCar,199937G003769,1999,Suffolk,21
LeavingRightTCar,199937L003675,1999,Suffolk,24
LeavingRightTCar,199940B010000,1999,Central Bedfordshire,43
LeavingRightTCar,199940B364599,1999,Bedford Borough Council,42
LeavingRightTCar,199940C112899,1999,Luton,
LeavingRightTCar,199940C164899,1999,Luton,24
LeavingRightTCar,199940D003600,1999,Central Bedfordshire,20
LeavingRightTCar,2.00E+122,1999,Hertfordshire,74
LeavingRightTCar,19994200A0801,1999,Essex,13
LeavingRightTCar,19994200A0892,1999,Essex,18
LeavingRightTCar,19994200B0558,1999,Essex,30
LeavingRightTCar,19994200C0182,1999,Essex,38
LeavingRightTCar,19994200C0219,1999,Essex,10
LeavingRightTCar,19994200D0340,1999,Essex,16
LeavingRightTCar,19994200E0380,1999,Essex,
LeavingRightTCar,19994200G0697,1999,Essex,57
LeavingRightTCar,19994200H0129,1999,Southend on Sea,21
LeavingRightTCar,199943N016059,1999,Buckinghamshire,26
LeavingRightTCar,199943P082049,1999,Oxfordshire,
LeavingRightTCar,199943P228099,1999,Oxfordshire,72
LeavingRightTCar,199943P336059,1999,Oxfordshire,28
LeavingRightTCar,199943P462089,1999,Oxfordshire,43
LeavingRightTCar,1999440DW0105,1999,Hampshire,24
LeavingRightTCar,1999440JH0616,1999,Hampshire,20
LeavingRightTCar,1999440JW0319,1999,Hampshire,11
LeavingRightTCar,1999440KS0734,1999,Portsmouth,20
LeavingRightTCar,1999440KS0961,1999,Portsmouth,44
LeavingRightTCar,1999440RF0022,1999,Portsmouth,32
LeavingRightTCar,1999440RF0134,1999,Portsmouth,55
LeavingRightTCar,1999440RF0170,1999,Portsmouth,54
LeavingRightTCar,1999440RF0467,1999,Portsmouth,22
LeavingRightTCar,1999440RF0706,1999,Portsmouth,42
LeavingRightTCar,1999440SP0030,1999,Southampton ,40
LeavingRightTCar,1999440TB0163,1999,Southampton ,30
LeavingRightTCar,1999440ZD0393,1999,Isle of Wight,11
LeavingRightTCar,199945ER00040,1999,Surrey,15
LeavingRightTCar,199945ER00185,1999,Surrey,20
LeavingRightTCar,199945NA00341,1999,Surrey,31
LeavingRightTCar,199945NC00426,1999,Surrey,
LeavingRightTCar,199945WG00590,1999,Surrey,24
LeavingRightTCar,199946CT03755,1999,Kent,50
LeavingRightTCar,199946MA08414,1999,Kent,42
LeavingRightTCar,199946ME08718,1999,Medway,16
LeavingRightTCar,199946SW05393,1999,Kent,48
LeavingRightTCar,199946SW09156,1999,Kent,16
LeavingRightTCar,199946TH01069,1999,Kent,22
LeavingRightTCar,199946WK04089,1999,Kent,44
LeavingRightTCar,199946WK04664,1999,Kent,17
LeavingRightTCar,199946WL06317,1999,Kent,
LeavingRightTCar,199946WL08764,1999,Kent,27
LeavingRightTCar,199947C004475,1999,Brighton and Hove,25
LeavingRightTCar,199947C004572,1999,Brighton and Hove,20
LeavingRightTCar,199947H002321,1999,West Sussex,
LeavingRightTCar,199947N004068,1999,West Sussex,44
LeavingRightTCar,199947S003220,1999,East Sussex,52
LeavingRightTCar,199947S003353,1999,East Sussex,10
LeavingRightTCar,199947X002188,1999,West Sussex,
LeavingRightTCar,199947X002535,1999,West Sussex,54
LeavingRightTCar,199947X003494,1999,West Sussex,11
LeavingRightTCar,199947Y001985,1999,West Sussex,62
LeavingRightTCar,199947Y003065,1999,West Sussex,51
LeavingRightTCar,199950A411848,1999,Cornwall and Isles of Scilly,12
LeavingRightTCar,199950A510890,1999,Cornwall and Isles of Scilly,30
LeavingRightTCar,199950B212843,1999,Cornwall and Isles of Scilly,30
LeavingRightTCar,199950C210135,1999,Devon,19
LeavingRightTCar,199950D214813,1999,Devon,23
LeavingRightTCar,199950D216938,1999,Devon,25
LeavingRightTCar,199950D316942,1999,Devon,44
LeavingRightTCar,199950D317203,1999,Devon,46
LeavingRightTCar,199950E510093,1999,Plymouth,35
LeavingRightTCar,199950F270722,1999,Torbay,19
LeavingRightTCar,199950F314224,1999,Torbay,42
LeavingRightTCar,199950F421887,1999,Devon,9
LeavingRightTCar,1.99952E+12,1999,South Gloucestershire,33
LeavingRightTCar,1.99952E+12,1999,City of Bristol,25
LeavingRightTCar,1.99952E+12,1999,Somerset,30
LeavingRightTCar,1.99952E+12,1999,Somerset,55
LeavingRightTCar,1.99952E+12,1999,City of Bristol,30
LeavingRightTCar,1.99952E+12,1999,City of Bristol,14
LeavingRightTCar,1.99952E+12,1999,City of Bristol,20
LeavingRightTCar,1.99952E+12,1999,Somerset,12
LeavingRightTCar,1.99952E+12,1999,City of Bristol,25
LeavingRightTCar,1.99952E+12,1999,Somerset,29
LeavingRightTCar,1.99952E+12,1999,South Gloucestershire,38
LeavingRightTCar,1.99952E+12,1999,City of Bristol,30
