Scenario,urn,accyr,LAName,Age
LeavingRoundabout,199901BS00098,1999,London,43
LeavingRoundabout,199901CP00062,1999,London,36
LeavingRoundabout,199901DM00529,1999,London,28
LeavingRoundabout,199901DM01194,1999,London,30
LeavingRoundabout,199901FH00187,1999,London,29
LeavingRoundabout,199901FH00675,1999,London,32
LeavingRoundabout,199901GD00001,1999,London,31
LeavingRoundabout,199901GN00453,1999,London,14
LeavingRoundabout,199901HT00050,1999,London,24
LeavingRoundabout,199901HT02103,1999,London,28
LeavingRoundabout,199901KF00513,1999,London,21
LeavingRoundabout,199901KG00121,1999,London,42
LeavingRoundabout,199901KG00557,1999,London,27
LeavingRoundabout,199901KO00096,1999,London,17
LeavingRoundabout,199901KO00129,1999,London,47
LeavingRoundabout,199901LS00071,1999,London,43
LeavingRoundabout,199901LS00539,1999,London,26
LeavingRoundabout,199901LX00447,1999,London,26
LeavingRoundabout,199901MD00010,1999,London,53
LeavingRoundabout,199901MD00019,1999,London,37
LeavingRoundabout,199901MD00085,1999,London,57
LeavingRoundabout,199901MD00097,1999,London,25
LeavingRoundabout,199901MD00137,1999,London,23
LeavingRoundabout,199901MD00286,1999,London,31
LeavingRoundabout,199901MD00301,1999,London,34
LeavingRoundabout,199901MD00340,1999,London,26
LeavingRoundabout,199901MD00452,1999,London,20
LeavingRoundabout,199901MD00646,1999,London,25
LeavingRoundabout,199901MS00318,1999,London,25
LeavingRoundabout,199901NI00408,1999,London,31
LeavingRoundabout,199901NI00685,1999,London,44
LeavingRoundabout,199901PY00480,1999,London,41
LeavingRoundabout,199901PY00490,1999,London,34
LeavingRoundabout,199901PY01185,1999,London,56
LeavingRoundabout,199901PY01204,1999,London,13
LeavingRoundabout,199901QA00247,1999,London,47
LeavingRoundabout,199901QA00268,1999,London,30
LeavingRoundabout,199901QA00484,1999,London,
LeavingRoundabout,199901QA00563,1999,London,35
LeavingRoundabout,199901QA00632,1999,London,24
LeavingRoundabout,199901RA00023,1999,London,50
LeavingRoundabout,199901RY00097,1999,London,17
LeavingRoundabout,199901RY00318,1999,London,37
LeavingRoundabout,199901RY00491,1999,London,28
LeavingRoundabout,199901RY00798,1999,London,27
LeavingRoundabout,199901SA00152,1999,Hertfordshire,66
LeavingRoundabout,199901SC00293,1999,London,36
LeavingRoundabout,199901SC00733,1999,London,27
LeavingRoundabout,199901SC00835,1999,London,64
LeavingRoundabout,199901SC01120,1999,London,11
LeavingRoundabout,199901SC01582,1999,London,34
LeavingRoundabout,199901TG00224,1999,Surrey,55
LeavingRoundabout,199901TG00416,1999,Surrey,38
LeavingRoundabout,199901TG09029,1999,Surrey,16
LeavingRoundabout,199901TW00032,1999,London,26
LeavingRoundabout,199901TW00108,1999,London,31
LeavingRoundabout,199901TW00353,1999,London,13
LeavingRoundabout,199901TX00278,1999,London,49
LeavingRoundabout,199901TX00744,1999,London,41
LeavingRoundabout,199901TX01111,1999,London,42
LeavingRoundabout,199901TX09003,1999,London,
LeavingRoundabout,199901VK00519,1999,London,35
LeavingRoundabout,199901VW00132,1999,London,15
LeavingRoundabout,199901VW00217,1999,London,36
LeavingRoundabout,199901VW00294,1999,London,35
LeavingRoundabout,199901VW00515,1999,London,
LeavingRoundabout,199901VW00531,1999,London,28
LeavingRoundabout,199901XD00145,1999,London,45
LeavingRoundabout,199901XH00963,1999,London,20
LeavingRoundabout,199901XH01122,1999,London,15
LeavingRoundabout,199901XH01176,1999,London,15
LeavingRoundabout,199901YE00335,1999,London,43
LeavingRoundabout,199901YE00720,1999,London,34
LeavingRoundabout,199901ZD00631,1999,London,22
LeavingRoundabout,199901ZN00094,1999,London,41
LeavingRoundabout,199901ZN00900,1999,London,46
LeavingRoundabout,199901ZP00359,1999,London,38
LeavingRoundabout,1.99903E+12,1999,Cumbria,36
LeavingRoundabout,199904A056199,1999,Blackpool,39
LeavingRoundabout,199904B000999,1999,Lancashire,17
LeavingRoundabout,199904B009199,1999,Lancashire,12
LeavingRoundabout,199904B077099,1999,Lancashire,13
LeavingRoundabout,199904B081599,1999,Lancashire,39
LeavingRoundabout,199904B081899,1999,Lancashire,43
LeavingRoundabout,199904C006799,1999,Lancashire,25
LeavingRoundabout,199904C099099,1999,Lancashire,25
LeavingRoundabout,199904E072699,1999,Blackburn with Darwen,22
LeavingRoundabout,199904F022999,1999,Lancashire,42
LeavingRoundabout,199904F055499,1999,Lancashire,22
LeavingRoundabout,199904F080699,1999,Lancashire,27
LeavingRoundabout,1.99905E+12,1999,Merseyside,39
LeavingRoundabout,1.99905E+12,1999,Merseyside,35
LeavingRoundabout,1.99905E+12,1999,Merseyside,54
LeavingRoundabout,1.99905E+12,1999,Merseyside,34
LeavingRoundabout,1.99905E+12,1999,Merseyside,52
LeavingRoundabout,1.99905E+12,1999,Merseyside,36
LeavingRoundabout,1.99905E+12,1999,Merseyside,39
LeavingRoundabout,1.99905E+12,1999,Merseyside,39
LeavingRoundabout,1.99905E+12,1999,Merseyside,42
LeavingRoundabout,199906A004768,1999,Manchester,32
LeavingRoundabout,199906C008879,1999,Manchester,20
LeavingRoundabout,199906F005087,1999,Salford,40
LeavingRoundabout,199906G318299,1999,Tameside,25
