Scenario,urn,accyr,LAName,Age
Overtaking,199901BH00226,1999,London,50
Overtaking,199901CP00014,1999,London,23
Overtaking,199901CX00195,1999,London,20
Overtaking,199901DM00079,1999,London,38
Overtaking,199901DM00710,1999,London,23
Overtaking,199901FH00582,1999,London,13
Overtaking,199901FH00806,1999,London,28
Overtaking,199901MS00489,1999,London,35
Overtaking,199901NI00469,1999,London,34
Overtaking,199901QK00158,1999,London,12
Overtaking,199901SC00905,1999,London,13
Overtaking,199901SC00911,1999,London,45
Overtaking,199901VW00385,1999,London,25
Overtaking,199901XD00193,1999,London,26
Overtaking,199901YR00592,1999,London,50
Overtaking,199901ZN00781,1999,London,16
Overtaking,199901ZP00772,1999,Surrey,52
Overtaking,1.99903E+12,1999,Cumbria,13
Overtaking,1.99905E+12,1999,Merseyside,14
Overtaking,1.99905E+12,1999,Merseyside,13
Overtaking,1999079A31563,1999,Cheshire West and Chester,34
Overtaking,1999079C11229,1999,Cheshire West and Chester,40
Overtaking,199907DUP0125,1999,Cheshire East,37
Overtaking,199910C359699,1999,Northumberland,58
Overtaking,1.99912E+12,1999,North Yorkshire,61
Overtaking,1.99912E+12,1999,York,26
Overtaking,199913BA26999,1999,Leeds,29
Overtaking,199913BA29699,1999,Leeds,14
Overtaking,199913BB26499,1999,Leeds,6
Overtaking,199913DA27899,1999,Wakefield,17
Overtaking,199913EA61099,1999,Kirklees,15
Overtaking,199914AA00670,1999,Doncaster,19
Overtaking,199916A049099,1999,North East Lincolnshire,18
Overtaking,199920G034501,1999,Wolverhampton,14
Overtaking,199920G054002,1999,Wolverhampton,53
Overtaking,199920L071201,1999,Solihull,25
Overtaking,199920L133601,1999,Solihull,35
Overtaking,1.99922E+12,1999,Stoke on Trent,39
Overtaking,1.99922E+12,1999,Stoke on Trent,20
Overtaking,1.99922E+12,1999,Staffordshire,35
Overtaking,199930A000778,1999,Derbyshire,55
Overtaking,199930B000688,1999,Derbyshire,
Overtaking,199932B006489,1999,Lincolnshire,39
Overtaking,1.99934E+12,1999,Leicestershire,
Overtaking,1.99935E+12,1999,Cambridgeshire,56
Overtaking,1.99935E+12,1999,Cambridgeshire,40
Overtaking,1.99935E+12,1999,Peterborough,14
Overtaking,1.99935E+12,1999,Cambridgeshire,25
Overtaking,1.99935E+12,1999,Cambridgeshire,25
Overtaking,1.99935E+12,1999,Cambridgeshire,18
Overtaking,199940E008299,1999,Central Bedfordshire,36
Overtaking,19994100C0286,1999,Hertfordshire,11
Overtaking,2.00E+289,1999,Hertfordshire,16
Overtaking,199943P091109,1999,Oxfordshire,
Overtaking,199943P264099,1999,Oxfordshire,28
Overtaking,199943R254089,1999,Slough,38
Overtaking,199943W144059,1999,West Berkshire,12
Overtaking,1999440HF0076,1999,Hampshire,27
Overtaking,1999440KS0555,1999,Portsmouth,16
Overtaking,1999440RF0520,1999,Portsmouth,35
Overtaking,1999440RF0680,1999,Portsmouth,73
Overtaking,1999440SP0107,1999,Southampton ,35
Overtaking,1999440YS0793,1999,Southampton ,31
Overtaking,1999440ZD0970,1999,Isle of Wight,42
Overtaking,199945WF00490,1999,Surrey,21
Overtaking,199946CT00615,1999,Kent,48
Overtaking,199946CT08168,1999,Kent,25
Overtaking,199947C003351,1999,Brighton and Hove,20
Overtaking,199947C004053,1999,Brighton and Hove,27
Overtaking,199947N003623,1999,West Sussex,51
Overtaking,199947S003465,1999,East Sussex,22
Overtaking,199950A512295,1999,Cornwall and Isles of Scilly,13
Overtaking,199950B413641,1999,Cornwall and Isles of Scilly,20
Overtaking,1.99952E+12,1999,City of Bristol,22
Overtaking,1.99952E+12,1999,Somerset,11
Overtaking,1.99952E+12,1999,City of Bristol,40
Overtaking,1.99952E+12,1999,City of Bristol,28
Overtaking,1999530AI0490,1999,Gloucestershire,17
Overtaking,1999530AI2423,1999,Gloucestershire,14
Overtaking,199954CO40699,1999,Wiltshire,29
