Scenario,urn,accyr,LAName,Age
OvertakingCar,199901AB00181,1999,London,25
OvertakingCar,199901CP00342,1999,London,28
OvertakingCar,199901DM00140,1999,London,60
OvertakingCar,199901DM01029,1999,London,31
OvertakingCar,199901DP00144,1999,London,22
OvertakingCar,199901EK00467,1999,London,33
OvertakingCar,199901EO00079,1999,London,33
OvertakingCar,199901EO00217,1999,London,30
OvertakingCar,199901FH00171,1999,London,31
OvertakingCar,199901GD00517,1999,London,59
OvertakingCar,199901HT01232,1999,London,51
OvertakingCar,199901JC00381,1999,London,24
OvertakingCar,199901KD00528,1999,London,5
OvertakingCar,199901KF00488,1999,London,59
OvertakingCar,199901LD00112,1999,London,37
OvertakingCar,199901LD00438,1999,London,33
OvertakingCar,199901LX00460,1999,London,
OvertakingCar,199901MM00298,1999,London,19
OvertakingCar,199901MM00305,1999,London,37
OvertakingCar,199901MS00187,1999,London,57
OvertakingCar,199901MS00393,1999,London,31
OvertakingCar,199901NI00664,1999,London,32
OvertakingCar,199901NI00681,1999,London,30
OvertakingCar,199901PD00385,1999,London,18
OvertakingCar,199901PL00198,1999,London,17
OvertakingCar,199901PL00754,1999,London,34
OvertakingCar,199901PY01123,1999,London,12
OvertakingCar,199901RX00002,1999,London,31
OvertakingCar,199901RY00343,1999,London,44
OvertakingCar,199901TW00423,1999,London,22
OvertakingCar,199901XD00139,1999,London,13
OvertakingCar,199901YT00009,1999,London,15
OvertakingCar,199901ZP00804,1999,Surrey,18
OvertakingCar,199901ZP00855,1999,Surrey,52
OvertakingCar,1.99903E+12,1999,Cumbria,15
OvertakingCar,1.99903E+12,1999,Cumbria,17
OvertakingCar,1.99903E+12,1999,Cumbria,29
OvertakingCar,1.99903E+12,1999,Cumbria,10
OvertakingCar,1.99903E+12,1999,Cumbria,14
OvertakingCar,199904B016899,1999,Lancashire,33
OvertakingCar,199904B043899,1999,Lancashire,11
OvertakingCar,199904C004699,1999,Lancashire,63
OvertakingCar,199904C006899,1999,Lancashire,36
OvertakingCar,199904C032699,1999,Lancashire,45
OvertakingCar,199904C070299,1999,Lancashire,34
OvertakingCar,199904D051399,1999,Lancashire,9
OvertakingCar,199904E039499,1999,Blackburn with Darwen,13
OvertakingCar,1.99905E+12,1999,Merseyside,30
OvertakingCar,1.99905E+12,1999,Merseyside,29
OvertakingCar,1.99905E+12,1999,Merseyside,34
OvertakingCar,1.99905E+12,1999,Merseyside,24
OvertakingCar,1.99905E+12,1999,Merseyside,30
OvertakingCar,1.99905E+12,1999,Merseyside,28
OvertakingCar,199906A005029,1999,Manchester,13
OvertakingCar,199906C007151,1999,Manchester,78
OvertakingCar,199906F004647,1999,Salford,10
OvertakingCar,199906M004770,1999,Trafford,60
OvertakingCar,199906N255799,1999,Bury,50
OvertakingCar,1999079A11340,1999,Cheshire East,31
OvertakingCar,1999079B41355,1999,Halton,30
OvertakingCar,199910G309499,1999,North Tyneside,61
OvertakingCar,199910H313599,1999,North Tyneside,42
OvertakingCar,199910I196899,1999,North Tyneside,32
OvertakingCar,199910I383899,1999,North Tyneside,46
OvertakingCar,1999119BD0292,1999,Durham,40
OvertakingCar,1999119BD3369,1999,Durham,14
OvertakingCar,1999119BF1646,1999,Durham,34
OvertakingCar,1999119DC1647,1999,Durham,26
OvertakingCar,1.99912E+12,1999,North Yorkshire,9
OvertakingCar,1.99912E+12,1999,North Yorkshire,22
OvertakingCar,1.99912E+12,1999,North Yorkshire,72
OvertakingCar,199913AA30699,1999,Leeds,24
OvertakingCar,199913AA30999,1999,Leeds,26
OvertakingCar,199913AA34199,1999,Leeds,29
OvertakingCar,199913BB00599,1999,Leeds,23
OvertakingCar,199913CB31199,1999,Leeds,29
OvertakingCar,199913DA15599,1999,Wakefield,46
OvertakingCar,199913DA47399,1999,Wakefield,13
OvertakingCar,199913DC23799,1999,Wakefield,13
OvertakingCar,199913DC27899,1999,Wakefield,40
OvertakingCar,199913DC32899,1999,Wakefield,10
OvertakingCar,199913DC42899,1999,Wakefield,21
OvertakingCar,199913DC43299,1999,Wakefield,31
OvertakingCar,199913EA24899,1999,Kirklees,20
OvertakingCar,199913EA32599,1999,Kirklees,6
OvertakingCar,199913EA52099,1999,Kirklees,25
OvertakingCar,199913EA81699,1999,Kirklees,20
OvertakingCar,199913EC10099,1999,Kirklees,17
OvertakingCar,199914BB00221,1999,Doncaster,20
OvertakingCar,199914EE00913,1999,Barnsley,22
OvertakingCar,199914FF01075,1999,Rotherham,54
OvertakingCar,199914GG00444,1999,Rotherham,25
OvertakingCar,199914GG00673,1999,Rotherham,13
OvertakingCar,199914JJ00864,1999,Sheffield,32
OvertakingCar,199914KK00794,1999,Sheffield,5
OvertakingCar,199914KK01112,1999,Sheffield,38
OvertakingCar,199916A006699,1999,North East Lincolnshire,14
OvertakingCar,199916A012999,1999,North East Lincolnshire,21
OvertakingCar,199916A018999,1999,North East Lincolnshire,8
OvertakingCar,199916A025599,1999,North East Lincolnshire,7
OvertakingCar,199916C008499,1999,East Riding of Yorkshire,47
OvertakingCar,199916C036199,1999,East Riding of Yorkshire,6
OvertakingCar,199916C052299,1999,East Riding of Yorkshire,37
OvertakingCar,199916C071099,1999,East Riding of Yorkshire,21
OvertakingCar,199916D020499,1999,East Riding of Yorkshire,15
OvertakingCar,199916D023899,1999,Kingston Upon Hull,7
OvertakingCar,199916E009899,1999,Kingston Upon Hull,15
OvertakingCar,199916E040999,1999,East Riding of Yorkshire,12
OvertakingCar,199916F000499,1999,Kingston Upon Hull,42
OvertakingCar,199917H100098,1999,Hartlepool,14
OvertakingCar,199920D176501,1999,Birmingham,9
OvertakingCar,199920D246901,1999,Birmingham,28
OvertakingCar,199920F009101,1999,Birmingham,59
OvertakingCar,199920G053902,1999,Wolverhampton,7
OvertakingCar,199920G097702,1999,Wolverhampton,26
OvertakingCar,199920H063501,1999,Walsall,24
OvertakingCar,199920H100302,1999,Walsall,30
OvertakingCar,199920J036201,1999,Dudley,36
OvertakingCar,199920J060501,1999,Dudley,28
OvertakingCar,199920K050202,1999,Sandwell,12
OvertakingCar,199920K112501,1999,Sandwell,14
OvertakingCar,199920K114802,1999,Sandwell,31
OvertakingCar,199920M124901,1999,Coventry,10
OvertakingCar,199920M213101,1999,Coventry,45
OvertakingCar,1.99922E+12,1999,Staffordshire,22
OvertakingCar,1.99922E+12,1999,Staffordshire,23
OvertakingCar,1.99922E+12,1999,Staffordshire,
OvertakingCar,1.99922E+12,1999,Staffordshire,35
OvertakingCar,1.99922E+12,1999,Staffordshire,44
OvertakingCar,1.99922E+12,1999,Staffordshire,18
OvertakingCar,1.99922E+12,1999,Staffordshire,15
OvertakingCar,1.99922E+12,1999,Staffordshire,32
OvertakingCar,1.99922E+12,1999,Staffordshire,29
OvertakingCar,1.99922E+12,1999,Staffordshire,12
OvertakingCar,199922AB10727,1999,Worcestershire,10
OvertakingCar,199922BR02385,1999,Worcestershire,17
OvertakingCar,199922CA11550,1999,Worcestershire,12
OvertakingCar,199922CE00856,1999,Worcestershire,11
OvertakingCar,199922CMO3255,1999,Worcestershire,67
OvertakingCar,199922CV01468,1999,Worcestershire,9
OvertakingCar,199922FA12987,1999,Shropshire,17
OvertakingCar,199922FG11263,1999,Shropshire,14
OvertakingCar,199922GB11016,1999,Telford and Wrekin,13
OvertakingCar,199922GF01064,1999,Telford and Wrekin,14
OvertakingCar,199922GV02664,1999,Shropshire,30
OvertakingCar,1.99924E+12,1999,Warwickshire,59
OvertakingCar,1.99924E+12,1999,Warwickshire,31
OvertakingCar,1.99924E+12,1999,Warwickshire,32
OvertakingCar,1.99924E+12,1999,Warwickshire,29
OvertakingCar,1.99924E+12,1999,Warwickshire,
OvertakingCar,1.99924E+12,1999,Warwickshire,34
OvertakingCar,1.99924E+12,1999,Warwickshire,16
OvertakingCar,1.99924E+12,1999,Warwickshire,23
OvertakingCar,1.99924E+12,1999,Warwickshire,25
OvertakingCar,1999309B00093,1999,Derbyshire,49
OvertakingCar,199930D000832,1999,Derby,14
OvertakingCar,199930D001012,1999,Derby,49
OvertakingCar,1999317A20340,1999,Nottinghamshire,8
OvertakingCar,1999317A20541,1999,Nottinghamshire,49
OvertakingCar,1999317A20900,1999,Nottinghamshire,40
OvertakingCar,1999317B20840,1999,Nottingham,39
OvertakingCar,1999317B21491,1999,Nottingham,9
OvertakingCar,1999317B41770,1999,Nottingham,5
OvertakingCar,1999317B41972,1999,Nottingham,32
OvertakingCar,1999317B42293,1999,Nottingham,38
OvertakingCar,1999317C41786,1999,Nottinghamshire,12
OvertakingCar,1999317D20999,1999,Nottinghamshire,50
OvertakingCar,1999317D41555,1999,Nottinghamshire,32
OvertakingCar,1999317E20824,1999,Nottinghamshire,50
OvertakingCar,1999317E20951,1999,Nottinghamshire,7
OvertakingCar,1999317E80690,1999,Nottinghamshire,27
OvertakingCar,199932B007899,1999,Lincolnshire,47
OvertakingCar,199932B008309,1999,Lincolnshire,15
OvertakingCar,199932C001899,1999,Lincolnshire,41
OvertakingCar,1.99934E+12,1999,Leicestershire,84
OvertakingCar,1.99934E+12,1999,Leicestershire,41
OvertakingCar,1.99934E+12,1999,Leicestershire,28
OvertakingCar,1.99934E+12,1999,Leicestershire,45
OvertakingCar,1.99934E+12,1999,Leicestershire,36
OvertakingCar,1.99934E+12,1999,Leicestershire,20
OvertakingCar,1.99934E+12,1999,Leicestershire,14
OvertakingCar,1.99934E+12,1999,Leicestershire,26
OvertakingCar,1.99934E+12,1999,Leicestershire,9
OvertakingCar,1.99934E+12,1999,Leicestershire,25
OvertakingCar,1.99934E+12,1999,Leicestershire,48
OvertakingCar,1.99934E+12,1999,Leicestershire,23
OvertakingCar,1.99934E+12,1999,Leicestershire,15
OvertakingCar,199934NN00034,1999,Northamptonshire,32
OvertakingCar,199934NN00687,1999,Northamptonshire,15
OvertakingCar,199934NW00140,1999,Northamptonshire,13
OvertakingCar,199934NW00426,1999,Northamptonshire,59
OvertakingCar,1.99935E+12,1999,Cambridgeshire,22
OvertakingCar,1.99935E+12,1999,Cambridgeshire,22
OvertakingCar,1.99935E+12,1999,Peterborough,32
OvertakingCar,1.99935E+12,1999,Cambridgeshire,31
OvertakingCar,1.99935E+12,1999,Cambridgeshire,12
OvertakingCar,1.99935E+12,1999,Cambridgeshire,31
OvertakingCar,1.99935E+12,1999,Cambridgeshire,46
OvertakingCar,1.99935E+12,1999,Peterborough,45
OvertakingCar,1.99935E+12,1999,Peterborough,16
OvertakingCar,1.99935E+12,1999,Cambridgeshire,26
OvertakingCar,1.99935E+12,1999,Cambridgeshire,22
OvertakingCar,1.99935E+12,1999,Peterborough,46
OvertakingCar,199936G990454,1999,Norfolk,42
OvertakingCar,199936G990538,1999,Norfolk,38
OvertakingCar,199936G990690,1999,Norfolk,18
OvertakingCar,199936G990711,1999,Norfolk,77
OvertakingCar,199936K990577,1999,Norfolk,21
OvertakingCar,199936K990630,1999,Norfolk,17
OvertakingCar,199936K990858,1999,Norfolk,6
OvertakingCar,199936K991112,1999,Norfolk,10
