Scenario,urn,accyr,LAName,Age
OvertakingCrossroads,199901LX00851,1999,London,31
OvertakingCrossroads,199901LX01010,1999,London,34
OvertakingCrossroads,199901MS00271,1999,London,18
OvertakingCrossroads,199901PY01520,1999,London,50
OvertakingCrossroads,199901QK00548,1999,London,
OvertakingCrossroads,199901SC00065,1999,London,12
OvertakingCrossroads,199901TX00285,1999,London,19
OvertakingCrossroads,1.99905E+12,1999,Merseyside,53
OvertakingCrossroads,199906J404899,1999,Stockport,21
OvertakingCrossroads,199913EC36199,1999,Kirklees,28
OvertakingCrossroads,199914HH00985,1999,Sheffield,34
OvertakingCrossroads,199943R114039,1999,Windsor and Maidenhead,15
OvertakingCrossroads,199947C004163,1999,Brighton and Hove,27
OvertakingCrossroads,199947C005976,1999,Brighton and Hove,28
OvertakingCrossroads,199947H003084,1999,West Sussex,30
OvertakingCrossroads,1999530AI4678,1999,Gloucestershire,39
OvertakingCrossroads,200001BS00157,2000,London,23
OvertakingCrossroads,200001GD00661,2000,London,37
OvertakingCrossroads,200001QA00265,2000,London,34
OvertakingCrossroads,200001WW00639,2000,London,29
OvertakingCrossroads,200001YR00541,2000,London,53
OvertakingCrossroads,200006A008137,2000,Manchester,41
OvertakingCrossroads,200006C012361,2000,Manchester,20
OvertakingCrossroads,200006K007847,2000,Bolton,21
OvertakingCrossroads,200020G009702,2000,Wolverhampton,55
OvertakingCrossroads,2.00035E+12,2000,Peterborough,
OvertakingCrossroads,2000440SY0577,2000,Southampton ,26
OvertakingCrossroads,200101BS00588,2001,London,34
OvertakingCrossroads,200101DM02391,2001,London,28
OvertakingCrossroads,200101DM02496,2001,London,27
OvertakingCrossroads,200101FH00704,2001,London,24
OvertakingCrossroads,200101FH00885,2001,London,34
OvertakingCrossroads,200101VW00297,2001,London,32
OvertakingCrossroads,200104B061701,2001,Lancashire,12
OvertakingCrossroads,200106Q007924,2001,Oldham,50
OvertakingCrossroads,200116A060701,2001,North East Lincolnshire,21
OvertakingCrossroads,200120F123801,2001,Birmingham,30
OvertakingCrossroads,200120F182601,2001,Birmingham,21
OvertakingCrossroads,2001550B06375,2001,Bournemouth,21
OvertakingCrossroads,200201BS00593,2002,London,29
OvertakingCrossroads,200201CP00265,2002,London,29
OvertakingCrossroads,200201DM00413,2002,London,25
OvertakingCrossroads,200201DM01355,2002,London,24
OvertakingCrossroads,200201DM01358,2002,London,28
OvertakingCrossroads,200201GD00663,2002,London,52
OvertakingCrossroads,200201KO00602,2002,London,38
OvertakingCrossroads,200201MM00205,2002,London,29
OvertakingCrossroads,200201MM00889,2002,London,36
OvertakingCrossroads,200201MM01088,2002,London,33
OvertakingCrossroads,200206A011825,2002,Manchester,37
OvertakingCrossroads,200206F011181,2002,Salford,47
OvertakingCrossroads,200206M009211,2002,Trafford,25
OvertakingCrossroads,200214JJ01297,2002,Sheffield,73
OvertakingCrossroads,200220E203103,2002,Birmingham,21
OvertakingCrossroads,2002530AI2395,2002,Gloucestershire,25
OvertakingCrossroads,200301DM00296,2003,London,35
OvertakingCrossroads,200301DM00313,2003,London,26
OvertakingCrossroads,200301JI00168,2003,London,50
OvertakingCrossroads,200301TE00426,2003,London,40
OvertakingCrossroads,200304E021703,2003,Blackburn with Darwen,36
OvertakingCrossroads,200305BS01709,2003,Merseyside,19
OvertakingCrossroads,200305ET01777,2003,Merseyside,12
OvertakingCrossroads,200306C021992,2003,Manchester,60
OvertakingCrossroads,200306C023125,2003,Manchester,22
OvertakingCrossroads,200306F013500,2003,Salford,23
OvertakingCrossroads,2.00307E+12,2003,Cheshire West and Chester,37
OvertakingCrossroads,200314II00100,2003,Sheffield,35
OvertakingCrossroads,200320F231201,2003,Birmingham,38
OvertakingCrossroads,200322CF37460,2003,Worcestershire,36
OvertakingCrossroads,2003440KK1114,2003,Portsmouth,51
OvertakingCrossroads,2003440KK2330,2003,Portsmouth,53
OvertakingCrossroads,200346SK81964,2003,Kent,56
OvertakingCrossroads,200347K166062,2003,East Sussex,13
OvertakingCrossroads,2.00352E+12,2003,South Gloucestershire,30
OvertakingCrossroads,2.00352E+12,2003,City of Bristol,20
OvertakingCrossroads,200401BS00152,2004,London,58
OvertakingCrossroads,200401CP00234,2004,London,26
OvertakingCrossroads,200401GD00210,2004,London,27
OvertakingCrossroads,200401HT00268,2004,London,38
OvertakingCrossroads,200401HT00307,2004,London,
OvertakingCrossroads,200401HT00707,2004,London,57
OvertakingCrossroads,200401MM70561,2004,London,25
OvertakingCrossroads,200401RG40381,2004,London,31
OvertakingCrossroads,200406A913971,2004,Salford,13
OvertakingCrossroads,200406J908006,2004,Stockport,16
OvertakingCrossroads,200414BB00640,2004,Barnsley,
OvertakingCrossroads,2004160A02360,2004,North East Lincolnshire,51
OvertakingCrossroads,2004160B05110,2004,North Lincolnshire,24
OvertakingCrossroads,2004170M13784,2004,Middlesbrough,14
OvertakingCrossroads,2.00435E+12,2004,Cambridgeshire,26
OvertakingCrossroads,2.00436E+12,2004,Norfolk,25
OvertakingCrossroads,2004400B00830,2004,Bedford Borough Council,31
OvertakingCrossroads,20044200H0297,2004,Southend on Sea,
OvertakingCrossroads,2.00452E+12,2004,City of Bristol,62
OvertakingCrossroads,2004530AI0802,2004,Gloucestershire,55
OvertakingCrossroads,2004530AI2356,2004,Gloucestershire,50
OvertakingCrossroads,200501EO00088,2005,London,
OvertakingCrossroads,200501EO40741,2005,London,34
OvertakingCrossroads,200501EO40893,2005,London,30
OvertakingCrossroads,200501LX50548,2005,London,36
OvertakingCrossroads,200501LX51381,2005,London,29
OvertakingCrossroads,200501MM71134,2005,London,48
OvertakingCrossroads,200506B029801,2005,Manchester,34
OvertakingCrossroads,2.00512E+12,2005,York,25
OvertakingCrossroads,2005170M10685,2005,Middlesbrough,34
OvertakingCrossroads,2.00535E+12,2005,Cambridgeshire,31
OvertakingCrossroads,20054100F4525,2005,Hertfordshire,55
OvertakingCrossroads,2.00547E+12,2005,Brighton and Hove,29
OvertakingCrossroads,2.00552E+12,2005,City of Bristol,25
OvertakingCrossroads,2.00552E+12,2005,City of Bristol,18
OvertakingCrossroads,200601CP00249,2006,London,28
