Scenario,urn,accyr,LAName,Age
OvertakingCrossroadsCar,199901LD00517,1999,London,31
OvertakingCrossroadsCar,199901TW00459,1999,London,
OvertakingCrossroadsCar,199901WW00661,1999,London,30
OvertakingCrossroadsCar,199901YR00672,1999,London,21
OvertakingCrossroadsCar,1.99905E+12,1999,Merseyside,26
OvertakingCrossroadsCar,1.99905E+12,1999,Merseyside,35
OvertakingCrossroadsCar,199906A006157,1999,Manchester,45
OvertakingCrossroadsCar,199906L006593,1999,Wigan,26
OvertakingCrossroadsCar,199906M004243,1999,Trafford,18
OvertakingCrossroadsCar,199916D031399,1999,Kingston Upon Hull,51
OvertakingCrossroadsCar,1.99924E+12,1999,Warwickshire,16
OvertakingCrossroadsCar,1.99924E+12,1999,Warwickshire,12
OvertakingCrossroadsCar,1999317B21521,1999,Nottingham,47
OvertakingCrossroadsCar,1999317C20492,1999,Nottingham,42
OvertakingCrossroadsCar,199932C000429,1999,Lincolnshire,59
OvertakingCrossroadsCar,1999440HB0202,1999,Hampshire,68
OvertakingCrossroadsCar,200001BS00341,2000,London,56
OvertakingCrossroadsCar,200001DM00894,2000,London,30
OvertakingCrossroadsCar,200001EK01144,2000,London,
OvertakingCrossroadsCar,200001GD00477,2000,London,27
OvertakingCrossroadsCar,200001NI01425,2000,London,35
OvertakingCrossroadsCar,200001TX00698,2000,London,35
OvertakingCrossroadsCar,200001XS01320,2000,London,51
OvertakingCrossroadsCar,200004F050400,2000,Lancashire,10
OvertakingCrossroadsCar,2.00005E+12,2000,Merseyside,28
OvertakingCrossroadsCar,200006L007312,2000,Wigan,20
OvertakingCrossroadsCar,2.00013E+12,2000,Bradford,17
OvertakingCrossroadsCar,2000317D40357,2000,Nottinghamshire,12
OvertakingCrossroadsCar,2.00033E+12,2000,Leicestershire,20
OvertakingCrossroadsCar,200043W047110,2000,Reading,28
OvertakingCrossroadsCar,2000440OC0433,2000,Hampshire,38
OvertakingCrossroadsCar,200050F313765,2000,Torbay,22
