Scenario,urn,accyr,LAName,Age
OvertakingPrivate,2001530AI0793,2001,Gloucestershire,38
OvertakingPrivate,200201KG00583,2002,London,11
OvertakingPrivate,200201KO00562,2002,London,75
OvertakingPrivate,200201WW00662,2002,London,70
OvertakingPrivate,2.00252E+12,2002,South Gloucestershire,10
OvertakingPrivate,200301HT00396,2003,London,34
OvertakingPrivate,200301YE00443,2003,London,21
OvertakingPrivate,200304A049903,2003,Lancashire,15
OvertakingPrivate,200304D059603,2003,Lancashire,47
OvertakingPrivate,200401CP00105,2004,London,27
OvertakingPrivate,20044200C0800,2004,Essex,39
OvertakingPrivate,2.00535E+12,2005,Cambridgeshire,31
OvertakingPrivate,200543W046025,2005,Reading,34
OvertakingPrivate,2.00746E+12,2007,Kent,62
OvertakingPrivate,2.00752E+12,2007,City of Bristol,25
OvertakingPrivate,20084100F4586,2008,Hertfordshire,40
OvertakingPrivate,200901GD10746,2009,London,34
OvertakingPrivate,200901MM70647,2009,London,32
OvertakingPrivate,2.00912E+12,2009,North Yorkshire,18
OvertakingPrivate,2009160C05780,2009,East Riding of Yorkshire,45
OvertakingPrivate,201005BB05287,2010,Merseyside,15
OvertakingPrivate,2.01007E+12,2010,Cheshire East,41
OvertakingPrivate,201043W238060,2010,Reading,36
OvertakingPrivate,2011201101TB00895,2011,London,48
OvertakingPrivate,2.0112E+16,2011,Hampshire,40
OvertakingPrivate,2.0112E+16,2011,Southampton ,41
OvertakingPrivate,2.0112E+16,2011,City of Bristol,29
OvertakingPrivate,2012201201PY20128,2012,London,37
OvertakingPrivate,2012201204DF12135,2012,Lancashire,65
OvertakingPrivate,2012201205BB04191,2012,Merseyside,52
OvertakingPrivate,2012201245EL70066,2012,Surrey,49
