Scenario,urn,accyr,LAName,Age
OvertakingPrivateCar,199904F050799,1999,Lancashire,18
OvertakingPrivateCar,1.99922E+12,1999,Staffordshire,44
OvertakingPrivateCar,1999317C40628,1999,Nottingham,13
OvertakingPrivateCar,199937L003012,1999,Suffolk,35
OvertakingPrivateCar,19994100F0342,1999,Hertfordshire,61
OvertakingPrivateCar,199946TH06630,1999,Kent,26
OvertakingPrivateCar,199954CT62199,1999,Wiltshire,31
OvertakingPrivateCar,200001WW00099,2000,London,18
OvertakingPrivateCar,2.00021E+12,2000,Stoke on Trent,6
OvertakingPrivateCar,200022CF14995,2000,Worcestershire,25
OvertakingPrivateCar,2000317C20906,2000,Nottinghamshire,16
OvertakingPrivateCar,200043W409060,2000,Windsor and Maidenhead,17
OvertakingPrivateCar,2.00107E+12,2001,Cheshire West and Chester,10
OvertakingPrivateCar,200117M300331,2001,Middlesbrough,45
OvertakingPrivateCar,20013102B1057,2001,Nottinghamshire,13
OvertakingPrivateCar,2.00133E+12,2001,Leicestershire,21
OvertakingPrivateCar,200146TH40889,2001,Kent,15
OvertakingPrivateCar,2001530AI1286,2001,Gloucestershire,8
OvertakingPrivateCar,2001551W05278,2001,Dorset,30
OvertakingPrivateCar,200201BS00169,2002,London,33
OvertakingPrivateCar,200201EO01697,2002,London,54
OvertakingPrivateCar,200201JI00669,2002,London,54
OvertakingPrivateCar,200214BB00986,2002,Doncaster,
OvertakingPrivateCar,2.00235E+12,2002,Cambridgeshire,
OvertakingPrivateCar,200254DH65002,2002,Swindon,29
OvertakingPrivateCar,200301YF00023,2003,London,24
OvertakingPrivateCar,2.0031E+12,2003,Newcastle upon Tyne,16
OvertakingPrivateCar,200320M016302,2003,Coventry,21
OvertakingPrivateCar,2.00321E+12,2003,Stoke on Trent,8
OvertakingPrivateCar,2.00321E+12,2003,Stoke on Trent,63
OvertakingPrivateCar,200337B017123,2003,Suffolk,23
OvertakingPrivateCar,2003553E04946,2003,Dorset,56
OvertakingPrivateCar,200401BS00068,2004,London,13
OvertakingPrivateCar,200401KG00381,2004,London,27
OvertakingPrivateCar,200404D024504,2004,Lancashire,6
OvertakingPrivateCar,2.00423E+12,2004,Warwickshire,12
OvertakingPrivateCar,2004440DR0119,2004,Hampshire,48
OvertakingPrivateCar,200446NK95803,2004,Kent,12
OvertakingPrivateCar,200501RG40440,2005,London,27
OvertakingPrivateCar,200504CH05037,2005,Lancashire,11
OvertakingPrivateCar,2.00533E+12,2005,Leicestershire,13
OvertakingPrivateCar,2.00536E+12,2005,Norfolk,30
OvertakingPrivateCar,200537L011717,2005,Suffolk,54
OvertakingPrivateCar,2.00546E+12,2005,Medway,33
OvertakingPrivateCar,200601EO41324,2006,London,37
OvertakingPrivateCar,200601XH30331,2006,London,49
OvertakingPrivateCar,200605BB11852,2006,Merseyside,63
OvertakingPrivateCar,200622CA55831,2006,Worcestershire,14
OvertakingPrivateCar,2.00652E+12,2006,South Gloucestershire,9
OvertakingPrivateCar,200750B71G730,2007,Cornwall and Isles of Scilly,14
OvertakingPrivateCar,2.00752E+12,2007,City of Bristol,24
OvertakingPrivateCar,2008170H10998,2008,Hartlepool,56
OvertakingPrivateCar,2008170L22108,2008,Redcar and Cleveland,19
OvertakingPrivateCar,200843N136108,2008,Buckinghamshire,32
OvertakingPrivateCar,200843P109108,2008,Oxfordshire,14
OvertakingPrivateCar,200843W147068,2008,West Berkshire,48
OvertakingPrivateCar,2.00933E+12,2009,Leicestershire,20
OvertakingPrivateCar,201020M002980,2010,Coventry,12
OvertakingPrivateCar,2.01033E+12,2010,Leicestershire,6
OvertakingPrivateCar,20104100A0100,2010,Hertfordshire,19
OvertakingPrivateCar,201043S046100,2010,Milton Keynes,55
OvertakingPrivateCar,201043W104060,2010,Wokingham,16
OvertakingPrivateCar,2.01044E+12,2010,Hampshire,38
OvertakingPrivateCar,2.01044E+12,2010,Hampshire,15
OvertakingPrivateCar,2010550D34569,2010,Dorset,17
OvertakingPrivateCar,2011201130D000914,2011,Derbyshire,87
OvertakingPrivateCar,2011201145MO65705,2011,Surrey,38
OvertakingPrivateCar,20122012160D00891,2012,Kingston Upon Hull,24
OvertakingPrivateCar,20122012170H11172,2012,Hartlepool,38
OvertakingPrivateCar,2.0122E+16,2012,Suffolk,30
OvertakingPrivateCar,2.0122E+16,2012,City of Bristol,30
