Scenario,urn,accyr,LAName,Age
OvertakingT,199901CX00326,1999,London,24
OvertakingT,199901FH00442,1999,London,49
OvertakingT,199901FH00744,1999,London,57
OvertakingT,199901PY01424,1999,London,37
OvertakingT,199901VK00292,1999,London,34
OvertakingT,199901VK00740,1999,London,29
OvertakingT,199901WW00320,1999,London,26
OvertakingT,199901XD00591,1999,London,28
OvertakingT,199901XS00476,1999,London,12
OvertakingT,199901YR00754,1999,London,42
OvertakingT,1.99905E+12,1999,Merseyside,51
OvertakingT,1.99905E+12,1999,Merseyside,36
OvertakingT,199906C007234,1999,Manchester,53
OvertakingT,199906C009130,1999,Manchester,38
OvertakingT,199906F395399,1999,Salford,36
OvertakingT,199906G003795,1999,Tameside,11
OvertakingT,199906M003957,1999,Trafford,46
OvertakingT,1999079C31508,1999,Cheshire West and Chester,37
OvertakingT,1.99912E+12,1999,York,39
OvertakingT,199916A034699,1999,North East Lincolnshire,34
OvertakingT,199920D218501,1999,Birmingham,38
OvertakingT,199920H033902,1999,Walsall,47
OvertakingT,199922CG02192,1999,Worcestershire,29
OvertakingT,1.99924E+12,1999,Warwickshire,
OvertakingT,1999317A81106,1999,Nottinghamshire,10
OvertakingT,1.99935E+12,1999,Cambridgeshire,17
OvertakingT,199937B006705,1999,Suffolk,10
OvertakingT,199937G004191,1999,Suffolk,25
OvertakingT,19994100A0113,1999,Hertfordshire,18
OvertakingT,19994100C0610,1999,Hertfordshire,24
OvertakingT,19994200C0482,1999,Essex,9
OvertakingT,19994200G0971,1999,Essex,65
OvertakingT,199943P022129,1999,Oxfordshire,29
OvertakingT,199947X002875,1999,West Sussex,16
OvertakingT,1.99952E+12,1999,Somerset,13
OvertakingT,1999559W04334,1999,Dorset,37
OvertakingT,200001GD00472,2000,London,18
OvertakingT,200001GD00515,2000,London,32
OvertakingT,200001HT00344,2000,London,25
OvertakingT,200001KD00738,2000,London,42
OvertakingT,200001NI00767,2000,London,
OvertakingT,200001YR00117,2000,London,14
OvertakingT,200004D057800,2000,Lancashire,68
OvertakingT,200004D067900,2000,Lancashire,12
OvertakingT,200004F044300,2000,Lancashire,14
OvertakingT,2.00005E+12,2000,Merseyside,10
OvertakingT,200006C011199,2000,Manchester,20
OvertakingT,200006M005864,2000,Trafford,55
OvertakingT,2.00007E+12,2000,Cheshire East,63
OvertakingT,2.00012E+12,2000,North Yorkshire,47
OvertakingT,200020H059401,2000,Walsall,29
OvertakingT,200030A000208,2000,Derbyshire,39
OvertakingT,200030D000866,2000,Derby,27
OvertakingT,200037L004948,2000,Suffolk,15
OvertakingT,20004100G0335,2000,Hertfordshire,14
OvertakingT,20004200G0562,2000,Essex,7
OvertakingT,200047X129619,2000,West Sussex,43
OvertakingT,200052GB10336,2000,Somerset,26
OvertakingT,200101CP00160,2001,London,29
OvertakingT,200101DM01837,2001,London,31
OvertakingT,200101DM02583,2001,London,30
OvertakingT,200101EK00782,2001,London,10
OvertakingT,200101GD00785,2001,London,22
OvertakingT,200101LX01335,2001,London,55
OvertakingT,200101MM00500,2001,London,33
OvertakingT,200101NI01022,2001,London,
OvertakingT,200101NI01301,2001,London,45
OvertakingT,200101NI09009,2001,London,28
OvertakingT,200101PL00108,2001,London,37
OvertakingT,200101QK00171,2001,London,14
OvertakingT,200101WW00606,2001,London,21
OvertakingT,200101WW00915,2001,London,26
OvertakingT,200101XS00889,2001,London,60
OvertakingT,200101YF00470,2001,London,54
OvertakingT,2.00103E+12,2001,Cumbria,9
OvertakingT,200104C050601,2001,Lancashire,6
OvertakingT,200104C055501,2001,Lancashire,9
OvertakingT,200104D002801,2001,Lancashire,31
OvertakingT,2.00107E+12,2001,Cheshire West and Chester,7
OvertakingT,2.00113E+12,2001,Bradford,47
OvertakingT,200120F173901,2001,Birmingham,13
OvertakingT,200132D066901,2001,Lincolnshire,27
OvertakingT,2.00135E+12,2001,Cambridgeshire,28
OvertakingT,2001400D03282,2001,Central Bedfordshire,29
OvertakingT,20014200J0309,2001,Essex,17
OvertakingT,200143P308101,2001,Oxfordshire,25
OvertakingT,200145ES07564,2001,Surrey,26
OvertakingT,200147C140483,2001,Brighton and Hove,33
OvertakingT,200147X138188,2001,West Sussex,20
OvertakingT,2.00152E+12,2001,Somerset,56
OvertakingT,2001550B06799,2001,Bournemouth,
OvertakingT,200201DM00625,2002,London,27
OvertakingT,200201DM00969,2002,London,41
OvertakingT,200201GD00462,2002,London,33
OvertakingT,200201HT00637,2002,London,31
OvertakingT,200201HT00843,2002,London,52
OvertakingT,200201JC00545,2002,London,39
OvertakingT,200201LX00700,2002,London,26
OvertakingT,200201MM01295,2002,London,23
OvertakingT,200201RG00840,2002,London,50
OvertakingT,200201YE00546,2002,London,41
OvertakingT,200201YE00764,2002,London,29
OvertakingT,200201YR00702,2002,London,58
OvertakingT,2.00205E+12,2002,Merseyside,62
OvertakingT,2.00205E+12,2002,Merseyside,50
OvertakingT,200206A012144,2002,Manchester,19
OvertakingT,200206G008976,2002,Tameside,37
OvertakingT,200206J011910,2002,Stockport,15
OvertakingT,200206K012520,2002,Bolton,9
OvertakingT,200206K012822,2002,Bolton,10
OvertakingT,200206L012645,2002,Wigan,61
OvertakingT,2.00207E+12,2002,Halton,25
OvertakingT,2.00213E+12,2002,Kirklees,37
OvertakingT,200214EE00217,2002,Barnsley,9
OvertakingT,200214JJ01219,2002,Sheffield,31
OvertakingT,200234NW00393,2002,Northamptonshire,29
OvertakingT,2.00235E+12,2002,Cambridgeshire,
