Scenario,urn,accyr,LAName,Age
OvertakingTCar,199901AB00354,1999,London,35
OvertakingTCar,199901BS00392,1999,London,19
OvertakingTCar,199901EK00433,1999,London,33
OvertakingTCar,199901JC00520,1999,London,11
OvertakingTCar,199901JI00218,1999,London,22
OvertakingTCar,199901KD00639,1999,London,71
OvertakingTCar,199901KF00404,1999,London,40
OvertakingTCar,199901KO00087,1999,London,37
OvertakingTCar,199901LD00355,1999,London,26
OvertakingTCar,199901LS00214,1999,London,33
OvertakingTCar,199901LS00282,1999,London,25
OvertakingTCar,199901LS00322,1999,London,52
OvertakingTCar,199901LX00150,1999,London,17
OvertakingTCar,199901MS00172,1999,London,30
OvertakingTCar,199901MS00312,1999,London,43
OvertakingTCar,199901NI00431,1999,London,31
OvertakingTCar,199901NI00761,1999,London,32
OvertakingTCar,199901PY01260,1999,London,30
OvertakingTCar,199901QA00371,1999,London,45
OvertakingTCar,199901QA00413,1999,London,17
OvertakingTCar,199901QK00498,1999,London,36
OvertakingTCar,199901RG00015,1999,London,59
OvertakingTCar,199901TX00714,1999,London,20
OvertakingTCar,199901WA00055,1999,London,29
OvertakingTCar,199901WW00233,1999,London,14
OvertakingTCar,199901WW00328,1999,London,44
OvertakingTCar,199901XD00200,1999,London,20
OvertakingTCar,199901XD00339,1999,London,34
OvertakingTCar,199901XH00224,1999,London,10
OvertakingTCar,199901XS00499,1999,London,32
OvertakingTCar,199901YE00010,1999,London,61
OvertakingTCar,199901YE00339,1999,London,14
OvertakingTCar,199904B077999,1999,Lancashire,53
OvertakingTCar,199904C106999,1999,Lancashire,17
OvertakingTCar,199904E042299,1999,Lancashire,11
OvertakingTCar,1.99905E+12,1999,Merseyside,14
OvertakingTCar,1.99905E+12,1999,Merseyside,11
OvertakingTCar,1.99905E+12,1999,Merseyside,32
OvertakingTCar,1.99905E+12,1999,Merseyside,17
OvertakingTCar,199906C007751,1999,Manchester,11
OvertakingTCar,199906C007861,1999,Manchester,10
OvertakingTCar,199906C602099,1999,Manchester,28
OvertakingTCar,199906G003660,1999,Tameside,36
OvertakingTCar,199906J005096,1999,Stockport,12
OvertakingTCar,199906J006030,1999,Stockport,8
OvertakingTCar,199906L006339,1999,Wigan,16
OvertakingTCar,199906M003916,1999,Trafford,41
OvertakingTCar,199906M004179,1999,Trafford,8
OvertakingTCar,199906Q004577,1999,Oldham,18
OvertakingTCar,199910E306099,1999,Newcastle upon Tyne,9
OvertakingTCar,199910H390899,1999,North Tyneside,48
OvertakingTCar,1.99912E+12,1999,North Yorkshire,16
OvertakingTCar,199913EA39499,1999,Kirklees,8
OvertakingTCar,199913EA56799,1999,Kirklees,7
OvertakingTCar,199913EC21699,1999,Kirklees,9
OvertakingTCar,199913FA26899,1999,Calderdale,21
OvertakingTCar,199913HD20799,1999,Bradford,73
OvertakingTCar,199914AA00290,1999,Doncaster,17
OvertakingTCar,199914FF00590,1999,Rotherham,15
OvertakingTCar,199916A029899,1999,North East Lincolnshire,22
OvertakingTCar,199916B024499,1999,North Lincolnshire,74
OvertakingTCar,199916B029199,1999,North Lincolnshire,9
OvertakingTCar,199916C039999,1999,East Riding of Yorkshire,48
OvertakingTCar,199916D036599,1999,Kingston Upon Hull,76
OvertakingTCar,199916D039999,1999,Kingston Upon Hull,69
OvertakingTCar,199920F197401,1999,Birmingham,7
OvertakingTCar,199920G099302,1999,Wolverhampton,18
OvertakingTCar,199920K056501,1999,Sandwell,20
OvertakingTCar,199920M152601,1999,Coventry,10
OvertakingTCar,1.99922E+12,1999,Stoke on Trent,33
OvertakingTCar,1.99922E+12,1999,Staffordshire,34
OvertakingTCar,1.99922E+12,1999,Staffordshire,30
OvertakingTCar,1.99922E+12,1999,Staffordshire,32
OvertakingTCar,199922BC00946,1999,Worcestershire,48
OvertakingTCar,199922EA10641,1999,Herefordshire,16
OvertakingTCar,1.99924E+12,1999,Warwickshire,42
OvertakingTCar,199930D000716,1999,Derby,10
OvertakingTCar,1999317A20140,1999,Nottinghamshire,14
OvertakingTCar,1999317B21484,1999,Nottingham,10
OvertakingTCar,1999317C41776,1999,Nottingham,29
OvertakingTCar,1999317D21050,1999,Nottinghamshire,
OvertakingTCar,1999317E80958,1999,Nottinghamshire,9
OvertakingTCar,1.99934E+12,1999,Leicestershire,28
OvertakingTCar,1.99934E+12,1999,Leicestershire,13
OvertakingTCar,1.99934E+12,1999,Leicestershire,37
OvertakingTCar,1.99934E+12,1999,Leicestershire,33
OvertakingTCar,1.99934E+12,1999,Leicestershire,16
OvertakingTCar,1.99934E+12,1999,Leicestershire,29
OvertakingTCar,1.99935E+12,1999,Cambridgeshire,26
OvertakingTCar,199936G991049,1999,Norfolk,30
OvertakingTCar,19994100B0321,1999,Hertfordshire,47
OvertakingTCar,2.00E+152,1999,Hertfordshire,30
OvertakingTCar,2.00E+42,1999,Essex,33
OvertakingTCar,199943N149109,1999,Buckinghamshire,28
OvertakingTCar,199943P030019,1999,Oxfordshire,45
OvertakingTCar,199943W005099,1999,Reading,40
OvertakingTCar,1999440BB0904,1999,Hampshire,12
OvertakingTCar,1999440LA0557,1999,Hampshire,72
OvertakingTCar,1999440SP0611,1999,Southampton ,21
OvertakingTCar,1999440TB0415,1999,Southampton ,31
OvertakingTCar,199945ED00297,1999,Surrey,13
OvertakingTCar,199945NC00360,1999,Surrey,
OvertakingTCar,199946CT05784,1999,Kent,52
OvertakingTCar,199946ME17062,1999,Medway,42
OvertakingTCar,199946NK18432,1999,Kent,31
OvertakingTCar,199946WL00558,1999,Kent,16
OvertakingTCar,199947C005220,1999,Brighton and Hove,31
OvertakingTCar,199947X003166,1999,West Sussex,58
OvertakingTCar,1.99952E+12,1999,South Gloucestershire,57
OvertakingTCar,1.99952E+12,1999,City of Bristol,14
OvertakingTCar,1.99952E+12,1999,City of Bristol,36
OvertakingTCar,1999530AI0947,1999,Gloucestershire,33
OvertakingTCar,1999530AI2704,1999,Gloucestershire,14
OvertakingTCar,199954AN36299,1999,Swindon,25
OvertakingTCar,199954CS01689,1999,Wiltshire,52
OvertakingTCar,199954CW63699,1999,Wiltshire,11
OvertakingTCar,200001BS00140,2000,London,30
OvertakingTCar,200001BS00342,2000,London,59
OvertakingTCar,200001EK00323,2000,London,32
OvertakingTCar,200001EK00834,2000,London,13
OvertakingTCar,200001LX01034,2000,London,21
OvertakingTCar,200001LX01628,2000,London,34
OvertakingTCar,200001LX01726,2000,London,27
OvertakingTCar,200001MM00865,2000,London,24
OvertakingTCar,200001PL00286,2000,London,28
OvertakingTCar,200001PY00748,2000,London,
OvertakingTCar,200001SX01223,2000,London,28
OvertakingTCar,200001SX01233,2000,London,28
OvertakingTCar,200001TG00078,2000,Surrey,23
OvertakingTCar,200001TW00354,2000,London,56
OvertakingTCar,200001VK00386,2000,London,41
OvertakingTCar,200001WW01095,2000,London,30
OvertakingTCar,200001WW01303,2000,London,43
OvertakingTCar,200001WW01313,2000,London,27
OvertakingTCar,200001XS00223,2000,London,15
OvertakingTCar,200001YR00956,2000,London,29
OvertakingTCar,200004A004100,2000,Blackpool,31
OvertakingTCar,200004D047500,2000,Lancashire,12
OvertakingTCar,200004F049800,2000,Lancashire,15
OvertakingTCar,2.00005E+12,2000,Merseyside,14
OvertakingTCar,2.00005E+12,2000,Merseyside,30
OvertakingTCar,2.00005E+12,2000,Merseyside,28
OvertakingTCar,200006C011382,2000,Manchester,12
OvertakingTCar,200006F006097,2000,Salford,34
OvertakingTCar,200006F007591,2000,Salford,15
OvertakingTCar,200006G005456,2000,Tameside,9
OvertakingTCar,200006G006028,2000,Tameside,21
OvertakingTCar,200006L007281,2000,Wigan,11
OvertakingTCar,200006N004851,2000,Bury,8
OvertakingTCar,2.00007E+12,2000,Halton,9
OvertakingTCar,200010C293700,2000,Northumberland,12
OvertakingTCar,200011DJ14500,2000,Darlington,38
OvertakingTCar,2.00012E+12,2000,North Yorkshire,20
OvertakingTCar,2.00013E+12,2000,Bradford,13
OvertakingTCar,2.00013E+12,2000,Leeds,27
OvertakingTCar,200014AA00707,2000,Doncaster,49
OvertakingTCar,200014FF00762,2000,Rotherham,13
OvertakingTCar,200014GG00893,2000,Rotherham,17
OvertakingTCar,200014JJ00841,2000,Sheffield,8
OvertakingTCar,200016A068300,2000,North East Lincolnshire,72
OvertakingTCar,200016C026500,2000,East Riding of Yorkshire,29
OvertakingTCar,200020D207503,2000,Birmingham,17
OvertakingTCar,200020E155101,2000,Birmingham,13
OvertakingTCar,200020E324701,2000,Birmingham,27
OvertakingTCar,200020G049102,2000,Wolverhampton,9
OvertakingTCar,200020H068301,2000,Walsall,43
OvertakingTCar,2.00021E+12,2000,Stoke on Trent,11
OvertakingTCar,2.00021E+12,2000,Staffordshire,24
OvertakingTCar,2.00021E+12,2000,Staffordshire,18
OvertakingTCar,2.00021E+12,2000,Staffordshire,29
OvertakingTCar,200022CE16576,2000,Worcestershire,14
OvertakingTCar,200022FA19863,2000,Shropshire,9
OvertakingTCar,2000317A20789,2000,Nottinghamshire,38
OvertakingTCar,2000317B20523,2000,Nottingham,48
OvertakingTCar,2000317B42475,2000,Nottingham,52
OvertakingTCar,2000317D20394,2000,Nottinghamshire,64
OvertakingTCar,2000317D20708,2000,Nottingham,12
OvertakingTCar,2000317D21255,2000,Nottinghamshire,14
OvertakingTCar,2000317E20960,2000,Nottinghamshire,25
OvertakingTCar,200032C003980,2000,Lincolnshire,27
OvertakingTCar,2.00033E+12,2000,Leicestershire,34
OvertakingTCar,2.00033E+12,2000,Leicestershire,40
OvertakingTCar,2.00033E+12,2000,Leicestershire,51
OvertakingTCar,2.00033E+12,2000,Leicestershire,50
OvertakingTCar,2.00035E+12,2000,Cambridgeshire,26
OvertakingTCar,2.00035E+12,2000,Peterborough,45
OvertakingTCar,2.00035E+12,2000,Cambridgeshire,67
OvertakingTCar,2.00035E+12,2000,Cambridgeshire,64
OvertakingTCar,200036G000044,2000,Norfolk,24
OvertakingTCar,200036K001169,2000,Norfolk,25
OvertakingTCar,200036N000547,2000,Norfolk,12
OvertakingTCar,200037G007347,2000,Suffolk,17
OvertakingTCar,20004100A0736,2000,Hertfordshire,33
OvertakingTCar,20004100B0171,2000,Hertfordshire,30
OvertakingTCar,20004200H0426,2000,Southend on Sea,24
OvertakingTCar,200043W028080,2000,Windsor and Maidenhead,26
