Scenario,urn,accyr,LAName,Age
ParkedCar,199901BH00037,1999,London,29
ParkedCar,199901BH00126,1999,London,22
ParkedCar,199901BH00185,1999,London,31
ParkedCar,199901BS00308,1999,London,
ParkedCar,199901BS00453,1999,London,39
ParkedCar,199901BS00490,1999,London,
ParkedCar,199901BS00670,1999,London,17
ParkedCar,199901BS00783,1999,London,77
ParkedCar,199901BS09051,1999,London,20
ParkedCar,199901DM00201,1999,London,
ParkedCar,199901DM00255,1999,London,25
ParkedCar,199901DM00442,1999,London,32
ParkedCar,199901DM00609,1999,London,27
ParkedCar,199901DM00823,1999,London,31
ParkedCar,199901DP00217,1999,London,37
ParkedCar,199901EK00649,1999,London,35
ParkedCar,199901FH00101,1999,London,46
ParkedCar,199901FH00430,1999,London,42
ParkedCar,199901FH00501,1999,London,24
ParkedCar,199901GD00303,1999,London,35
ParkedCar,199901GN00370,1999,London,28
ParkedCar,199901HT00031,1999,London,21
ParkedCar,199901HT00138,1999,London,22
ParkedCar,199901HT00189,1999,London,25
ParkedCar,199901HT00227,1999,London,33
ParkedCar,199901HT00902,1999,London,
ParkedCar,199901HT02157,1999,London,31
ParkedCar,199901JC00248,1999,London,34
ParkedCar,199901JC00388,1999,London,34
ParkedCar,199901JI00259,1999,London,8
ParkedCar,199901JL00022,1999,London,32
ParkedCar,199901KD00495,1999,London,15
ParkedCar,199901KD00588,1999,London,32
ParkedCar,199901KD00943,1999,London,25
ParkedCar,199901KF00103,1999,London,40
ParkedCar,199901KF00293,1999,London,21
ParkedCar,199901KF00373,1999,London,42
ParkedCar,199901KF00483,1999,London,18
ParkedCar,199901KG00288,1999,London,20
ParkedCar,199901KO00491,1999,London,20
ParkedCar,199901LD00144,1999,London,52
ParkedCar,199901LD00323,1999,London,14
ParkedCar,199901LD00405,1999,London,14
ParkedCar,199901MD00099,1999,London,41
ParkedCar,199901MD00233,1999,London,47
ParkedCar,199901MD00259,1999,London,39
ParkedCar,199901MD00349,1999,London,26
ParkedCar,199901MD00402,1999,London,15
ParkedCar,199901MM00309,1999,London,13
ParkedCar,199901MM00314,1999,London,27
ParkedCar,199901MM00424,1999,London,40
ParkedCar,199901NI00143,1999,London,27
ParkedCar,199901PD00488,1999,London,16
ParkedCar,199901PL00066,1999,London,26
ParkedCar,199901PL00348,1999,London,45
ParkedCar,199901PY00081,1999,London,60
ParkedCar,199901PY00590,1999,London,58
ParkedCar,199901PY00674,1999,London,28
