Scenario,urn,accyr,LAName,Age
ReversingCar,199901BH00038,1999,London,39
ReversingCar,199901CX00165,1999,London,38
ReversingCar,199901FH00298,1999,London,31
ReversingCar,199901GD00079,1999,London,21
ReversingCar,199901GD00663,1999,London,8
ReversingCar,199901HT00011,1999,London,6
ReversingCar,199901HT00782,1999,London,36
ReversingCar,199901HT00825,1999,London,
ReversingCar,199901HT00871,1999,London,11
ReversingCar,199901JB00628,1999,London,14
ReversingCar,199901JC00383,1999,London,54
ReversingCar,199901LD00424,1999,London,42
ReversingCar,199901LD00576,1999,London,33
ReversingCar,199901LS00318,1999,London,8
ReversingCar,199901LS00344,1999,London,21
ReversingCar,199901MS00472,1999,London,6
ReversingCar,199901NI00279,1999,London,30
ReversingCar,199901NI00613,1999,London,16
ReversingCar,199901PD00195,1999,London,38
ReversingCar,199901QA00813,1999,London,23
ReversingCar,199901QD00384,1999,London,13
ReversingCar,199901RG00473,1999,London,15
ReversingCar,199901RY00301,1999,London,12
ReversingCar,199901RY00507,1999,London,18
ReversingCar,199901RY00630,1999,London,16
ReversingCar,199901SC01016,1999,London,11
ReversingCar,199901TW00116,1999,London,35
ReversingCar,199901TX00726,1999,London,
ReversingCar,199901TX00770,1999,London,51
ReversingCar,199901TX00870,1999,London,35
ReversingCar,199901VK00255,1999,London,70
ReversingCar,199901WW00165,1999,London,28
ReversingCar,199901WW01082,1999,London,22
ReversingCar,199901XD00489,1999,London,
ReversingCar,199901XH00472,1999,London,14
ReversingCar,199901XS00167,1999,London,21
ReversingCar,199901XS00174,1999,London,35
ReversingCar,199901YF00626,1999,London,28
ReversingCar,199901ZD00300,1999,London,14
ReversingCar,199901ZP00440,1999,Surrey,
ReversingCar,199901ZP00549,1999,London,28
ReversingCar,199901ZP00659,1999,London,7
ReversingCar,199901ZP00681,1999,London,17
ReversingCar,1.99903E+12,1999,Cumbria,25
ReversingCar,199904B015699,1999,Lancashire,10
ReversingCar,199904B058199,1999,Lancashire,13
ReversingCar,199904C005599,1999,Lancashire,71
ReversingCar,199904C031599,1999,Lancashire,4
ReversingCar,199904C060199,1999,Lancashire,56
ReversingCar,199904C107399,1999,Lancashire,3
ReversingCar,199904D034299,1999,Lancashire,45
ReversingCar,1.99905E+12,1999,Merseyside,14
ReversingCar,1.99905E+12,1999,Merseyside,43
ReversingCar,1.99905E+12,1999,Merseyside,12
ReversingCar,1.99905E+12,1999,Merseyside,17
ReversingCar,1.99905E+12,1999,Merseyside,45
ReversingCar,1.99905E+12,1999,Merseyside,49
ReversingCar,1.99905E+12,1999,Merseyside,14
ReversingCar,199906C007542,1999,Manchester,6
ReversingCar,199906C651399,1999,Manchester,14
ReversingCar,199906G003576,1999,Tameside,4
ReversingCar,199906J005371,1999,Stockport,29
ReversingCar,199906J005450,1999,Stockport,6
ReversingCar,199906K005113,1999,Bolton,14
ReversingCar,199906L005835,1999,Wigan,7
