Scenario,urn,accyr,LAName,Age
Roundabout,199901DP00338,1999,London,34
Roundabout,1.99905E+12,1999,Merseyside,52
Roundabout,1.99905E+12,1999,Merseyside,43
Roundabout,1.99905E+12,1999,Merseyside,20
Roundabout,1999079A11050,1999,Cheshire East,19
Roundabout,199910H040799,1999,North Tyneside,18
Roundabout,199913FD30799,1999,Calderdale,35
Roundabout,199916B039999,1999,North Lincolnshire,47
Roundabout,199930D000365,1999,Derbyshire,49
Roundabout,199937L003447,1999,Suffolk,35
Roundabout,2.00E+171,1999,Essex,56
Roundabout,19994200J0328,1999,Essex,
Roundabout,1999440RF0725,1999,Portsmouth,33
Roundabout,1999440ZD0456,1999,Isle of Wight,41
Roundabout,199946WL03614,1999,Kent,50
Roundabout,199947Y002040,1999,West Sussex,33
Roundabout,199947Y002847,1999,West Sussex,66
Roundabout,1.99952E+12,1999,City of Bristol,34
Roundabout,1.99952E+12,1999,North Somerset,78
Roundabout,19995599E2340,1999,Dorset,27
Roundabout,19995599W0790,1999,Dorset,60
Roundabout,19995599W3429,1999,Dorset,67
Roundabout,2.00005E+12,2000,Merseyside,34
Roundabout,2.00005E+12,2000,Merseyside,35
Roundabout,200016A062600,2000,North East Lincolnshire,47
Roundabout,200016A063400,2000,North East Lincolnshire,19
Roundabout,200020K100802,2000,Sandwell,25
Roundabout,200022GB13611,2000,Telford and Wrekin,27
Roundabout,20004100B0378,2000,Hertfordshire,30
Roundabout,20004100C0055,2000,Hertfordshire,41
Roundabout,20004100D0107,2000,Hertfordshire,34
Roundabout,20004100D0243,2000,Hertfordshire,24
Roundabout,20004100K0031,2000,Hertfordshire,30
Roundabout,200043P134020,2000,Oxfordshire,
Roundabout,2000440AA1494,2000,Hampshire,62
Roundabout,200046MA27744,2000,Kent,48
Roundabout,200046TH31790,2000,Kent,22
Roundabout,200046WK27744,2000,Kent,48
Roundabout,200047Y125990,2000,West Sussex,18
Roundabout,200101MM01147,2001,London,41
Roundabout,200101MM01281,2001,London,26
Roundabout,2.00103E+12,2001,Cumbria,34
Roundabout,200104B004701,2001,Lancashire,42
Roundabout,200106G007104,2001,Tameside,36
Roundabout,200114II00538,2001,Sheffield,36
Roundabout,20013104D1627,2001,Nottinghamshire,46
Roundabout,20014100F0072,2001,Hertfordshire,20
Roundabout,20014100G2524,2001,Hertfordshire,34
Roundabout,200145EM10408,2001,Surrey,37
Roundabout,200145SP09098,2001,Surrey,38
Roundabout,200147Y142883,2001,West Sussex,37
Roundabout,200150A332008,2001,Cornwall and Isles of Scilly,36
Roundabout,2.00152E+12,2001,Bath and North East Somerset,22
Roundabout,2.00203E+12,2002,Cumbria,16
Roundabout,200204B056402,2002,Lancashire,51
Roundabout,200220K075801,2002,Sandwell,30
Roundabout,20024100C0088,2002,Hertfordshire,21
Roundabout,20024100C5265,2002,Hertfordshire,30
Roundabout,2002440KK2214,2002,Portsmouth,31
Roundabout,200245RN23358,2002,Surrey,41
Roundabout,200245RN24077,2002,Surrey,13
Roundabout,200246SW57127,2002,Kent,17
Roundabout,2.00252E+12,2002,City of Bristol,12
Roundabout,2002550B07403,2002,Bournemouth,24
Roundabout,2002550P06973,2002,Poole,
Roundabout,200301MM01436,2003,London,40
Roundabout,200304B001603,2003,Lancashire,30
Roundabout,200304C082903,2003,Lancashire,68
Roundabout,200320D096301,2003,Birmingham,52
Roundabout,200320L190201,2003,Solihull,28
Roundabout,200330A000413,2003,Derbyshire,61
Roundabout,200332C062103,2003,Lincolnshire,32
Roundabout,2.00335E+12,2003,Cambridgeshire,32
Roundabout,20034100C1258,2003,Hertfordshire,22
Roundabout,200343P214103,2003,Oxfordshire,21
Roundabout,200343P324093,2003,Oxfordshire,22
Roundabout,200345RN35904,2003,Surrey,52
Roundabout,200346WL83227,2003,Kent,16
Roundabout,200347K159647,2003,West Sussex,56
Roundabout,200350A51G539,2003,Cornwall and Isles of Scilly,32
Roundabout,2.00352E+12,2003,City of Bristol,15
Roundabout,2.00352E+12,2003,Bath and North East Somerset,22
Roundabout,2003550B03425,2003,Bournemouth,24
Roundabout,200401KF60004,2004,London,35
Roundabout,200405AW00246,2004,Merseyside,25
Roundabout,200432C006304,2004,Lincolnshire,46
Roundabout,20044100B0200,2004,Hertfordshire,35
Roundabout,2004440KK2002,2004,Portsmouth,19
Roundabout,200445RE48653,2004,Surrey,57
Roundabout,200447K174905,2004,Brighton and Hove,21
Roundabout,2004550P00900,2004,Poole,60
Roundabout,200501CW10990,2005,London,29
Roundabout,200501CW11232,2005,London,35
Roundabout,200501EO41333,2005,London,27
Roundabout,200501FH00043,2005,London,28
Roundabout,200501FH10498,2005,London,38
Roundabout,200501FH10595,2005,London,55
Roundabout,200501GD10838,2005,London,34
Roundabout,200501GD10849,2005,London,26
Roundabout,200501HT20267,2005,London,27
Roundabout,200501HT20563,2005,London,
Roundabout,200501JI40247,2005,London,54
Roundabout,200501JI40360,2005,London,20
Roundabout,200501KD50699,2005,London,56
Roundabout,200501KF60358,2005,London,36
Roundabout,200501KG70490,2005,London,41
Roundabout,200501LX50554,2005,London,46
Roundabout,200501LX51100,2005,London,20
Roundabout,200501MM70725,2005,London,39
Roundabout,200501MM70938,2005,London,24
Roundabout,200501MM71219,2005,London,45
Roundabout,200501PL60161,2005,London,34
Roundabout,200501PL60963,2005,London,45
Roundabout,200501QA00087,2005,London,39
Roundabout,200501QA10475,2005,London,25
Roundabout,200501QA10509,2005,London,41
Roundabout,200501RG40307,2005,London,38
Roundabout,200501SX20239,2005,London,40
Roundabout,200501SX21123,2005,London,20
Roundabout,200501TW60197,2005,London,41
Roundabout,200501TX20139,2005,London,28
Roundabout,200501TX20235,2005,London,24
Roundabout,200501TX20259,2005,London,
Roundabout,200501TX20283,2005,London,18
Roundabout,200501WW50260,2005,London,34
Roundabout,200501WW59104,2005,London,31
Roundabout,200501XD80067,2005,London,56
Roundabout,200501XH00023,2005,London,25
Roundabout,200501XH30189,2005,London,46
Roundabout,200501XS00067,2005,London,33
Roundabout,200501YE81098,2005,London,42
Roundabout,2.00503E+12,2005,Cumbria,11
Roundabout,200504C004705,2005,Lancashire,33
Roundabout,200505AA01817,2005,Merseyside,38
Roundabout,200505AA03722,2005,Merseyside,76
Roundabout,200505CH00787,2005,Merseyside,37
Roundabout,200505DH00413,2005,Merseyside,34
Roundabout,200505EE01796,2005,Merseyside,20
Roundabout,200506L920027,2005,Wigan,39
Roundabout,200506M028900,2005,Trafford,27
Roundabout,200506M039211,2005,Trafford,74
Roundabout,200506M922496,2005,Trafford,41
Roundabout,2.00507E+12,2005,Warrington,39
Roundabout,2.00507E+12,2005,Halton,27
Roundabout,2.00507E+12,2005,Cheshire East,47
Roundabout,2.0051E+12,2005,Newcastle upon Tyne,24
Roundabout,2.0051E+12,2005,South Tyneside,16
Roundabout,2.0051E+12,2005,North Tyneside,16
Roundabout,2.0051E+12,2005,Newcastle upon Tyne,11
Roundabout,2.0051E+12,2005,North Tyneside,20
Roundabout,2.0051E+12,2005,Gateshead,41
Roundabout,2.0051E+12,2005,North Tyneside,41
Roundabout,2.0051E+12,2005,North Tyneside,45
Roundabout,2.0051E+12,2005,Newcastle upon Tyne,20
Roundabout,2.0051E+12,2005,North Tyneside,67
Roundabout,2.0051E+12,2005,North Tyneside,55
Roundabout,2.0051E+12,2005,Newcastle upon Tyne,68
Roundabout,2.00512E+12,2005,North Yorkshire,35
Roundabout,2.00512E+12,2005,North Yorkshire,35
Roundabout,2.00513E+12,2005,Leeds,40
Roundabout,2.00513E+12,2005,Kirklees,18
Roundabout,2.00513E+12,2005,Leeds,51
Roundabout,200514A240305,2005,Doncaster,50
Roundabout,2005160C00220,2005,East Riding of Yorkshire,46
Roundabout,2005160C04550,2005,East Riding of Yorkshire,45
Roundabout,2005160D00850,2005,Kingston Upon Hull,35
Roundabout,2005160D04330,2005,Kingston Upon Hull,80
Roundabout,2005160D06170,2005,Kingston Upon Hull,15
Roundabout,2005160D07930,2005,Kingston Upon Hull,27
Roundabout,200520E113102,2005,Birmingham,57
Roundabout,200520E135701,2005,Birmingham,46
Roundabout,200520E517403,2005,Birmingham,45
Roundabout,200520G081202,2005,Wolverhampton,48
Roundabout,200520K029501,2005,Sandwell,25
Roundabout,200520K082401,2005,Sandwell,13
Roundabout,200520K094501,2005,Sandwell,40
Roundabout,200520L017401,2005,Solihull,60
Roundabout,200520L058001,2005,Solihull,40
Roundabout,2.00522E+12,2005,Staffordshire,28
Roundabout,2.00522E+12,2005,Staffordshire,39
